SystemName,WorldRegion,Country,ProgramName,SystemID,MarineFreshwater,CatchShareProgram,SpeciesID,CatchShareSpp,Genus,Species,RegionFAO,Landings2005,LandingsUnit2005,LandingsURL2005,Landings2006,LandingsUnit2006,LandingsURL2006,Landings2007,LandingsUnit2007,LandingsURL2007,Landings2008,LandingsUnit2008,LandingsURL2008,Landings2009,LandingsUnit2009,LandingsURL2009,Landings2010,LandingsUnit2010,LandingsURL2010,Landings2011,LandingsUnit2011,LandingsURL2011,Landings2012,LandingsUnit2012,LandingsURL2012,FullCS
Japanese TURF System,Asia,Japan,Japanese Common Fishing Rights System,BD,Marine,Yes,62,Yes,Scomber,japonicus,61,188532.6,Metric Tons,http://www.jafic.or.jp/tac/index.html,192953.8,Metric Tons,http://www.jafic.or.jp/tac/index.html,127583.2,Metric Tons,http://www.jafic.or.jp/tac/index.html,148741.8,Metric Tons,http://www.jafic.or.jp/tac/index.html,136425.6,Metric Tons,http://www.jafic.or.jp/tac/index.html,144636.4,Metric Tons,http://www.jafic.or.jp/tac/index.html,,,,,,,
Japanese TURF System,Asia,Japan,Japanese Common Fishing Rights System,BD,Marine,Yes,63,Yes,Theragra,chalcogramma,61,61896.8,Metric Tons,http://www.jafic.or.jp/tac/index.html,58423,Metric Tons,http://www.jafic.or.jp/tac/index.html,63475.8,Metric Tons,http://www.jafic.or.jp/tac/index.html,88424,Metric Tons,http://www.jafic.or.jp/tac/index.html,69160.2,Metric Tons,http://www.jafic.or.jp/tac/index.html,74528.8,Metric Tons,http://www.jafic.or.jp/tac/index.html,,,,,,,
Japanese TURF System,Asia,Japan,Japanese Common Fishing Rights System,BD,Marine,Yes,64,Yes,Sergia,lucens,61,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese TURF System,Asia,Japan,Japanese Common Fishing Rights System,BD,Marine,Yes,65,Yes,Ammodytes,personatus,61,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese TURF System,Asia,Japan,Japanese Common Fishing Rights System,BD,Marine,Yes,66,Yes,Arctoscopus,japonicas,61,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese TURF System,Asia,Japan,Japanese Common Fishing Rights System,BD,Marine,Yes,67,Yes,Sardinops,melanostictus,61,5684.4,Metric Tons,http://www.jafic.or.jp/tac/index.html,16105.8,Metric Tons,http://www.jafic.or.jp/tac/index.html,22421.8,Metric Tons,http://www.jafic.or.jp/tac/index.html,9789.8,Metric Tons,http://www.jafic.or.jp/tac/index.html,15474.2,Metric Tons,http://www.jafic.or.jp/tac/index.html,20842.8,Metric Tons,http://www.jafic.or.jp/tac/index.html,,,,,,,
Japanese TURF System,Asia,Japan,Japanese Common Fishing Rights System,BD,Marine,Yes,68,Yes,Cololabis,saira,61,71370.8,Metric Tons,http://www.jafic.or.jp/tac/index.html,76107.8,Metric Tons,http://www.jafic.or.jp/tac/index.html,93161,Metric Tons,http://www.jafic.or.jp/tac/index.html,109266.8,Metric Tons,http://www.jafic.or.jp/tac/index.html,97582.2,Metric Tons,http://www.jafic.or.jp/tac/index.html,60633.6,Metric Tons,http://www.jafic.or.jp/tac/index.html,,,,,,,
Japanese TURF System,Asia,Japan,Japanese Common Fishing Rights System,BD,Marine,Yes,69,Yes,Todarodes,pacificus,61,62212.6,Metric Tons,http://www.jafic.or.jp/tac/index.html,51475.4,Metric Tons,http://www.jafic.or.jp/tac/index.html,75160.4,Metric Tons,http://www.jafic.or.jp/tac/index.html,62212.6,Metric Tons,http://www.jafic.or.jp/tac/index.html,59054.6,Metric Tons,http://www.jafic.or.jp/tac/index.html,56528.2,Metric Tons,http://www.jafic.or.jp/tac/index.html,,,,,,,
Japanese TURF System,Asia,Japan,Japanese Common Fishing Rights System,BD,Marine,Yes,70,Yes,Seriola,quinqueradiata,61,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Catch Share System,Oceania,Australia,Australian Bass Strait Central Zone Scallop Fishery,CX,Marine,Yes,73,Yes,Chlamys,asperrimus,57,,,,,,,,,,0,Metric Tons,http://adl.brs.gov.au/data/warehouse/fishrp9abc_011/fishrp9abc_0111011a/FishStatusReport2009_pp030-070_BassStraitCentralZoneScallop.pdf,0,Metric Tons,http://adl.brs.gov.au/data/warehouse/fishrp9abc_011/fishrp9abc_0111011a/FishStatusReport2009_pp030-070_BassStraitCentralZoneScallop.pdf,0,Metric Tons,http://adl.brs.gov.au/data/warehouse/fishstatus20109abff00101/fishstatus20109abff00101_11a/02_FishStatus2010BassStraitCentralZoneScallop_1.00.pdf,,,,,,,
Australian Catch Share System,Oceania,Australia,Australian Bass Strait Central Zone Scallop Fishery,CX,Marine,Yes,74,Yes,Pecten,fumatus,57,,,,,,,,,,0,Metric Tons,http://adl.brs.gov.au/data/warehouse/fishrp9abc_011/fishrp9abc_0111011a/FishStatusReport2009_pp030-070_BassStraitCentralZoneScallop.pdf,2426,Metric Tons,http://adl.brs.gov.au/data/warehouse/fishstatus20109abff00101/fishstatus20109abff00101_11a/02_FishStatus2010BassStraitCentralZoneScallop_1.00.pdf,2278,Metric Tons,http://adl.brs.gov.au/data/warehouse/fishstatus20109abff00101/fishstatus20109abff00101_11a/02_FishStatus2010BassStraitCentralZoneScallop_1.00.pdf,,,,,,,
