"","IdOrig","CommName","Year","Fmort","BvBmsy","Biomass","Catch","Id","Dbase","BiomassMetric","BiomassUnit","FmortMetric","FmortUnit","ExploitStatus","VonBertK","VonBertKSource","VonBertKUnit","Temp","TempSource","TempUnit","MaxLength","MaxLengthSource","MaxLengthUnit","AgeMat","AgeMatSource","AgeMatUnit","SpeciesCatName","RegionFAO","Bmsy","SSBmsy","Fmsy","Umsy","SciName","SpeciesCat","CatchUnit","Country","MSY","UvUmsytouse","BvBmsyUnit","FvFmsyUnit","ReferenceBiomass","ReferenceBiomassUnits","MSYUnit","CatchShare","phi"
"1","Brazil-Mangrove-crab","Mangrove crab",2000,0,NA,0,11135,0,"FAO","","",NA,"","",0.21,"","",28.5,NA,NA,8.15,"","",3.005,"","","Crabs, sea-spiders",41,NA,NA,NA,NA,"Ucides cordatus",42,"Quantity (tonnes)","Brazil",NA,NA,NA,NA,NA,NA,NA,0,0.188
"2","Brazil-Mangrove-crab","Mangrove crab",2001,0,NA,0,10980.5,0,"FAO","","",NA,"","",0.21,"","",28.5,NA,NA,8.15,"","",3.005,"","","Crabs, sea-spiders",41,NA,NA,NA,NA,"Ucides cordatus",42,"Quantity (tonnes)","Brazil",NA,NA,NA,NA,NA,NA,NA,0,0.188
"3","Brazil-Mangrove-crab","Mangrove crab",2002,0,NA,0,10545,0,"FAO","","",NA,"","",0.21,"","",28.5,NA,NA,8.15,"","",3.005,"","","Crabs, sea-spiders",41,NA,NA,NA,NA,"Ucides cordatus",42,"Quantity (tonnes)","Brazil",NA,NA,NA,NA,NA,NA,NA,0,0.188
"4","Brazil-Mangrove-crab","Mangrove crab",2003,0,NA,0,10531,0,"FAO","","",NA,"","",0.21,"","",28.5,NA,NA,8.15,"","",3.005,"","","Crabs, sea-spiders",41,NA,NA,NA,NA,"Ucides cordatus",42,"Quantity (tonnes)","Brazil",NA,NA,NA,NA,NA,NA,NA,0,0.188
"5","Brazil-Mangrove-crab","Mangrove crab",2004,0,NA,0,9308,0,"FAO","","",NA,"","",0.21,"","",28.5,NA,NA,8.15,"","",3.005,"","","Crabs, sea-spiders",41,NA,NA,NA,NA,"Ucides cordatus",42,"Quantity (tonnes)","Brazil",NA,NA,NA,NA,NA,NA,NA,0,0.188
"6","Brazil-Mangrove-crab","Mangrove crab",2005,0,NA,0,10150.5,0,"FAO","","",NA,"","",0.21,"","",28.5,NA,NA,8.15,"","",3.005,"","","Crabs, sea-spiders",41,NA,NA,NA,NA,"Ucides cordatus",42,"Quantity (tonnes)","Brazil",NA,NA,NA,NA,NA,NA,NA,0,0.188
"7","Brazil-Mangrove-crab","Mangrove crab",2006,0,NA,0,7977.5,0,"FAO","","",NA,"","",0.21,"","",28.5,NA,NA,8.15,"","",3.005,"","","Crabs, sea-spiders",41,NA,NA,NA,NA,"Ucides cordatus",42,"Quantity (tonnes)","Brazil",NA,NA,NA,NA,NA,NA,NA,0,0.188
"8","Brazil-Mangrove-crab","Mangrove crab",2007,0,NA,0,6818,0,"FAO","","",NA,"","",0.21,"","",28.5,NA,NA,8.15,"","",3.005,"","","Crabs, sea-spiders",41,NA,NA,NA,NA,"Ucides cordatus",42,"Quantity (tonnes)","Brazil",NA,NA,NA,NA,NA,NA,NA,0,0.188
"9","Brazil-Mangrove-crab","Mangrove crab",2008,0,NA,0,8184,0,"FAO","","",NA,"","",0.21,"","",28.5,NA,NA,8.15,"","",3.005,"","","Crabs, sea-spiders",41,NA,NA,NA,NA,"Ucides cordatus",42,"Quantity (tonnes)","Brazil",NA,NA,NA,NA,NA,NA,NA,0,0.188
"10","Brazil-Mangrove-crab","Mangrove crab",2009,0,NA,0,9027,0,"FAO","","",NA,"","",0.21,"","",28.5,NA,NA,8.15,"","",3.005,"","","Crabs, sea-spiders",41,NA,NA,NA,NA,"Ucides cordatus",42,"Quantity (tonnes)","Brazil",NA,NA,NA,NA,NA,NA,NA,0,0.188
"11","Brazil-Mangrove-crab","Mangrove crab",2010,0,NA,0,8535,0,"FAO","","",NA,"","",0.21,"","",28.5,NA,NA,8.15,"","",3.005,"","","Crabs, sea-spiders",41,NA,NA,NA,NA,"Ucides cordatus",42,"Quantity (tonnes)","Brazil",NA,NA,NA,NA,NA,NA,NA,0,0.188
