IdOrig,Country,CommName,CommonName2,SciName,RegionFAO,Year,Catch,VonBertK,MaxLength,AgeMat,MeanTemp,SpeciesCatName,SpeciesCat
Brazil-Mangrove-crab,Brazil,Mangrove crab,caranguejo-uca,Ucides cordatus,41,2000,11135,0.21,8.15,3.005,28.5,"Crabs, sea-spiders",42
Brazil-Mangrove-crab,Brazil,Mangrove crab,caranguejo-uca,Ucides cordatus,41,2001,10980.5,0.21,8.15,3.005,28.5,"Crabs, sea-spiders",42
Brazil-Mangrove-crab,Brazil,Mangrove crab,caranguejo-uca,Ucides cordatus,41,2002,10545,0.21,8.15,3.005,28.5,"Crabs, sea-spiders",42
Brazil-Mangrove-crab,Brazil,Mangrove crab,caranguejo-uca,Ucides cordatus,41,2003,10531,0.21,8.15,3.005,28.5,"Crabs, sea-spiders",42
Brazil-Mangrove-crab,Brazil,Mangrove crab,caranguejo-uca,Ucides cordatus,41,2004,9308,0.21,8.15,3.005,28.5,"Crabs, sea-spiders",42
Brazil-Mangrove-crab,Brazil,Mangrove crab,caranguejo-uca,Ucides cordatus,41,2005,10150.5,0.21,8.15,3.005,28.5,"Crabs, sea-spiders",42
Brazil-Mangrove-crab,Brazil,Mangrove crab,caranguejo-uca,Ucides cordatus,41,2006,7977.5,0.21,8.15,3.005,28.5,"Crabs, sea-spiders",42
Brazil-Mangrove-crab,Brazil,Mangrove crab,caranguejo-uca,Ucides cordatus,41,2007,6818,0.21,8.15,3.005,28.5,"Crabs, sea-spiders",42
Brazil-Mangrove-crab,Brazil,Mangrove crab,caranguejo-uca,Ucides cordatus,41,2008,8184,0.21,8.15,3.005,28.5,"Crabs, sea-spiders",42
Brazil-Mangrove-crab,Brazil,Mangrove crab,caranguejo-uca,Ucides cordatus,41,2009,9027,0.21,8.15,3.005,28.5,"Crabs, sea-spiders",42
Brazil-Mangrove-crab,Brazil,Mangrove crab,caranguejo-uca,Ucides cordatus,41,2010,8535,0.21,8.15,3.005,28.5,"Crabs, sea-spiders",42
Brazil-Mangrove-crab,Brazil,Mangrove crab,caranguejo-uca,Ucides cordatus,41,2011,8607.5,0.21,8.15,3.005,28.5,"Crabs, sea-spiders",42
Chile-giant-squid,Chile,Giant Squid,Jibia,Dosidicus gigas,87,1997,5,1.2,96,NA,NA,"Squids, cuttlefishes, octopuses",57
Chile-giant-squid,Chile,Giant Squid,Jibia,Dosidicus gigas,87,1998,6,1.2,96,NA,NA,"Squids, cuttlefishes, octopuses",57
Chile-giant-squid,Chile,Giant Squid,Jibia,Dosidicus gigas,87,1999,9,1.2,96,NA,NA,"Squids, cuttlefishes, octopuses",57
Chile-giant-squid,Chile,Giant Squid,Jibia,Dosidicus gigas,87,2000,3476,1.2,96,NA,NA,"Squids, cuttlefishes, octopuses",57
Chile-giant-squid,Chile,Giant Squid,Jibia,Dosidicus gigas,87,2001,5589,1.2,96,NA,NA,"Squids, cuttlefishes, octopuses",57
Chile-giant-squid,Chile,Giant Squid,Jibia,Dosidicus gigas,87,2002,15191,1.2,96,NA,NA,"Squids, cuttlefishes, octopuses",57
Chile-giant-squid,Chile,Giant Squid,Jibia,Dosidicus gigas,87,2003,175134,1.2,96,NA,NA,"Squids, cuttlefishes, octopuses",57
Chile-giant-squid,Chile,Giant Squid,Jibia,Dosidicus gigas,87,2004,296954,1.2,96,NA,NA,"Squids, cuttlefishes, octopuses",57
Chile-giant-squid,Chile,Giant Squid,Jibia,Dosidicus gigas,87,2005,250989,1.2,96,NA,NA,"Squids, cuttlefishes, octopuses",57
Chile-giant-squid,Chile,Giant Squid,Jibia,Dosidicus gigas,87,2006,124389,1.2,96,NA,NA,"Squids, cuttlefishes, octopuses",57
Chile-giant-squid,Chile,Giant Squid,Jibia,Dosidicus gigas,87,2007,145667,1.2,96,NA,NA,"Squids, cuttlefishes, octopuses",57
Chile-giant-squid,Chile,Giant Squid,Jibia,Dosidicus gigas,87,2008,56337,1.2,96,NA,NA,"Squids, cuttlefishes, octopuses",57
Chile-giant-squid,Chile,Giant Squid,Jibia,Dosidicus gigas,87,2009,200428,1.2,96,NA,NA,"Squids, cuttlefishes, octopuses",57
Chile-giant-squid,Chile,Giant Squid,Jibia,Dosidicus gigas,87,2010,163495,1.2,96,NA,NA,"Squids, cuttlefishes, octopuses",57
Chile-giant-squid,Chile,Giant Squid,Jibia,Dosidicus gigas,87,2011,144965,1.2,96,NA,NA,"Squids, cuttlefishes, octopuses",57
Chile-giant-squid,Chile,Giant Squid,Jibia,Dosidicus gigas,87,2012,106271,1.2,96,NA,NA,"Squids, cuttlefishes, octopuses",57
Chile-southern-sardine,Chile,Southern sardine,Sardina austral,Sprattus fuegensis,87,1997,NA,0.78,18.5,1.885,11,"Herrings, sardines, anchovies",35
Chile-southern-sardine,Chile,Southern sardine,Sardina austral,Sprattus fuegensis,87,1998,NA,0.78,18.5,1.885,11,"Herrings, sardines, anchovies",35
Chile-southern-sardine,Chile,Southern sardine,Sardina austral,Sprattus fuegensis,87,1999,NA,0.78,18.5,1.885,11,"Herrings, sardines, anchovies",35
Chile-southern-sardine,Chile,Southern sardine,Sardina austral,Sprattus fuegensis,87,2000,NA,0.78,18.5,1.885,11,"Herrings, sardines, anchovies",35
Chile-southern-sardine,Chile,Southern sardine,Sardina austral,Sprattus fuegensis,87,2001,NA,0.78,18.5,1.885,11,"Herrings, sardines, anchovies",35
Chile-southern-sardine,Chile,Southern sardine,Sardina austral,Sprattus fuegensis,87,2002,NA,0.78,18.5,1.885,11,"Herrings, sardines, anchovies",35
Chile-southern-sardine,Chile,Southern sardine,Sardina austral,Sprattus fuegensis,87,2003,NA,0.78,18.5,1.885,11,"Herrings, sardines, anchovies",35
Chile-southern-sardine,Chile,Southern sardine,Sardina austral,Sprattus fuegensis,87,2004,NA,0.78,18.5,1.885,11,"Herrings, sardines, anchovies",35
Chile-southern-sardine,Chile,Southern sardine,Sardina austral,Sprattus fuegensis,87,2005,39545,0.78,18.5,1.885,11,"Herrings, sardines, anchovies",35
Chile-southern-sardine,Chile,Southern sardine,Sardina austral,Sprattus fuegensis,87,2006,50705,0.78,18.5,1.885,11,"Herrings, sardines, anchovies",35
Chile-southern-sardine,Chile,Southern sardine,Sardina austral,Sprattus fuegensis,87,2007,45089,0.78,18.5,1.885,11,"Herrings, sardines, anchovies",35
Chile-southern-sardine,Chile,Southern sardine,Sardina austral,Sprattus fuegensis,87,2008,52602,0.78,18.5,1.885,11,"Herrings, sardines, anchovies",35
