SpeciesCatName,Species_AFSIS,CommName,best_fit_AgCommodity_0711,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,yrs_missing
"Abalones, winkles, conchs",Babylonia spirata,Spiral babylon,Univalves,522.916069,170.2123549,540.7587277,443.4880573,406.7134331,502.5875712,710.9386703,620.7947498,708.4492363,818.0225851,1126.959034,974.2030968,1128.053366,904.0830107,716.5395943,1505.928088,1513.607506,2441.035475,2205.788765,2231.880971,2294.312267,2144.144356,2368.795979,1738.272369,1708.455901,1249.662988,1108.556089,745.7993806,934.4002296,778.7944477,778.0755963,944.986496,1321.910854,1206.641576,1736.011408,1557.594019,0
"Abalones, winkles, conchs",Buccinum undatum,Whelk,Univalves,522.916069,170.2123549,540.7587277,443.4880573,406.7134331,502.5875712,710.9386703,620.7947498,708.4492363,818.0225851,1126.959034,974.2030968,1128.053366,904.0830107,716.5395943,1505.928088,1513.607506,2441.035475,2205.788765,2231.880971,2294.312267,2144.144356,2368.795979,1738.272369,1708.455901,1249.662988,1108.556089,745.7993806,934.4002296,778.7944477,778.0755963,944.986496,1321.910854,1206.641576,1736.011408,1557.594019,0
"Abalones, winkles, conchs",Haliotis gigantea,Giant abalone,Abalones,1616.324834,2103.660917,1832.167246,2021.265568,2848.200403,3218.477457,2956.603092,2707.905817,2594.683975,2499.654233,3711.823381,4867.356562,5307.911308,6280.173284,6541.788725,6301.230202,6580.020146,7972.931632,8021.496953,5946.194828,6181.638009,7164.626186,5076.15297,5018.094798,6523.118407,6445.060155,6182.311208,8953.484528,10739.37695,12635.17043,12308.4334,11204.34015,10044.28953,7121.726135,7318.904595,8729.631963,0
"Abalones, winkles, conchs",Haliotis midae,Perlemoen abalone,Abalones,1616.324834,2103.660917,1832.167246,2021.265568,2848.200403,3218.477457,2956.603092,2707.905817,2594.683975,2499.654233,3711.823381,4867.356562,5307.911308,6280.173284,6541.788725,6301.230202,6580.020146,7972.931632,8021.496953,5946.194828,6181.638009,7164.626186,5076.15297,5018.094798,6523.118407,6445.060155,6182.311208,8953.484528,10739.37695,12635.17043,12308.4334,11204.34015,10044.28953,7121.726135,7318.904595,8729.631963,0
"Abalones, winkles, conchs",Haliotis rubra,Blacklip abalone,Abalones,1616.324834,2103.660917,1832.167246,2021.265568,2848.200403,3218.477457,2956.603092,2707.905817,2594.683975,2499.654233,3711.823381,4867.356562,5307.911308,6280.173284,6541.788725,6301.230202,6580.020146,7972.931632,8021.496953,5946.194828,6181.638009,7164.626186,5076.15297,5018.094798,6523.118407,6445.060155,6182.311208,8953.484528,10739.37695,12635.17043,12308.4334,11204.34015,10044.28953,7121.726135,7318.904595,8729.631963,0
"Abalones, winkles, conchs",Haliotis spp,Abalones nei,Abalones,1616.324834,2103.660917,1832.167246,2021.265568,2848.200403,3218.477457,2956.603092,2707.905817,2594.683975,2499.654233,3711.823381,4867.356562,5307.911308,6280.173284,6541.788725,6301.230202,6580.020146,7972.931632,8021.496953,5946.194828,6181.638009,7164.626186,5076.15297,5018.094798,6523.118407,6445.060155,6182.311208,8953.484528,10739.37695,12635.17043,12308.4334,11204.34015,10044.28953,7121.726135,7318.904595,8729.631963,0
"Abalones, winkles, conchs",Haliotis tuberculata,Tuberculate abalone,Abalones,1616.324834,2103.660917,1832.167246,2021.265568,2848.200403,3218.477457,2956.603092,2707.905817,2594.683975,2499.654233,3711.823381,4867.356562,5307.911308,6280.173284,6541.788725,6301.230202,6580.020146,7972.931632,8021.496953,5946.194828,6181.638009,7164.626186,5076.15297,5018.094798,6523.118407,6445.060155,6182.311208,8953.484528,10739.37695,12635.17043,12308.4334,11204.34015,10044.28953,7121.726135,7318.904595,8729.631963,0
"Abalones, winkles, conchs",Littorina littorea,Common periwinkle,Univalves,522.916069,170.2123549,540.7587277,443.4880573,406.7134331,502.5875712,710.9386703,620.7947498,708.4492363,818.0225851,1126.959034,974.2030968,1128.053366,904.0830107,716.5395943,1505.928088,1513.607506,2441.035475,2205.788765,2231.880971,2294.312267,2144.144356,2368.795979,1738.272369,1708.455901,1249.662988,1108.556089,745.7993806,934.4002296,778.7944477,778.0755963,944.986496,1321.910854,1206.641576,1736.011408,1557.594019,0
"Abalones, winkles, conchs",Littorina spp,Periwinkles nei,Univalves,522.916069,170.2123549,540.7587277,443.4880573,406.7134331,502.5875712,710.9386703,620.7947498,708.4492363,818.0225851,1126.959034,974.2030968,1128.053366,904.0830107,716.5395943,1505.928088,1513.607506,2441.035475,2205.788765,2231.880971,2294.312267,2144.144356,2368.795979,1738.272369,1708.455901,1249.662988,1108.556089,745.7993806,934.4002296,778.7944477,778.0755963,944.986496,1321.910854,1206.641576,1736.011408,1557.594019,0
"Abalones, winkles, conchs",Busycon spp,Whelks,Univalves,522.916069,170.2123549,540.7587277,443.4880573,406.7134331,502.5875712,710.9386703,620.7947498,708.4492363,818.0225851,1126.959034,974.2030968,1128.053366,904.0830107,716.5395943,1505.928088,1513.607506,2441.035475,2205.788765,2231.880971,2294.312267,2144.144356,2368.795979,1738.272369,1708.455901,1249.662988,1108.556089,745.7993806,934.4002296,778.7944477,778.0755963,944.986496,1321.910854,1206.641576,1736.011408,1557.594019,0
"Abalones, winkles, conchs",Concholepas concholepas,False abalone,Univalves,522.916069,170.2123549,540.7587277,443.4880573,406.7134331,502.5875712,710.9386703,620.7947498,708.4492363,818.0225851,1126.959034,974.2030968,1128.053366,904.0830107,716.5395943,1505.928088,1513.607506,2441.035475,2205.788765,2231.880971,2294.312267,2144.144356,2368.795979,1738.272369,1708.455901,1249.662988,1108.556089,745.7993806,934.4002296,778.7944477,778.0755963,944.986496,1321.910854,1206.641576,1736.011408,1557.594019,0
"Abalones, winkles, conchs",Murex spp,Murex,Univalves,522.916069,170.2123549,540.7587277,443.4880573,406.7134331,502.5875712,710.9386703,620.7947498,708.4492363,818.0225851,1126.959034,974.2030968,1128.053366,904.0830107,716.5395943,1505.928088,1513.607506,2441.035475,2205.788765,2231.880971,2294.312267,2144.144356,2368.795979,1738.272369,1708.455901,1249.662988,1108.556089,745.7993806,934.4002296,778.7944477,778.0755963,944.986496,1321.910854,1206.641576,1736.011408,1557.594019,0
"Abalones, winkles, conchs",Rapana spp,Sea snails,Univalves,522.916069,170.2123549,540.7587277,443.4880573,406.7134331,502.5875712,710.9386703,620.7947498,708.4492363,818.0225851,1126.959034,974.2030968,1128.053366,904.0830107,716.5395943,1505.928088,1513.607506,2441.035475,2205.788765,2231.880971,2294.312267,2144.144356,2368.795979,1738.272369,1708.455901,1249.662988,1108.556089,745.7993806,934.4002296,778.7944477,778.0755963,944.986496,1321.910854,1206.641576,1736.011408,1557.594019,0
"Abalones, winkles, conchs",Strombus spp,Stromboid conchs nei,Stromboid conchs,,,,,,,,,,,,,,1380.63279,1062.486973,966.9908234,1160.531911,1292.928658,1545.23378,1500.06113,1588.451311,1271.214294,1455.492084,1479.889349,1421.121293,1576.687967,1624.332382,1743.207227,1181.012167,2255.096086,2260.253202,2250.788894,2259.867134,2310.901506,2583.140775,3023.140446,13
"Abalones, winkles, conchs",Tonna galea,Helmet ton,Univalves,522.916069,170.2123549,540.7587277,443.4880573,406.7134331,502.5875712,710.9386703,620.7947498,708.4492363,818.0225851,1126.959034,974.2030968,1128.053366,904.0830107,716.5395943,1505.928088,1513.607506,2441.035475,2205.788765,2231.880971,2294.312267,2144.144356,2368.795979,1738.272369,1708.455901,1249.662988,1108.556089,745.7993806,934.4002296,778.7944477,778.0755963,944.986496,1321.910854,1206.641576,1736.011408,1557.594019,0
"Abalones, winkles, conchs",Trochus niloticus,Commercial top,Top shell,305.4639974,371.0278281,515.9326272,609.6300633,279.1560283,633.2518232,1171.675113,7135.062447,997.2138134,739.1854883,729.4603604,1162.575511,1863.820478,2258.223138,2371.819302,2237.491567,1915.025145,1854.558616,1598.583735,1604.971018,1595.064544,1134.899788,868.4454092,1125.31577,1250.057404,1069.738218,1061.247109,1132.50467,1322.925767,1176.219394,1190.820351,1006.613242,1091.540899,898.2400834,1029.469468,1281.621064,0
"Abalones, winkles, conchs",Turbo cornutus,Horned turban,Univalves,522.916069,170.2123549,540.7587277,443.4880573,406.7134331,502.5875712,710.9386703,620.7947498,708.4492363,818.0225851,1126.959034,974.2030968,1128.053366,904.0830107,716.5395943,1505.928088,1513.607506,2441.035475,2205.788765,2231.880971,2294.312267,2144.144356,2368.795979,1738.272369,1708.455901,1249.662988,1108.556089,745.7993806,934.4002296,778.7944477,778.0755963,944.986496,1321.910854,1206.641576,1736.011408,1557.594019,0
"Abalones, winkles, conchs",Cymbium cymbium,Pig's snout volute,Univalves,522.916069,170.2123549,540.7587277,443.4880573,406.7134331,502.5875712,710.9386703,620.7947498,708.4492363,818.0225851,1126.959034,974.2030968,1128.053366,904.0830107,716.5395943,1505.928088,1513.607506,2441.035475,2205.788765,2231.880971,2294.312267,2144.144356,2368.795979,1738.272369,1708.455901,1249.662988,1108.556089,745.7993806,934.4002296,778.7944477,778.0755963,944.986496,1321.910854,1206.641576,1736.011408,1557.594019,0
