SpecCode,Genus,Species,,,Sex,Data source,Type,Loo (cm),K (1/y),Locality,Country,LinfLmax,Comment
972,Ablennes,hians,Ablennes hians,10118,unsexed,length-frequencies,FL,123,0.605000019,"Tuticorin, Gulf of Mannar",India,no,gill net data
6630,Abudefduf,vaigiensis,Abudefduf vaigiensis,#N/A,unsexed,length-frequencies,TL,18.89999962,0.850000024,Lakshadweep lagoons,India,no,
9046,Acanthochaenus,luetkenii,Acanthochaenus luetkenii,#N/A,unsexed,annuli on many otoliths,SL,11.03999996,0.414000005,Mozambique/Madagascar Ridge,Madagascar,no,
49224,Acanthoclinus,littoreus,Acanthoclinus littoreus,#N/A,mixed,annuli on many otoliths,TL,18.5,0.409999996,Auckland harbour,New Zealand,no,Growth estimated from data in table 1 and Fig. 5.
89,Acanthocybium,solandri,Acanthocybium solandri,3279,unsexed,length-frequencies,FL,158,0.340000004,,Saint Lucia,no,K averaged from Refs. 3806 and 3823
8109,Acanthopagrus,australis,Acanthopagrus australis,#N/A,unsexed,tagging/recapture,FL,29.5,0.50999999,Moreton Bay,Australia,yes,
4543,Acanthopagrus,bifasciatus,Acanthopagrus bifasciatus,18786,unsexed,,TL,48.09999847,0.180999994,"Gulf of Aden, 50 m",Yemen,no,
4543,Acanthopagrus,bifasciatus,Acanthopagrus bifasciatus,18786,unsexed,annuli on many otoliths,TL,34.90000153,0.188999996,,Kuwait,no,Do not use M value for new model to predict M.
4543,Acanthopagrus,bifasciatus,Acanthopagrus bifasciatus,18786,unsexed,other annual rings,FL,29.79999924,0.25,Gulf of Aden,Yemen,no,"data from vertebral rings, cross-checked with scales"
4748,Acanthurus,auranticavus,Acanthurus auranticavus,#N/A,unsexed,annuli on many otoliths,SL,23.5,0.675999999,Great Barrier Reef,Australia,no,
942,Acanthurus,bahianus,Acanthurus bahianus,#N/A,unsexed,tagging/recapture,FL,24.60000038,0.382999986,,US Virgin Is,no,
4750,Acanthurus,blochii,Acanthurus blochii,#N/A,unsexed,annuli on many otoliths,SL,27.60000038,0.25,Great Barrier Reef,Australia,no,
943,Acanthurus,chirurgus,Acanthurus chirurgus,#N/A,unsexed,tagging/recapture,TL,33.20000076,0.254000008,,US Virgin Is,no,
943,Acanthurus,chirurgus,Acanthurus chirurgus,#N/A,unsexed,,,35,0.5,Reefs,Jamaica,no,
944,Acanthurus,coeruleus,Acanthurus coeruleus,#N/A,unsexed,tagging/recapture,FL,36.90000153,0.112000003,St. John,US Virgin Is,no,Linf and k re-estimated from original data.
944,Acanthurus,coeruleus,Acanthurus coeruleus,#N/A,unsexed,,,30,0.5,Reefs,Jamaica,no,M is mean length in unexploited stock and B&H equation of 1956.
1256,Acanthurus,dussumieri,Acanthurus dussumieri,#N/A,unsexed,annuli on many otoliths,SL,30.79999924,0.296000004,Great Barrier Reef,Australia,no,
1257,Acanthurus,leucosternon,Acanthurus leucosternon,#N/A,unsexed,length-frequencies,TL,21,1.299999952,Lakshadweep lagoons,India,yes,
