SpecCode,Genus,Species,,,Sex,tm (y),AgeMatMin,AgeMatMax,Locality,Country,Comment
89,Acanthocybium,solandri,Acanthocybium solandri,3279,female,2,,,northern Gulf of Mexico,USA,100% maturity is reached at 105 cm FL.
65896,Acanthopagrus,pacificus,Acanthopagrus pacificus,#N/A,male,1.149999976,,,Not specified.,Australia,
8836,Acanthopsetta,nadeshnyi,Acanthopsetta nadeshnyi,#N/A,unsexed,7,,,Sea of Japan,Russian Fed,
1258,Acanthurus,lineatus,Acanthurus lineatus,#N/A,mixed,4,,,Tutuila Island,Amer Samoa,
4739,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,#N/A,unsexed,2,,,"Grub and Centipede reefs, N. Queensland, 1992/93",Australia,
4739,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,#N/A,unsexed,2,,,"Yankee, Bowl, Dip and Coil reefs, 1992/93",Australia,
50808,Achoerodus,viridis,Achoerodus viridis,#N/A,female,8,,,Not specified.,Australia,
2065,Acipenser,stellatus,Acipenser stellatus,2071,female,,8,10,Not specified.,,
2065,Acipenser,stellatus,Acipenser stellatus,2071,female,,8,14,"Caspian, Black, Azov and Aegean Seas",,
2065,Acipenser,stellatus,Acipenser stellatus,2071,male,,5,7,Not specified.,,
2065,Acipenser,stellatus,Acipenser stellatus,2071,male,,6,12,"Caspian, Black, Azov and Aegean Seas",,
2065,Acipenser,stellatus,Acipenser stellatus,2071,unsexed,,7,14,Azov Sea,Former USSR,
2066,Acipenser,sturio,Acipenser sturio,#N/A,female,,8,14,Black Sea.,,
2066,Acipenser,sturio,Acipenser sturio,#N/A,female,,8,14,Gironde,France,Weight: 30 kg.
2066,Acipenser,sturio,Acipenser sturio,#N/A,female,,8,20,Not specified.,,
2066,Acipenser,sturio,Acipenser sturio,#N/A,female,,11,18,not specified,,
2066,Acipenser,sturio,Acipenser sturio,#N/A,female,,13,16,Not specified,,
2066,Acipenser,sturio,Acipenser sturio,#N/A,male,,7,9,Black Sea.,,
2066,Acipenser,sturio,Acipenser sturio,#N/A,male,,7,11,Gironde,France,Weight: 20 kg.
2066,Acipenser,sturio,Acipenser sturio,#N/A,male,,7,15,Not specified.,,
2066,Acipenser,sturio,Acipenser sturio,#N/A,male,,8,12,Not specified,,
2066,Acipenser,sturio,Acipenser sturio,#N/A,male,,9,13,not specified,,
2066,Acipenser,sturio,Acipenser sturio,#N/A,unsexed,11,8,14,Not specified,,
2504,Acipenser,naccarii,Acipenser naccarii,#N/A,female,,8,12,Adriatic Sea,,
2504,Acipenser,naccarii,Acipenser naccarii,#N/A,male,,6,8,Adriatic Sea,,
2505,Acipenser,nudiventris,Acipenser nudiventris,10184,female,,12,22,Europe,,
2505,Acipenser,nudiventris,Acipenser nudiventris,10184,male,,6,15,Europe,,
2590,Acipenser,brevirostrum,Acipenser brevirostrum,#N/A,female,,14,17,"St. Johns River, New Brunswick",Can Maritims,"The smallest ripe female is 70 cm (Ref. 4639).  Apparently, females do not spawn (ripe) until they reach about 14-17 years even though 'mature' at about 7-10 years (Ref. 4639)."
2593,Acipenser,oxyrinchus oxyrinchus,Acipenser oxyrinchus oxyrinchus,#N/A,female,,7,19,South Carolina,USA,
2593,Acipenser,oxyrinchus oxyrinchus,Acipenser oxyrinchus oxyrinchus,#N/A,female,,8,12,"Suwannee River, Florida",USA,
2593,Acipenser,oxyrinchus oxyrinchus,Acipenser oxyrinchus oxyrinchus,#N/A,female,,20,30,"Hudson River, New York",USA,
2593,Acipenser,oxyrinchus oxyrinchus,Acipenser oxyrinchus oxyrinchus,#N/A,female,,27,28,St. Lawrence River,USA,
2593,Acipenser,oxyrinchus oxyrinchus,Acipenser oxyrinchus oxyrinchus,#N/A,male,,7,9,"Suwannee River, Florida",USA,
2593,Acipenser,oxyrinchus oxyrinchus,Acipenser oxyrinchus oxyrinchus,#N/A,male,,11,20,"Hudson River, New York",USA,
2593,Acipenser,oxyrinchus oxyrinchus,Acipenser oxyrinchus oxyrinchus,#N/A,male,,22,34,St. Lawrence River,USA,
2594,Acipenser,transmontanus,Acipenser transmontanus,2878,female,,11,34,Fraser River,Can Br Colum,Also Ref. 52332.
2594,Acipenser,transmontanus,Acipenser transmontanus,2878,male,,11,22,Fraser River,Can Br Colum,Also Ref. 52332.
4683,Acipenser,baerii baerii,Acipenser baerii baerii,#N/A,female,,11,12,Lena drainage,Russian Fed,
4683,Acipenser,baerii baerii,Acipenser baerii baerii,#N/A,female,,20,28,Not specified,Russian Fed,
4683,Acipenser,baerii baerii,Acipenser baerii baerii,#N/A,female,17,16,20,Ob,Russian Fed,Also Ref. 11941.
4683,Acipenser,baerii baerii,Acipenser baerii baerii,#N/A,male,,9,10,Lena drainage,Russian Fed,
4683,Acipenser,baerii baerii,Acipenser baerii baerii,#N/A,male,,9,11,Not specified.,France,Under optimal conditions.
4683,Acipenser,baerii baerii,Acipenser baerii baerii,#N/A,male,,11,24,Not specified,Russian Fed,
4683,Acipenser,baerii baerii,Acipenser baerii baerii,#N/A,male,11,9,15,Ob,Russian Fed,Also Ref. 11941.
4683,Acipenser,baerii baerii,Acipenser baerii baerii,#N/A,mixed,,17,23,Enisey river,Russian Fed,
4712,Acipenser,gueldenstaedtii,Acipenser gueldenstaedtii,2877,female,,12,16,Not specified.,,
4712,Acipenser,gueldenstaedtii,Acipenser gueldenstaedtii,2877,male,,11,13,Not specified.,,
4712,Acipenser,gueldenstaedtii,Acipenser gueldenstaedtii,2877,unsexed,,8,15,Azov Sea,Former USSR,
4712,Acipenser,gueldenstaedtii,Acipenser gueldenstaedtii,2877,unsexed,,9,10,Black Sea and Azov Sea,Former USSR,Under the name <i>A. g. colchicus</i>.
6085,Acipenser,schrenckii,Acipenser schrenckii,#N/A,female,,11,14,River Onon,Mongolia,Also Ref. 52332.
6085,Acipenser,schrenckii,Acipenser schrenckii,#N/A,female,11,10,14,Amur river,Russian Fed,weight 6-12 (mean 10) kg
6085,Acipenser,schrenckii,Acipenser schrenckii,#N/A,male,,7,12,Amur river,Russian Fed,weight 4-10 kg
6085,Acipenser,schrenckii,Acipenser schrenckii,#N/A,male,,8,10,River Onon,Mongolia,
6085,Acipenser,schrenckii,Acipenser schrenckii,#N/A,male,,9,10,Amur River,China Main,"When fish become mature,the amount of the eggs can be 510000-2800000 in May-June."
