"","Country","SciName","CommName","SpeciesCatName","RegionFAO"
"1","Philippines","Haliotis spp","Abalones nei","Abalones, winkles, conchs","71"
"2","Philippines","Anadara spp","Anadara clams nei","Clams, cockles, arkshells","71"
"3","Philippines","Sphyraena spp","Barracudas nei","Miscellaneous pelagic fishes","71"
"4","Philippines","Lates calcarifer","Barramundi(=Giant seaperch)","Miscellaneous diadromous fishes","71"
"5","Philippines","Selar crumenophthalmus","Bigeye scad","Miscellaneous pelagic fishes","71"
"6","Philippines","Portunus pelagicus","Blue swimming crab","Crabs, sea-spiders","71"
"7","Philippines","Stromateidae","Butterfishes, pomfrets nei","Miscellaneous pelagic fishes","71"
"8","Philippines","Carangidae","Carangids nei","Miscellaneous pelagic fishes","71"
"9","Philippines","Anodontostoma chacunda","Chacunda gizzard shad","Shads","71"
"10","Philippines","Scomber japonicus","Chub mackerel","Miscellaneous pelagic fishes","71"
"11","Philippines","Bivalvia","Clams, etc. nei","Clams, cockles, arkshells","71"
"12","Philippines","Rachycentron canadum","Cobia","Miscellaneous pelagic fishes","71"
"13","Philippines","Coryphaena hippurus","Common dolphinfish","Miscellaneous pelagic fishes","71"
"14","Philippines","Loligo spp","Common squids nei","Squids, cuttlefishes, octopuses","71"
"15","Philippines","Congridae","Conger eels, etc. nei","Miscellaneous demersal fishes","71"
"16","Philippines","Metapenaeus endeavouri","Endeavour shrimp","Shrimps, prawns","71"
"17","Philippines","Lactarius lactarius","False trevally","Miscellaneous pelagic fishes","71"
"18","Philippines","Pleuronectiformes","Flatfishes nei","Flounders, halibuts, soles","71"
"19","Philippines","Auxis thazard, A. rochei","Frigate and bullet tunas","Tunas, bonitos, billfishes","71"
"20","Philippines","Mullidae","Goatfishes, red mullets nei","Miscellaneous coastal fishes","71"
"21","Philippines","Perna viridis","Green mussel","Mussels","71"
"22","Philippines","Serranidae","Groupers, seabasses nei","Miscellaneous coastal fishes","71"
"23","Philippines","Trichiuridae","Hairtails, scabbardfishes nei","Miscellaneous demersal fishes","71"
"24","Philippines","Hemiramphus spp","Halfbeaks nei","Miscellaneous pelagic fishes","71"
"25","Philippines","Rastrelliger kanagurta","Indian mackerel","Miscellaneous pelagic fishes","71"
"26","Philippines","Pellona ditchela","Indian pellona","Shads","71"
"27","Philippines","Scylla serrata","Indo-Pacific swamp crab","Crabs, sea-spiders","71"
"28","Philippines","Megalops cyprinoides","Indo-Pacific tarpon","Miscellaneous coastal fishes","71"
"29","Philippines","Euthynnus affinis","Kawakawa","Tunas, bonitos, billfishes","71"
"30","Philippines","Synodontidae","Lizardfishes nei","Miscellaneous coastal fishes","71"
"31","Philippines","Istiophoridae","Marlins,sailfishes,etc. nei","Tunas, bonitos, billfishes","71"
"32","Philippines","Metapenaeus spp","Metapenaeus shrimps nei","Shrimps, prawns","71"
