SpecCode,Genus,Species,SciName,Length (cm),LTypeMaxM,LengthFemale,LTypeMaxF,LengthCommon,LTypeCommon,LengthCommonF,LTypeCommonF,Freshwater,Brackish,Saltwater,Habitat,Migration,DepthRangeMin,DepthRangeMax,DepthCommonMin,DepthCommonMax,PriceCategory,PriceReliability,Northernmost,NorthSouthN,Southermost,NorthSouthS,Westernmost,WestEastW,Easternmost,WestEastE,BoundingMethod,TempMin,TempMax,EnvTemp,TrophDiet,TrophDietSE,TrophFood,TrophFoodSE,DietTLu,DietTLuSE
50406,Acanthopagrus,schlegelii czerskii,Acanthopagrus schlegelii czerskii,12.30000019,SL,,,,,,,No,yes,yes,demersal,,,,,,very high,Very questionable: based on ex-vessel price for species in this family,,,,,,,,,,,,boreal,,,,,,
6531,Acanthopagrus,schlegelii schlegelii,Acanthopagrus schlegelii schlegelii,50,SL,,,,,,,No,yes,yes,demersal,,15,,,,high,Reliable: based on ex-vessel price for this species,40,N,20,N,,,,,,,,subtropical,,,3.24000001,0.45,,
6583,Acanthopagrus,sivicolus,Acanthopagrus sivicolus,45,SL,,,,,,,No,yes,yes,demersal,,,,,,very high,Very questionable: based on ex-vessel price for species in this family,30,N,24,N,,,,,,,,subtropical,,,3.38,0.42,,
65558,Acanthopagrus,vagus,Acanthopagrus vagus,26.20000076,SL,,,,,,,No,No,yes,demersal,,,,,,,,,,,,,,,,,,,tropical,,,,,,
58053,Acanthoplesiops,echinatus,Acanthoplesiops echinatus,4,TL,,,,,,,No,No,yes,pelagic-neritic,,8,20,,,not marketed/unknown,,,,,,,,,,,,,tropical,,,3.6,0.59,,
17444,Acanthoplesiops,hiatti,Acanthoplesiops hiatti,2.400000095,SL,,,,,,,No,No,yes,reef-associated,non-migratory,0,18,,,not marketed/unknown,,35,N,9,S,,,,,,,,tropical,,,3.5,0.5,,
8004,Acanthoplesiops,indicus,Acanthoplesiops indicus,5,TL,,,,,,,No,No,yes,demersal,non-migratory,,7,,,not marketed/unknown,,,,,,,,,,,,,tropical,,,3.55,0.55,,
65019,Acanthoplesiops,naka,Acanthoplesiops naka,0.99000001,SL,,,,,,,No,No,yes,pelagic-neritic,,21,32,,,,,,,,,,,,,,,,tropical,,,,,,
59172,Acanthoplesiops,psilogaster,Acanthoplesiops psilogaster,2.25999999,SL,,,,,,,No,No,yes,demersal,,9,12,,,not marketed/unknown,,,,,,,,,,,,,subtropical,,,,,,
8836,Acanthopsetta,nadeshnyi,Acanthopsetta nadeshnyi,46,TL,,,,,,,No,No,yes,demersal,,18,900,,,medium,Very questionable: based on ex-vessel price for species in this family,66,N,,,,,,,,,,temperate,3.28,0.47,,,3.23,0.39
25311,Acanthosphex,leurynnis,Acanthosphex leurynnis,2.079999924,SL,,,,,,,No,No,yes,demersal,,,,,,not marketed/unknown,,,,,,,,,,,,,tropical,,,,,,
23363,Acanthostracion,guineensis,Acanthostracion guineensis,18,TL,,,,,,,No,No,yes,demersal,,,200,,,high,Very questionable: based on ex-vessel price for species in this family,18,N,18,S,21,W,13,E,7,,,tropical,,,,,,
23370,Acanthostracion,notacanthus,Acanthostracion notacanthus,50,TL,,,,,,,No,No,yes,demersal,,3,25,,,high,Very questionable: based on ex-vessel price for species in this family,,,,,,,,,,,,subtropical,,,,,,
4287,Acanthostracion,polygonius,Acanthostracion polygonius,50,NG,,,,,,,No,No,yes,reef-associated,,3,80,,,high,Very questionable: based on ex-vessel price for species in this family,41,N,33,S,,,,,,,,tropical,2.02,0.04,3.35,0.37,2.09,0.039
92,Acanthostracion,quadricornis,Acanthostracion quadricornis,55,TL,,,,,,,No,No,yes,reef-associated,,,80,10,30,high,Very questionable: based on ex-vessel price for species in this family,43,N,37,S,98,W,26,E,7,,,subtropical,3.02,0.32,3.77,0.32,3.02,0.32
4306,Acanthurus,achilles,Acanthurus achilles,24,TL,,,,,,,No,No,yes,reef-associated,,0,10,0,4,medium,Very questionable: based on ex-vessel price for species in this family,28,N,26,S,143,E,109,W,7,26,28,tropical,,,2,0,,
13770,Acanthurus,albipectoralis,Acanthurus albipectoralis,33,TL,,,,,,,No,No,yes,reef-associated,,5,20,,,medium,Very questionable: based on ex-vessel price for species in this family,19,S,22,S,157,E,160,E,2,,,tropical,,,3.4,0.45,,
4748,Acanthurus,auranticavus,Acanthurus auranticavus,45,SL,,,,,,,No,No,yes,reef-associated,,3,8,,,medium,Very questionable: based on ex-vessel price for species in this family,20,N,25,S,35,E,172,W,7,,,tropical,,,,,,
942,Acanthurus,bahianus,Acanthurus bahianus,38.09999847,SL,,,,,,,No,No,yes,reef-associated,,2,40,2,25,medium,Very questionable: based on ex-vessel price for species in this family,43,N,33,S,98,W,13,W,7,21,25,tropical,2,0,2,0,2,0
4307,Acanthurus,bariene,Acanthurus bariene,50,TL,,,,,,,No,No,yes,reef-associated,,6,50,30,,medium,Very questionable: based on ex-vessel price for species in this family,30,N,24,S,,,,,,23,29,tropical,,,2,0,,
4750,Acanthurus,blochii,Acanthurus blochii,45,SL,,,,,,,No,No,yes,reef-associated,,1,12,,,medium,Very questionable: based on ex-vessel price for species in this family,30,N,32,S,,,,,,,,tropical,,,2,0,,
943,Acanthurus,chirurgus,Acanthurus chirurgus,39,TL,,,,,,,No,No,yes,reef-associated,,2,25,2,15,medium,Very questionable: based on ex-vessel price for species in this family,37,N,7,S,89,W,34,W,1,22,25,subtropical,2,0.02,2,0,2,0.02
944,Acanthurus,coeruleus,Acanthurus coeruleus,39,TL,,,,,,,No,No,yes,reef-associated,,2,40,2,18,medium,Very questionable: based on ex-vessel price for species in this family,42,N,15,S,100,W,4,W,1,24,26,tropical,2.01,0.03,2,0,2.01,0.03
1256,Acanthurus,dussumieri,Acanthurus dussumieri,54,TL,,,,,,,No,No,yes,reef-associated,,4,131,9,130,medium,Very questionable: based on ex-vessel price for species in this family,29,N,36,S,0,W,155,W,2,24,28,tropical,2.02,0.05,2,0,2.02,0.05
4745,Acanthurus,fowleri,Acanthurus fowleri,45,SL,,,,,,,No,No,yes,reef-associated,,2,50,2,20,medium,Very questionable: based on ex-vessel price for species in this family,,,,,,,,,,24,28,tropical,,,,,,
17471,Acanthurus,gahhm,Acanthurus gahhm,40,TL,,,,,,,No,No,yes,reef-associated,,1,40,5,40,medium,Very questionable: based on ex-vessel price for species in this family,,,,,,,,,,25,27,tropical,,,2.76,0.28,,
4749,Acanthurus,grammoptilus,Acanthurus grammoptilus,35,TL,,,,,,,No,No,yes,reef-associated,,22,91,,,medium,Very questionable: based on ex-vessel price for species in this family,10,S,31,S,114,E,180,E,2,,,tropical,,,,,,
62612,Abalistes,filamentosus,Abalistes filamentosus,32.5,SL,24.29999924,SL,,,,,No,No,yes,pelagic-neritic,,61,180,,,medium,Very questionable: based on ex-vessel price for species in this family,,,,,,,,,,,,subtropical,,,,,,
9,Abalistes,stellaris,Abalistes stellaris,60,TL,,,,,,,No,No,yes,demersal,amphidromous,,,,,medium,Very questionable: based on ex-vessel price for species in this family,46,N,36,S,6,W,178,W,7,,,tropical,3.54,0.55,3.85,0.61,,
58334,Abalistes,stellatus,Abalistes stellatus,60,TL,,,,,,,No,No,yes,reef-associated,,7,350,,,medium,Very questionable: based on ex-vessel price for species in this family,30,N,38,S,32,E,179,W,7,,,tropical,,,,,,
8049,Ablabys,binotatus,Ablabys binotatus,15,TL,,,,,,,No,No,yes,reef-associated,,,,,,not marketed/unknown,,29,N,32,S,30,E,60,E,2,,,tropical,,,,,,
25701,Ablabys,macracanthus,Ablabys macracanthus,20,TL,,,,,,,No,No,yes,reef-associated,,,,,,not marketed/unknown,,25,N,8,N,92,E,124,E,2,,,tropical,,,,,,
10232,Ablabys,taenianotus,Ablabys taenianotus,15,TL,,,,,,,No,No,yes,reef-associated,,,78,,,not marketed/unknown,,26,N,31,S,58,E,179,E,2,,,tropical,,,,,,
