Region,food_gap_kcal_percapita_day,food_gap_kcal_percapita_yr,Total_Pop_Millions,Total_kcal
Haiti,523,190895,10.3,1966218.5
Zambia,408,148920,14.5,2159340
Democratic People's Republic of Korea,303,110595,24.9,2753815.5
Central African Republic,287,104755,4.6,481873
Namibia,278,101470,2.3,233381
Chad,264,96360,12.8,1233408
Ethiopia,261,95265,94.1,8964436.5
United Republic of Tanzania,258,94170,49.3,4642581
Rwanda,248,90520,11.8,1068136
Tajikistan,245,89425,8.2,733285
Zimbabwe,244,89060,14.2,1264652
Congo,223,81395,4.4,358138
Liberia,220,80300,4.3,345290
Low income economies,218,79570,860.1,68438157
Sri Lanka,216,78840,21.3,1679292
Least developed countries,212,77380,898.4,69518192
Madagascar,208,75920,22.9,1738568
Mozambique,204,74460,25.8,1921068
Botswana,197,71905,2,143810
Timor-Leste,197,71905,1.1,79095.5
Sierra Leone,190,69350,6.1,423035
Iraq,190,69350,33.8,2344030
Swaziland,186,67890,1.2,81468
Caribbean,186,67890,42.3,2871747
Sub-Saharan Africa,182,66430,900.8,59840144
Yemen,176,64240,24.4,1567456
Mongolia,173,63145,2.8,176806
Uganda,172,62780,37.6,2360528
Landlocked developing countries,171,62415,451.4,28174131
Pakistan,169,61685,182.1,11232838.5
Burkina Faso,167,60955,16.9,1030139.5
Africa,156,56940,1110.8,63248952
Kenya,156,56940,44.4,2528136
Small island developing States,156,56940,64.8,3689712
Afghanistan,155,56575,30.6,1731195
Lao People's Democratic Republic,154,56210,6.8,382228
Malawi,148,54020,16.4,885928
Djibouti,143,52195,0.9,46975.5
Low-income food-deficit countries,140,51100,2553.7,130494070
Guinea,128,46720,11.7,546624
Southern Asia (excluding India),128,46720,496.9,23215168
Bolivia (Plurinational State of),128,46720,10.7,499904
Nicaragua,123,44895,6.1,273859.5
Myanmar,122,44530,53.3,2373449
Guinea-Bissau,120,43800,1.7,74460
Bangladesh,118,43070,156.6,6744762
Angola,114,41610,21.5,894615
Southern Asia,114,41610,1749,72775890
Cambodia,111,40515,15.1,611776.5
India,109,39785,1252.1,49814798.5
Senegal,108,39420,14.1,555822
Eastern Asia (excluding China),108,39420,77,3035340
Dominican Republic,104,37960,10.4,394784
C™te d'Ivoire,103,37595,20.3,763178.5
Togo,102,37230,6.8,253164
Developing countries,101,36865,5900.1,217507186.5
Viet Nam,99,36135,91.7,3313579.5
Lower-middle-income economies,98,35770,2553.7,91345849
Asia,94,34310,4162.5,142815375
El Salvador,93,33945,6.3,213853.5
Guatemala,92,33580,15.5,520490
Oceania ,92,33580,10.5,352590
Nepal,87,31755,27.8,882789
Eastern Asia,86,31390,1493.6,46884104
China,85,31025,1416.6,43950015
World,84,30660,7161.8,219580788
Honduras,84,30660,8.1,248346
Colombia,81,29565,48.3,1427989.5
Lesotho,78,28470,2.1,59787
Philippines,78,28470,98.4,2801448
Solomon Islands,77,28105,0.6,16863
Paraguay,75,27375,6.8,186150
Georgia,74,27010,4.3,116143
South-Eastern Asia,73,26645,618.8,16487926
Panama,73,26645,3.9,103915.5
Ecuador,72,26280,15.7,412596
Cabo Verde,71,25915,0.5,12957.5
Guyana,68,24820,0.8,19856
Niger,67,24455,17.8,435299
Trinidad and Tobago,67,24455,1.3,31791.5
Cameroon,66,24090,22.3,537207
Western Asia,65,23725,220.1,5221872.5
Benin,62,22630,10.3,233089
Indonesia,59,21535,249.8,5379443
Suriname,59,21535,0.5,10767.5
Peru,58,21170,30.4,643568
Jamaica,56,20440,2.8,57232
Caucasus and Central Asia,53,19345,81.1,1568879.5
Thailand,49,17885,67,1198295
Northern Africa,47,17155,210,3602550
Vanuatu,46,16790,0.3,5037
Latin America and the Caribbean,44,16060,616.4,9899384
Sao Tome and Principe,42,15330,0.2,3066
Mauritania,41,14965,3.9,58363.5
Armenia,41,14965,3,44895
Kyrgyzstan,41,14965,5.5,82307.5
Saint Vincent and the Grenadines,41,14965,0.1,1496.5
Belize,41,14965,0.3,4489.5
Costa Rica,41,14965,4.9,73328.5
Maldives,40,14600,0.3,4380
Uzbekistan,39,14235,28.9,411391.5
Nigeria,38,13870,173.7,2409219
Gambia,37,13505,1.8,24309
Mauritius,36,13140,1.2,15768
Lebanon,35,12775,4.8,61320
Latin America,35,12775,574.1,7334127.5
Morocco,34,12410,33,409530
Iran (Islamic Republic of),33,12045,77.4,932283
Mexico,32,11680,122.3,1428464
Fiji,30,10950,0.9,9855
Algeria,24,8760,39.2,343392
Ghana,24,8760,25.9,226884
Chile,24,8760,17.6,154176
Uruguay,24,8760,3.4,29784
Mali,23,8395,15.3,128443.5
Malaysia,23,8395,29.7,249331.5
Barbados,23,8395,0.3,2518.5
Kiribati,23,8395,0.1,839.5
Gabon,22,8030,1.7,13651
United Arab Emirates,22,8030,9.3,74679
Turkmenistan,21,7665,5.2,39858
Samoa,20,7300,0.2,1460
Kazakhstan,18,6570,16.4,107748
Kuwait,17,6205,3.4,21097
South Africa,16,5840,52.8,308352
Brunei Darussalam,16,5840,0.4,2336
Egypt,14,5110,82.1,419531
Jordan,12,4380,7.3,31974
Brazil,12,4380,200.4,877752
Venezuela (Bolivarian Republic of),12,4380,30.4,133152
Azerbaijan,11,4015,9.4,37741
Saudi Arabia,10,3650,28.8,105120
Cuba,9,3285,11.3,37120.5
Developed countries,8,2920,1261.6,3683872
Republic of Korea,6,2190,49.3,107967
Argentina,6,2190,41.4,90666
Tunisia,5,1825,11,20075
Turkey,2,730,74.9,54677
