Stock,SciName,5yearPrice,region,source
CCod/GoMaine yellowtail flounder,Limanda ferruginea,3439,US Northeast,ACCSP or NMFS
Chesapeake Bay blue crab,Callinectes sapidus,2525,US Northeast,ACCSP or NMFS
complex USNE skate,Raja spp,542,US Southeast,ACCSP or NMFS
Delaware Bay horseshoe crab,Limulus polyphemus,888,US Northeast,ACCSP or NMFS
GeBank American lobster,Homarus americanus,8962,US Northeast,ACCSP or NMFS
GeBank Atlantic cod TRAC,Gadus morhua,3396,US Northeast,ACCSP or NMFS
GeBank haddock TRAC,Melanogrammus aeglefinus,2809,US Northeast,ACCSP or NMFS
GeBank winter flounder,Pseudopleuronectes americanus,4247,US Northeast,ACCSP or NMFS
GeBank yellowtail flounder TRAC,Limanda ferruginea,3439,US Northeast,ACCSP or NMFS
GeBank/GoMaine Acadian redfish,Sebastes fasciatus,1276,US Northeast,ACCSP or NMFS
GeBank/GoMaine American plaice,Hippoglossoides platessoides,3421,US Northeast,ACCSP or NMFS
GeBank/GoMaine Atlantic halibut,Hippoglossus hippoglossus,11002,US Northeast,ACCSP or NMFS
GeBank/GoMaine Atlantic herring TRAC,Clupea harengus,272,US Northeast,ACCSP or NMFS
GeBank/GoMaine Atlantic pollock,Pollachius virens,1327,US Northeast,ACCSP or NMFS
GeBank/GoMaine white hake,Urophycis tenuis,2410,US Northeast,ACCSP or NMFS
GeBank/GoMaine windowpane flounder,Scophthalmus aquosus,984,US Northeast,ACCSP or NMFS
GeBank/midAtl sea scallop,Placopecten magellanicus,15170,US Northeast,ACCSP or NMFS
GoMaine American lobster,Homarus americanus,8962,US Northeast,ACCSP or NMFS
GoMaine Atlantic cod,Gadus morhua,3396,US Northeast,ACCSP or NMFS
GoMaine haddock,Melanogrammus aeglefinus,2809,US Northeast,ACCSP or NMFS
GoMaine northern shrimp,Pandalus borealis,974,US Northeast,ACCSP or NMFS
GoMaine winter flounder,Pseudopleuronectes americanus,4247,US Northeast,ACCSP or NMFS
GoMaine witch flounder,Glyptocephalus cynoglossus,4820,US Northeast,ACCSP or NMFS
nGeBank/GoMaine monkfish,Lophius americanus,2419,US Northeast,ACCSP or NMFS
nGeBank/GoMaine red hake,Urophycis chuss,978,US Northeast,ACCSP or NMFS
nGeBank/GoMaine silver hake,Merluccius bilinearis,1194,US Northeast,ACCSP or NMFS
sGeBank/midAtl monkfish,Lophius americanus,2419,US Northeast,ACCSP or NMFS
sGeBank/midAtl red hake,Urophycis chuss,798,US Northeast,ACCSP or NMFS
sGeBank/midAtl silver hake,Merluccius bilinearis,1384,US Northeast,ACCSP or NMFS
sNEng American lobster,Homarus americanus,8962,US Northeast,ACCSP or NMFS
sNEng/midAtl windowpane flounder,Scophthalmus aquosus,1355,US Northeast,ACCSP or NMFS
sNEng/midAtl winter flounder,Pseudopleuronectes americanus,4254,US Northeast,ACCSP or NMFS
sNEng/midAtl yellowtail flounder,Limanda ferruginea,3449,US Northeast,ACCSP or NMFS
USEC Atlantic croaker,Micropogonias undulatus,1122,US Northeast,ACCSP or NMFS
USEC Atlantic menhaden,Brevoortia tyrannus,160,US Northeast,ACCSP or NMFS
USEC Atlantic surfclam,Spisula solidissima,1416,US Northeast,ACCSP or NMFS
USEC bluefish,Pomatomus saltatrix,1111,US Northeast,ACCSP or NMFS
USEC ocean quahog,Arctica icelandica,1459,US Northeast,ACCSP or NMFS
USEC spiny dogfish,Squalus acanthias,495,US Northeast,ACCSP or NMFS
USEC striped bass,Morone saxatilis,4768,US Northeast,ACCSP or NMFS
USEC tautog,Tautogis onitis,6139,US Northeast,ACCSP or NMFS
USNE Atlantic mackerel TRAC,Scomber scombrus,373,US Northeast,ACCSP or NMFS
USNE Atlantic wolffish,Anarhichas lupus,1743,US Northeast,ACCSP or NMFS
USNE black sea bass,Centropristis striata,6816,US Northeast,ACCSP or NMFS
USNE butterfish,Peprilus triacanthus,1582,US Northeast,ACCSP or NMFS
USNE deep sea red crab,Chaceon quinquedens,1931,US Northeast,ACCSP or NMFS
USNE golden tilefish,Lopholatilus chamaeleonticeps,5547,US Northeast,ACCSP or NMFS
USNE longfin inshore squid,Loligo pealeii,2010,US Northeast,ACCSP or NMFS
USNE northern shortfin squid,Illex illecebrosus,758,US Northeast,ACCSP or NMFS
USNE ocean pout,Zoarces americanus,1418,US Northeast,ACCSP or NMFS
USNE offshore hake,Merluccius albidus,1178,US Northeast,ACCSP or NMFS
USNE scup,Stenotomus chrysops,1906,US Northeast,ACCSP or NMFS
USNE summer flounder,Paralichthys dentatus,5048,US Northeast,ACCSP or NMFS
GoMex blacktip shark,Carcharhinus limbatus ,631,US Southeast,NMFS
GoMex brown shrimp,Penaeus aztecus ,3543,US Southeast,NMFS
GoMex gag grouper,Mycteroperca microlepis,7663,US Southeast,NMFS
GoMex golden tilefish,Lopholatilus chamaeleonticeps,3988,US Southeast,NMFS
GoMex gray triggerfish,Balistes capriscus,2250,US Southeast,NMFS
GoMex greater amberjack,Seriola dumerili,2396,US Southeast,NMFS
GoMex Gulf menhaden,Brevoortia patronus,150,US Southeast,NMFS
GoMex king mackerel,Scomberomorus cavalla,3388,US Southeast,NMFS
GoMex pink shrimp,Farfantepenaeus duorarum,4262,US Southeast,NMFS
GoMex red grouper,Epinephelus morio,5553,US Southeast,NMFS
GoMex red snapper,Lutjanus campechanus,7088,US Southeast,NMFS
GoMex Spanish mackerel,Scomberomorus maculatus,1448,US Southeast,NMFS
GoMex vermilion snapper,Rhomboplites aurorubens,5181,US Southeast,NMFS
GoMex white shrimp,Litopenaeus setiferus,4103,US Southeast,NMFS
GoMex yellowedge grouper,Epinephelus flavolimbatus,6995,US Southeast,NMFS
sAtl black sea bass,Centropristis striata,4882,US Southeast,NMFS
sAtl blacknose shark,Carcharhinus acronotus,1293,US Southeast,NMFS
sAtl gag grouper,Mycteroperca microlepis,8389,US Southeast,NMFS
sAtl golden tilefish,Lopholatilus chamaeleonticeps,5431,US Southeast,NMFS
sAtl greater amberjack,Seriola dumerili,2145,US Southeast,NMFS
sAtl king mackerel,Scomberomorus cavalla,4062,US Southeast,NMFS
sAtl red grouper,Epinephelus morio,6370,US Southeast,NMFS
sAtl red porgy,Pagrus pagrus,3514,US Southeast,NMFS
sAtl red snapper,Lutjanus campechanus,7393,US Southeast,NMFS
sAtl snowy grouper,Epinephelus niveatus,7015,US Southeast,NMFS
sAtl Spanish mackerel,Scomberomorus maculatus,1847,US Southeast,NMFS
sAtl vermilion snapper,Rhomboplites aurorubens,6406,US Southeast,NMFS
USSE Atlantic sharpnose shark,Rhizoprionodon terraenovae,926,US Southeast,NMFS
USSE black grouper,Mycteroperca bonaci,7405,US Southeast,NMFS
USSE bonnethead shark,Sphyrna tiburo,1075,US Southeast,NMFS
USSE finetooth shark,Carcharhinus isodon,1495,US Southeast,NMFS
USSE mutton snapper,Lutjanus analis,5119,US Southeast,NMFS
USSE scalloped hammerhead shark,Sphyrna lewini,646,US Southeast,NMFS
USSE yellowtail snapper,Ocyurus chrysurus,5702,US Southeast,NMFS
Alaska sablefish,Anoplopoma fimbria,8432,US Alaska,NMFS
Pacific halibut (coastwide),Hippoglossus stenolepis,8254,US Alaska,NMFS
AI golden king crab ,Lithodes aequispina,8178,US BSAI,ADFG
AI walleye pollock,Theragra chalcogramma,300,US BSAI,NMFS
Alaska scallop Bering Sea,Patinopecten caurinus,13057,US BSAI,NMFS
Alaska Togiak herring,Clupea pallasii,164,US BSAI,ADFG
Bristol Bay red king crab,Paralithodes camtschaticus,11206,US BSAI,NMFS
BSAI Alaska plaice,Pleuronectes quadrituberculatus,136,US BSAI,ADFG
BSAI arrowtooth flounder,Atheresthes stomias,39,US BSAI,ADFG
BSAI atka mackerel,Pleurogrammus monopterygius,383,US BSAI,NMFS
BSAI flathead sole,Hippoglossoides elassodon,37,US BSAI,ADFG
BSAI Greenland halibut,Reinhardtius hippoglossoides,809,US BSAI,NMFS
BSAI northern rock sole,Lepidopsetta polyxystra,399,US BSAI,NMFS
BSAI northern rockfish,Sebastes polyspinis,140,US BSAI,ADFG
BSAI Pacific cod,Gadus macrocephalus,743,US BSAI,ADFG
BSAI Pacific ocean perch,Sebastes alutus,142,US BSAI,ADFG
BSAI rougheye rockfish,Sebastes aleutianus,190,US BSAI,ADFG
BSAI shortraker rockfish,Sebastes borealis,371,US BSAI,ADFG
BSAI yellowfin sole,Limanda aspera,336,US BSAI,NMFS
EBS snow crab,Chionoecetes opilio,3591,US BSAI,NMFS
EBS tanner crab ,Chionoecetes bairdi,3989,US BSAI,NMFS
EBS walleye pollock,Theragra chalcogramma,300,US BSAI,NMFS
Norton Sound red king crab,Paralithodes camtschaticus,11206,US BSAI,NMFS
St-Matthews blue king crab,Paralithodes platypus,11206,US BSAI,NMFS
Alaska Kodiak herring,Clupea pallasii,409,US GoAlaska,ADFG
Alaska scallop Kodiak NE,Patinopecten caurinus,13057,US GoAlaska,NMFS
Alaska scallop Kodiak Shelikof,Patinopecten caurinus,13057,US GoAlaska,NMFS
Alaska scallop PWS,Patinopecten caurinus,13057,US GoAlaska,NMFS
Alaska scallop Yakutat Area D,Patinopecten caurinus,13057,US GoAlaska,NMFS
Alaska scallop Yakutat Dist 16,Patinopecten caurinus,13057,US GoAlaska,NMFS
Alaska Sitka herring,Clupea pallasii,835,US GoAlaska,ADFG
GOA arrowtooth flounder,Atheresthes stomias,132,US GoAlaska,ADFG
GOA atka mackerel,Pleurogrammus monopterygius,383,US GoAlaska,NMFS
GOA dover sole,Microstomus pacificus,184,US GoAlaska,NMFS
GOA dusky rockfish,Sebastes variabilis,383,US GoAlaska,ADFG
GOA flathead sole,Hippoglossoides elassodon,291,US GoAlaska,ADFG
GOA northern rockfish,Sebastes polyspinis,331,US GoAlaska,ADFG
GOA Pacific cod,Gadus macrocephalus,788,US GoAlaska,ADFG
GOA Pacific ocean perch,Sebastes alutus,337,US GoAlaska,ADFG
GOA rex sole,Glyptocephalus zachirus,633,US GoAlaska,ADFG
GOA rougheye rockfish,Sebastes aleutianus,721,US GoAlaska,ADFG
GOA shortraker rockfish,Sebastes borealis,695,US GoAlaska,ADFG
GOA shortspine thornyhead,Sebastolobus alascanus,2165,US GoAlaska,ADFG
GOA walleye pollock,Theragra chalcogramma,300,US GoAlaska,NMFS
GOA yelloweye rockfish,Sebastes ruberrimus,2395,US GoAlaska,ADFG
SE Alaska dungeness crab,Cancer magister,4589,US GoAlaska,ADFG
SE Alaska geoduck,Panopea generosa,14484,US GoAlaska,NMFS
SE Alaska red sea urchin,Strongylocentrotus franciscanus,680,US GoAlaska,NMFS
SE Alaska sea cucumber,Parastichopus californicus,8297,US GoAlaska,ADFG
SE Alaska spot shrimp,Pandalus platyceros,13507,US GoAlaska,ADFG
CA dungeness crab,Cancer magister,5440,US West,NMFS
CA red sea urchin,Strongylocentrotus franciscanus,1229,US West,CDFG
CA spiny lobster,Panulirus interruptus,31256,US West,NMFS
OR dungeness crab,Cancer magister,5325,US West,NMFS
OR ocean shrimp,Pandalus jordani,980,US West,NMFS
OR red sea urchin,Strongylocentrotus franciscanus,826,US West,PACFIN
USWC arrowtooth flounder,Atheresthes stomias,232,US West,NMFS
USWC black rockfish (northern),Sebastes melanops,4375,US West,NMFS
USWC black rockfish (southern),Sebastes melanops,4375,US West,NMFS
USWC blackgill rockfish,Sebastes melanostomus,2880,US West,NMFS
USWC blue rockfish,Sebastes mystinus,3377,US West,NMFS
USWC bocaccio (southern),Sebastes paucispinis,2431,US West,NMFS
USWC cabezon (nCal),Scorpaenichthys marmoratus,9898,US West,NMFS
USWC cabezon (OR),Scorpaenichthys marmoratus,7694,US West,NMFS
USWC cabezon (sCal),Scorpaenichthys marmoratus,9898,US West,NMFS
USWC California scorpionfish (southern),Scorpaena guttata,8898,US West,NMFS
USWC canary rockfish,Sebastes pinniger,1212,US West,NMFS
USWC chilipepper (southern),Sebastes goodei,1502,US West,NMFS
USWC cowcod,Sebastes levis,600,US West,NMFS
USWC darkblotched rockfish,Sebastes crameri,1170,US West,NMFS
USWC dover sole,Microstomus pacificus,824,US West,NMFS
USWC English sole,Parophrys vetulus,739,US West,NMFS
USWC gopher rockfish,Sebastes carnatus,15469,US West,NMFS
USWC greenstriped rockfish,Sebastes elongatus,2093,US West,NMFS
USWC kelp greenling (OR),Hexagrammos decagrammus,10467,US West,NMFS
USWC lingcod (northern),Ophiodon elongatus,2257,US West,NMFS
USWC lingcod (southern),Ophiodon elongatus,3860,US West,NMFS
USWC longnose skate,Raja rhina,879,US West,PACFIN
USWC longspine thornyhead,Sebastolobus altivelis,1042,US West,PACFIN
USWC market squid,Loligo opalescens,610,US West,PACFIN
USWC Pacific cod,Gadus macrocephalus,1194,US West,NMFS
USWC Pacific mackerel,Scomber japonicus,223,US West,PACFIN
USWC Pacific ocean perch,Sebastes alutus,1083,US West,NMFS
USWC Pacific sardine,Sardinops sagax,194,US West,PACFIN
USWC petrale sole,Eopsetta jordani,2630,US West,NMFS
USWC sablefish,Anoplopoma fimbria,5411,US West,NMFS
USWC shortbelly rockfish,Sebastes jordani,1094,US West,PACFIN
USWC shortspine thornyhead,Sebastolobus alascanus,2758,US West,NMFS
USWC spiny dogfish,Squalus acanthias,491,US West,NMFS
USWC splitnose rockfish,Sebastes diploproa,751,US West,NMFS
USWC starry flounder (northern),Platichthys stellatus,943,US West,NMFS
USWC starry flounder (southern),Platichthys stellatus,1700,US West,NMFS
USWC widow rockfish,Sebastes entomelas,981,US West,NMFS
USWC yelloweye rockfish,Sebastes ruberrimus,2169,US West,NMFS
USWC yellowtail rockfish (northern),Sebastes flavidus,1124,US West,NMFS
