Stock,SciName,wt_mean_sp_price,NumStocks,FiveYr_mean_stockprice,yrs
BSAI flathead sole,Hippoglossoides elassodon,74.36543581,2,36.5509368,2008-2012
GOA flathead sole,Hippoglossoides elassodon,74.36543581,2,291.1355689,2008-2012
BSAI arrowtooth flounder,Atheresthes stomias,119.2312492,4,39.4607985,2008-2012
GOA arrowtooth flounder,Atheresthes stomias,119.2312492,4,131.52909,2008-2012
USWC arrowtooth flounder,Atheresthes stomias,119.2312492,4,232.2563248,2008-2012
BC arrowtooth flounder,Atheresthes stomias,119.2312492,4,166.6027572,2006-2010
New Brunswick Capelin,Mallotus villosus,196.6827754,3,100.6621389,2006-2010
Quebec Capelin,Mallotus villosus,196.6827754,3,208.0457612,2006-2010
Newfoundland Capelin,Mallotus villosus,196.6827754,3,198.4393145,2006-2010
Sprat ICES Baltic Areas 22-32,Sprattus sprattus,229.3818549,2,217.1726038,2007-2011
Sprat North Sea,Sprattus sprattus,229.3818549,2,254.496993,2007-2011
BSAI Pacific ocean perch,Sebastes alutus,238.7954954,4,141.6082414,2008-2012
GOA Pacific ocean perch,Sebastes alutus,238.7954954,4,337.477773,2008-2012
USWC Pacific ocean perch,Sebastes alutus,238.7954954,4,1083.18461,2008-2012
BC Pacific ocean perch,Sebastes alutus,238.7954954,4,869.2694224,2006-2010
BSAI northern rockfish,Sebastes polyspinis,265.5973445,2,139.8313489,2008-2012
GOA northern rockfish,Sebastes polyspinis,265.5973445,2,330.5731238,2008-2012
AI walleye pollock,Theragra chalcogramma,300.1335358,4,300.0590957,2008-2012
EBS walleye pollock,Theragra chalcogramma,300.1335358,4,300.0590957,2008-2012
GOA walleye pollock,Theragra chalcogramma,300.1335358,4,300.0590957,2008-2012
BC walleye pollock,Theragra chalcogramma,300.1335358,4,425.5020289,2006-2010
USNE Atlantic mackerel TRAC,Scomber scombrus,368.3568174,6,373.49,2006-2010
Nova Scotia Mackerel,Scomber scombrus,368.3568174,6,584.6738853,2006-2010
New Brunswick Mackerel,Scomber scombrus,368.3568174,6,582.6927037,2006-2010
PEI Mackerel,Scomber scombrus,368.3568174,6,673.8093355,2006-2010
Quebec Mackerel,Scomber scombrus,368.3568174,6,480.7573424,2006-2010
Newfoundland Mackerel,Scomber scombrus,368.3568174,6,312.1098439,2006-2010
BSAI atka mackerel,Pleurogrammus monopterygius,382.5369343,2,382.5369343,2008-2012
GOA atka mackerel,Pleurogrammus monopterygius,382.5369343,2,382.5369343,2008-2012
Nova Scotia Sea cucumber,Cucumaria frondosa,392.4023321,4,365.3043221,2006-2010
New Brunswick Sea cucumber,Cucumaria frondosa,392.4023321,4,360.5471538,2006-2010
Quebec Sea cucumber,Cucumaria frondosa,392.4023321,4,309.578482,2006-2010
Newfoundland Sea cucumber,Cucumaria frondosa,392.4023321,4,550.4653404,2006-2010
GeBank/GoMaine Atlantic herring TRAC,Clupea harengus,410.8116192,15,271.612,2006-2010
Nova Scotia Herring,Clupea harengus,410.8116192,15,217.5135682,2006-2010
New Brunswick Herring,Clupea harengus,410.8116192,15,213.1878737,2006-2010
PEI Herring,Clupea harengus,410.8116192,15,232.2809884,2006-2010
Quebec Herring,Clupea harengus,410.8116192,15,280.2260003,2006-2010
Newfoundland Herring,Clupea harengus,410.8116192,15,184.7447745,2006-2010
Herring Celtic Sea,Clupea harengus,410.8116192,15,562.7560096,2007-2011
Herring ICES 22-24-IIIa,Clupea harengus,410.8116192,15,441.7567737,2007-2011
Herring ICES 25-32,Clupea harengus,410.8116192,15,342.6576696,2007-2011
Herring ICES 28,Clupea harengus,410.8116192,15,281.0223935,2007-2011
Herring ICES 30,Clupea harengus,410.8116192,15,211.8257841,2007-2011
Herring ICES VIa-VIIb-VIIc,Clupea harengus,410.8116192,15,584.2315502,2007-2011
Herring ICES VIa,Clupea harengus,410.8116192,15,584.6121918,2007-2011
Herring North Sea,Clupea harengus,410.8116192,15,618.7677845,2007-2011
Herring Northern Irish Sea,Clupea harengus,410.8116192,15,516.3430903,2007-2011
complex USNE skate,Raja spp,524.363918,4,542.136,2007-2011
Nova Scotia Skate,Raja spp,524.363918,4,384.7383235,2006-2010
Newfoundland Skate,Raja spp,524.363918,4,280.6446936,2006-2010
Nova Scotia Redfish spp.,Sebastes spp,609.1257187,3,626.1845417,2006-2010
Quebec Redfish spp.,Sebastes spp,609.1257187,3,662.5226664,2006-2010
Newfoundland Redfish spp.,Sebastes spp,609.1257187,3,561.570992,2006-2010
BSAI shortraker rockfish,Sebastes borealis,665.7690584,3,370.5102354,2008-2012
GOA shortraker rockfish,Sebastes borealis,665.7690584,3,694.5320602,2008-2012
BC shortraker rockfish,Sebastes borealis,665.7690584,3,1502.855162,2006-2010
USNE northern shortfin squid,Illex illecebrosus,718.7731148,3,757.818,2007-2011
Nova Scotia Squid,Illex illecebrosus,718.7731148,3,741.7356627,2006-2010
Newfoundland Squid,Illex illecebrosus,718.7731148,3,406.2815184,2006-2010
Alaska Togiak herring,Clupea pallasii,721.5976937,8,163.710896,2008-2012
Alaska Kodiak herring,Clupea pallasii,721.5976937,8,408.6823506,2008-2012
Alaska Sitka herring,Clupea pallasii,721.5976937,8,834.6432173,2008-2012
BC WCVI herring,Clupea pallasii,721.5976937,8,1234.156709,2006-2010
BC SOG herring,Clupea pallasii,721.5976937,8,1234.156709,2006-2010
BC QCI herring,Clupea pallasii,721.5976937,8,1234.156709,2006-2010
BC PRD herring,Clupea pallasii,721.5976937,8,1234.156709,2006-2010
BC CC herring,Clupea pallasii,721.5976937,8,1234.156709,2006-2010
BSAI Pacific cod,Gadus macrocephalus,758.1664786,5,743.2901501,2008-2012
GOA Pacific cod,Gadus macrocephalus,758.1664786,5,787.7791481,2008-2012
USWC Pacific cod,Gadus macrocephalus,758.1664786,5,1193.750945,2008-2012
BC Hecate Strait Pacific cod,Gadus macrocephalus,758.1664786,5,1233.670845,2006-2010
BC WCVI Pacific cod,Gadus macrocephalus,758.1664786,5,1233.670845,2006-2010
BC Hecate Strait rock sole,Lepidopsetta bilineata,764.7861021,2,764.7861021,2006-2010
BC WCVI rock sole,Lepidopsetta bilineata,764.7861021,2,764.7861021,2006-2010
GOA dover sole,Microstomus pacificus,777.6028261,3,183.548688,2008-2012
USWC dover sole,Microstomus pacificus,777.6028261,3,824.414536,2008-2012
BC dover sole,Microstomus pacificus,777.6028261,3,652.2077939,2006-2010
nGeBank/GoMaine red hake,Urophycis chuss,824.2328457,2,977.92944,2006-2010
sGeBank/midAtl red hake,Urophycis chuss,824.2328457,2,798.26882,2006-2010
BSAI rougheye rockfish,Sebastes aleutianus,830.4588406,3,189.6222731,2008-2012
GOA rougheye rockfish,Sebastes aleutianus,830.4588406,3,721.499676,2008-2012
BC rougheye rockfish,Sebastes aleutianus,830.4588406,3,1080.436456,2006-2010
USWC English sole,Parophrys vetulus,838.7483095,3,739.2315787,2008-2012
BC Hecate Strait English sole,Parophrys vetulus,838.7483095,3,968.983199,2006-2010
BC WCVI English sole,Parophrys vetulus,838.7483095,3,968.983199,2006-2010
USWC longnose skate,Raja rhina,863.4021888,2,878.76276,2005-2009
BC longnose skate,Raja rhina,863.4021888,2,314.5814697,2006-2010
nGeBank/GoMaine silver hake,Merluccius bilinearis,909.9501427,5,1193.644,2006-2010
sGeBank/midAtl silver hake,Merluccius bilinearis,909.9501427,5,1383.504,2006-2010
Nova Scotia Hake,Merluccius bilinearis,909.9501427,5,708.4490848,2006-2010
New Brunswick Hake,Merluccius bilinearis,909.9501427,5,954.049447,2006-2010
Newfoundland Hake,Merluccius bilinearis,909.9501427,5,595.1885763,2006-2010
USWC widow rockfish,Sebastes entomelas,968.1032085,2,981.2853557,2008-2012
