Year,Species,Metric Tons,Pounds,Revenue,RegionFAO
2008,ATKA MACKEREL,57620.1,127029380,19522782,67
2008,"CLAM, PACIFIC GEODUCK",346.8,764503,2723923,67
2008,"COD, PACIFIC",223992.4,493813610,274066553,67
2008,"CRAB, DUNGENESS",2793.8,6159230,13343267,67
2008,"CRAB, KING",12341.3,27207605,120202588,67
2008,"CRAB, SNOW",28323.6,62442257,101157470,67
2008,"CRAB, SOUTHERN TANNER",1649.2,3635754,6044101,67
2008,"FINFISHES, UNC GENERAL",52.5,115733,22294,67
2008,FLATFISH,10010.9,22069998,8998943,67
2008,"FLOUNDER, ARROWTOOTH",36528.5,80530735,6202380,67
2008,"HALIBUT, GREENLAND",2040.9,4499305,1404714,67
2008,"HALIBUT, PACIFIC",29320,64638789,208982549,67
2008,"HERRING, PACIFIC",38005.6,83787188,22911961,67
2008,"POLLOCK, WALLEYE",1032452.1,2276144004,323212449,67
2008,"ROCKFISH, PACIFIC OCEAN PERCH",28906.8,63727922,12637623,67
2008,ROCKFISHES,11668.9,25725195,7854260,67
2008,SABLEFISH,13747.1,30306868,97311224,67
2008,"SALMON, CHINOOK",2259.9,4982111,19898464,67
2008,"SALMON, CHUM",53055,116965145,59841050,67
2008,"SALMON, COHO",15043.8,33165526,38754126,67
2008,"SALMON, PINK",118172.1,260522209,74430887,67
2008,"SALMON, SOCKEYE",101802.9,224434665,175294147,67
2008,"SCALLOP, WEATHERVANE",169.9,374469,2430304,67
2008,SCULPINS,711.3,1568097,451612,67
2008,"SHARK, SPINY DOGFISH",27.6,60901,22838,67
2008,SHARKS,7.8,17275,6478,67
2008,SHELLFISH,1471.6,3244208,4012624,67
2008,"SHRIMP, PENAEID",305.5,673532,1723632,67
2008,SKATES,9200.4,20283306,2354418,67
2008,"SOLE, DOVER",205.3,452507,43442,67
2008,"SOLE, ENGLISH",22.1,48634,6795,67
2008,"SOLE, FLATHEAD",25273.3,55717608,10780365,67
2008,"SOLE, REX",3589.7,7913746,1956704,67
2008,"SOLE, ROCK",52974.3,116787103,27419902,67
2008,"SOLE, YELLOWFIN",141236.8,311370613,54744630,67
2008,SQUIDS,1108.9,2444580,79835,67
2009,ATKA MACKEREL,71163.6,156887348,26731817,67
2009,"CLAM, PACIFIC GEODUCK",360.5,794649,4391482,67
2009,"COD, PACIFIC",222508,490541110,133427182,67
2009,"CRAB, DUNGENESS",2545,5610650,9209496,67
2009,"CRAB, KING",10156.3,22390526,86226284,67
2009,"CRAB, SNOW",26349.1,58089302,79388555,67
2009,"CRAB, SOUTHERN TANNER",1560.7,3440714,5439840,67
2009,"FINFISHES, UNC GENERAL",45.6,100475,31291,67
2009,FLATFISH,11043.3,24346049,6938108,67
2009,"FLOUNDER, ARROWTOOTH",37074.7,81734862,8996527,67
2009,"HALIBUT, GREENLAND",4054.3,8938173,2974840,67
2009,"HALIBUT, PACIFIC",26194.9,57749242,134603482,67
2009,"HERRING, PACIFIC",39440.9,86951486,29293798,67
2009,"POLLOCK, WALLEYE",846489.7,1866171114,270594811,67
2009,"ROCKFISH, PACIFIC OCEAN PERCH",26565.6,58566448,8812990,67
2009,"ROCKFISH, WIDOW",3.8,8340,4220,67
2009,ROCKFISHES,11324.2,24965402,7595234,67
