Year,Species,Metric Tons,Pounds,Revenue
2005,ABALONES,0.5,1200,4872
2005,ALEWIFE,357.1,787231,210966
2005,ALFONSIN,0,18,86
2005,AMBERJACK,98.1,216170,148642
2005,"AMBERJACK, GREATER",639.9,1410703,1289774
2005,"AMBERJACK, LESSER",22.6,49797,55999
2005,"ANCHOVY, NORTHERN",11413.7,25162706,1126997
2005,ATKA MACKEREL,58732.9,129482451,14892866
2005,BALLYHOO,303.5,669016,439458
2005,"BARRACUDA, PACIFIC",35.8,78942,56132
2005,BARRACUDAS,71,156523,111991
2005,BARRELFISH,6.3,13918,27772
2005,"BASS, LONGTAIL",0.3,658,675
2005,"BASS, ROCK",0.9,1985,1906
2005,"BASS, STRIPED",3577.1,7885994,15916616
2005,"BASS, WHITE",164.6,362824,220761
2005,BIGEYE,0.9,2001,1435
2005,BILLFISHES,0.1,315,318
2005,BLACK DRIFTFISH,2.4,5211,6967
2005,BLOODWORMS,206.9,456061,6038597
2005,BLUEFISH,3260.3,7187703,2481506
2005,"BONITO, ATLANTIC",45.6,100622,135339
2005,"BONITO, PACIFIC",10.4,22946,5961
2005,BOWFIN,97.7,215328,206760
2005,"BROTULA, BEARDED",3.4,7429,7880
2005,BUFFALOFISHES,1799.7,3967557,740906
2005,BURBOT,7.1,15713,8206
2005,BUTTERFISH,692.4,1526373,940326
2005,CABEZON,59.9,131988,562699
2005,"CARP, COMMON",392.4,865176,150836
2005,"CARP, GRASS",22.7,50088,9738
2005,CARPS AND MINNOWS,27.7,61082,232147
2005,"CATFISH, BLUE",1555,3428086,1548925
2005,"CATFISH, CHANNEL",516.4,1138497,553419
2005,"CATFISH, FLATHEAD",123.1,271320,130438
2005,CATFISHES & BULLHEADS,1681.8,3707797,1625886
2005,CHUBS,776.3,1711491,1086333
2005,"CLAM, ARC, BLOOD",0.9,1893,15148
2005,"CLAM, ATLANTIC JACKKNIFE",31,68256,202751
2005,"CLAM, ATLANTIC SURF",24942.4,54988082,30009192
2005,"CLAM, BUTTER",5.3,11744,14981
2005,"CLAM, MANILA",597.3,1316749,18722472
2005,"CLAM, NORTHERN QUAHOG",79.3,174830,933634
2005,"CLAM, OCEAN QUAHOG",5394.1,11891930,9145328
2005,"CLAM, PACIFIC GEODUCK",1129.5,2490110,30984490
2005,"CLAM, PACIFIC LITTLENECK",17.2,38013,82204
2005,"CLAM, PACIFIC RAZOR",5.5,12062,62604
2005,"CLAM, PACIFIC, GAPER",1.6,3493,7514
2005,"CLAM, QUAHOG",2541.9,5603792,33041357
2005,"CLAM, SOFTSHELL",1596.6,3519827,22822603
2005,CLAMS OR BIVALVES,11612.8,25601485,29146535
2005,COBIA,75.1,165621,354575
2005,"COCKLE, NUTTALL",16.2,35730,41846
2005,"COD, ATLANTIC",6311,13913331,20847327
2005,"COD, PACIFIC",248909.5,548745907,150738379
2005,"CRAB, ATLANTIC ROCK",1707.1,3763476,1644159
2005,"CRAB, BLUE",69934.9,154178420,124340159
2005,"CRAB, BLUE, PEELER",1335.7,2944786,6028815
2005,"CRAB, BLUE, SOFT",347.4,765843,3333313
2005,"CRAB, BLUE, SOFT AND PEELER",613.8,1353094,7115752
2005,"CRAB, DEEPSEA GOLDEN",169.4,373411,596582
2005,"CRAB, DUNGENESS",29784.6,65663179,101842970
2005,"CRAB, FLORIDA STONE CLAWS",2095.6,4619960,21640750
2005,"CRAB, HORSESHOE",645,1421957,514418
2005,"CRAB, JONAH",3255.1,7176201,3525465
2005,"CRAB, KING",10858.6,23938929,91042174
2005,"CRAB, RED ROCK",498.3,1098514,1357342
2005,"CRAB, SNOW",11278.6,24864785,42760967
2005,"CRAB, SOUTHERN TANNER",1595.7,3517925,6178904
2005,CRABS ,2187.2,4821882,4525259
2005,CRAPPIE,2.2,4756,7960
2005,CRAYFISHES OR CRAWFISHES,6915.6,15246179,8461393
2005,CREOLE-FISH,0.3,672,420
2005,"CROAKER, ATLANTIC",11131.3,24540067,9045779
2005,"CROAKER, PACIFIC WHITE",28.8,63490,48306
2005,CUNNER,2.6,5661,8542
2005,CUSK,96.9,213554,116432
2005,"CUTLASSFISH, ATLANTIC",10.8,23904,24072
2005,DOLPHINFISH,936.8,2065169,4684261
2005,"DORY, AMERICAN JOHN",7,15355,9781
2005,"DRUM, BLACK",2133.1,4702558,3736873
2005,"DRUM, FRESHWATER",401.1,884239,120782
2005,"DRUM, RED",72.4,159627,212393
2005,DRUMS,1.8,4020,1895
2005,ECHINODERM,1.9,4185,2190
2005,"EEL, AMERICAN",396.2,873516,2851365
2005,"EEL, CONGER",32.1,70822,33058
2005,EELS,3.4,7463,16530
2005,"EELS, SNAKE",0,25,77
2005,EMPERORS,0.8,1776,4053
2005,ESCOLAR,45.1,99498,71448
2005,"FINFISHES, FW, OTHER",0,2,3
2005,"FINFISHES, UNC BAIT AND ANIMAL FOOD",2774.6,6116821,3964500
2005,"FINFISHES, UNC FOR FOOD",51.4,113295,96807
2005,"FINFISHES, UNC GENERAL",25929.3,57163647,7822153
2005,"FINFISHES, UNC SPAWN",0,7,7
2005,FLATFISH,1765.1,3891416,2159706
2005,"FLOUNDER, ARROWTOOTH",21356.1,47081724,3680452
2005,"FLOUNDER, PACIFIC, SANDDAB",246.6,543708,250201
2005,"FLOUNDER, SOUTHERN",858.4,1892487,3492334
2005,"FLOUNDER, STARRY",148.6,327519,147015
2005,"FLOUNDER, SUMMER",7749.1,17083575,30118259
2005,"FLOUNDER, WINDOWPANE",88.2,194420,96896
2005,"FLOUNDER, WINTER",3666.9,8084062,10690413
2005,"FLOUNDER, WITCH",2656.3,5856183,8831515
2005,"FLOUNDER, YELLOWTAIL",4117.1,9076616,10631665
2005,"FLOUNDER,ATLANTIC,PLAICE",1352.1,2980904,3998979
2005,"FLOUNDER,PACIFIC,SANDDAB",113.4,249967,91192
2005,"FLOUNDERS, RIGHTEYE",1.7,3799,1600
2005,FLYINGFISHES,3.9,8664,1600
2005,FROGS,0.2,466,1117
2005,GAG,1520.9,3352906,9079451
2005,GARS,245.9,542216,394511
2005,GLASSEYE SNAPPER,2.6,5688,15227
2005,GOATFISHES,16.2,35689,98749
2005,GOLDFISH,9,19837,3963
2005,GOOSEFISH,19012.7,41915471,42252278
2005,GRAYSBY,0,17,24
2005,"GREENLING, KELP",22.7,49991,231919
2005,GRENADIERS,161.3,355605,58898
2005,"GROUPER, BLACK",150.6,331951,871919
2005,"GROUPER, MARBLED",1.5,3389,6914
2005,"GROUPER, RED",2973.4,6555236,13752899
2005,"GROUPER, SNOWY",193.1,425644,1005813
2005,"GROUPER, WARSAW",73.3,161501,332737
2005,"GROUPER, YELLOWEDGE",417.6,920549,2380927
2005,"GROUPER, YELLOWFIN",4.3,9520,24979
2005,"GROUPER, YELLOWMOUTH",0.2,522,1140
2005,GROUPERS,30.7,67681,258160
2005,"GRUNT, WHITE",8.6,18924,18470
2005,GRUNTS,204.3,450388,363126
2005,HADDOCK,7541.6,16626242,19044869
2005,HAGFISHES,671.5,1480355,705935
2005,"HAKE, ATLANTIC, RED/WHITE",6.4,14139,11375
2005,"HAKE, OFFSHORE SILVER",9.6,21144,8828
2005,"HAKE, PACIFIC (WHITING)",258220.3,569272567,29139283
2005,"HAKE, RED",429.4,946709,480212
2005,"HAKE, SILVER",7594.8,16743545,8526883
2005,"HAKE, SILVER (OFFSHORE MIXED)",0.4,794,518
2005,"HAKE, WHITE",2671.1,5888597,4975392
2005,"HALIBUT, ATLANTIC",16.8,37057,115775
2005,"HALIBUT, CALIFORNIA",421.2,928654,2867521
2005,"HALIBUT, GREENLAND",2367.5,5219457,778202
2005,"HALIBUT, PACIFIC",34576.1,76226501,177483005
2005,HARVESTFISH,51.9,114504,136374
2005,"HERRING, ATLANTIC",573.4,1264213,127489
2005,"HERRING, ATLANTIC THREAD",897.8,1979197,583465
2005,"HERRING, BLUEBACK",3.7,8265,1976
2005,"HERRING, LAKE OR CISCO",228.7,504181,259056
2005,"HERRING, PACIFIC",39596.6,87294566,13801755
2005,"HERRING, SEA",96824.2,213458627,20220979
2005,HERRINGS,382,842167,166277
2005,"HIND, RED",21.5,47338,123462
2005,"HIND, ROCK",8.2,18109,57656
2005,"HIND, SPECKLED",41.1,90641,185033
2005,HOGFISH,23.4,51644,125281
2005,JACK MACKEREL,297.1,655084,217664
