Year,Species,Metric Tons,Pounds,Revenue
2005,ALEWIFE,328.70,724714.00,204702.00
2005,AMBERJACK,90.50,199418.00,138277.00
2005,"AMBERJACK, GREATER",81.70,180007.00,154883.00
2005,"AMBERJACK, LESSER",2.70,6002.00,4379.00
2005,BALLYHOO,113.50,250313.00,154726.00
2005,BARRACUDAS,45.50,100208.00,70080.00
2005,"BASS, STRIPED",3577.10,7885994.00,15916616.00
2005,"BASS, WHITE",0.10,112.00,196.00
2005,BIGEYE,0.60,1269.00,985.00
2005,BLOODWORMS,206.90,456061.00,6038597.00
2005,BLUEFISH,3197.00,7048179.00,2440145.00
2005,"BONITO, ATLANTIC",45.30,99831.00,134919.00
2005,BOWFIN,1.10,2366.00,27.00
2005,"BROTULA, BEARDED",0.00,28.00,26.00
2005,BURBOT,1.20,2544.00,3181.00
2005,BUTTERFISH,476.30,1050102.00,820145.00
2005,"CARP, COMMON",51.90,114350.00,19639.00
2005,CARPS AND MINNOWS,11.70,25784.00,39983.00
2005,"CATFISH, BLUE",68.60,151150.00,74056.00
2005,CATFISHES & BULLHEADS,1395.20,3075761.00,1375433.00
2005,"CLAM, ARC, BLOOD",0.90,1893.00,15148.00
2005,"CLAM, ATLANTIC JACKKNIFE",31.00,68256.00,202751.00
2005,"CLAM, ATLANTIC SURF",24942.40,54988082.00,30009192.00
2005,"CLAM, NORTHERN QUAHOG",79.30,174830.00,933634.00
2005,"CLAM, OCEAN QUAHOG",5394.10,11891930.00,9145328.00
2005,"CLAM, QUAHOG",2445.50,5391406.00,31305180.00
2005,"CLAM, SOFTSHELL",1411.40,3111470.00,22451815.00
2005,CLAMS OR BIVALVES,11612.30,25600395.00,29142520.00
2005,COBIA,29.80,65712.00,133302.00
2005,"COD, ATLANTIC",6311.00,13913331.00,20847327.00
2005,"CRAB, ATLANTIC ROCK",1707.10,3763476.00,1644159.00
2005,"CRAB, BLUE",47362.30,104414949.00,87307930.00
2005,"CRAB, BLUE, PEELER",1251.20,2758306.00,5585349.00
2005,"CRAB, BLUE, SOFT",332.10,732136.00,3199674.00
2005,"CRAB, BLUE, SOFT AND PEELER",587.70,1295576.00,6764332.00
2005,"CRAB, DEEPSEA GOLDEN",169.40,373411.00,596582.00
2005,"CRAB, FLORIDA STONE CLAWS",38.90,85811.00,417495.00
2005,"CRAB, HORSESHOE",645.00,1421957.00,514418.00
2005,"CRAB, JONAH",3255.10,7176201.00,3525465.00
2005,CRABS ,2149.00,4737673.00,4413088.00
2005,CRAPPIE,1.60,3553.00,4355.00
2005,"CROAKER, ATLANTIC",11099.00,24468849.00,8606014.00
2005,CUNNER,2.60,5661.00,8542.00
2005,CUSK,96.30,212358.00,115044.00
2005,"CUTLASSFISH, ATLANTIC",2.00,4516.00,6349.00
2005,DOLPHINFISH,189.50,417724.00,783518.00
2005,"DORY, AMERICAN JOHN",7.00,15355.00,9781.00
2005,"DRUM, BLACK",72.70,160269.00,55657.00
2005,"DRUM, FRESHWATER",0.70,1506.00,1240.00
2005,"DRUM, RED",58.70,129486.00,173709.00
2005,DRUMS,0.20,424.00,191.00
2005,"EEL, AMERICAN",396.20,873516.00,2851365.00
2005,"EEL, CONGER",32.10,70822.00,33058.00
2005,EELS,3.00,6651.00,15495.00
2005,ESCOLAR,2.60,5655.00,8753.00
2005,"FINFISHES, UNC BAIT AND ANIMAL FOOD",2308.10,5088407.00,3570156.00
2005,"FINFISHES, UNC FOR FOOD",41.20,90792.00,79625.00
2005,"FINFISHES, UNC GENERAL",25135.40,55413518.00,6878982.00
2005,"FINFISHES, UNC SPAWN",0.00,7.00,7.00
2005,FLATFISH,78.20,172437.00,384810.00
2005,"FLOUNDER, SOUTHERN",848.60,1870910.00,3462470.00
2005,"FLOUNDER, SUMMER",7749.10,17083575.00,30118259.00
2005,"FLOUNDER, WINDOWPANE",88.20,194420.00,96896.00
2005,"FLOUNDER, WINTER",3666.90,8084062.00,10690413.00
2005,"FLOUNDER, WITCH",2656.30,5856183.00,8831515.00
2005,"FLOUNDER, YELLOWTAIL",4117.10,9076616.00,10631665.00
2005,"FLOUNDER,ATLANTIC,PLAICE",1352.10,2980904.00,3998979.00
2005,GAG,287.10,632956.00,1918089.00
2005,GARS,14.50,32017.00,4524.00
2005,GOOSEFISH,19012.70,41915471.00,42252278.00
2005,"GROUPER, BLACK",7.00,15440.00,44113.00
2005,"GROUPER, RED",72.70,160165.00,356976.00
2005,"GROUPER, SNOWY",84.90,187082.00,462825.00
2005,"GROUPER, YELLOWEDGE",2.90,6428.00,19287.00
2005,"GROUPER, YELLOWFIN",1.30,2810.00,7694.00
2005,GROUPERS,1.00,2226.00,4981.00
2005,"GRUNT, WHITE",8.60,18924.00,18470.00
2005,GRUNTS,58.10,128002.00,111410.00
2005,HADDOCK,7541.60,16626242.00,19044869.00
2005,"HAKE, ATLANTIC, RED/WHITE",4.00,8711.00,5237.00
2005,"HAKE, OFFSHORE SILVER",9.60,21144.00,8828.00
2005,"HAKE, RED",429.40,946709.00,480212.00
2005,"HAKE, SILVER",7594.80,16743545.00,8526883.00
2005,"HAKE, SILVER (OFFSHORE MIXED)",0.40,794.00,518.00
2005,"HAKE, WHITE",2671.10,5888597.00,4975392.00
2005,"HALIBUT, ATLANTIC",16.80,37057.00,115775.00
2005,HARVESTFISH,51.90,114504.00,136374.00
2005,"HERRING, ATLANTIC",573.40,1264213.00,127489.00
2005,"HERRING, ATLANTIC THREAD",3.80,8271.00,8536.00
2005,"HERRING, BLUEBACK",3.70,8265.00,1976.00
2005,"HERRING, SEA",96824.20,213458627.00,20220979.00
2005,"HIND, RED",20.10,44241.00,118602.00
2005,"HIND, ROCK",8.10,17882.00,57281.00
2005,HOGFISH,10.40,22921.00,58210.00
2005,"JACK, ALMACO",33.90,74690.00,56546.00
2005,"JACK, BAR",0.50,1150.00,1139.00
2005,"JACK, CREVALLE",83.40,183867.00,163503.00
2005,JACKS,5.60,12388.00,6343.00
2005,KING WHITING,542.10,1195202.00,1038289.00
2005,LADYFISH,4.50,10019.00,2881.00
2005,LEATHERJACKETS,121.80,268606.00,298943.00
