Year,Species,Metric Tons,Pounds,Revenue,RegionFAO
2008,AMBERJACK,0.8,1802,2702,31
2008,"AMBERJACK, GREATER",349.1,769542,858659,31
2008,"AMBERJACK, LESSER",11.2,24601,32927,31
2008,ANCHOVIES,24.7,54448,15069,31
2008,AUSTRALIAN ROCKLING,0.7,1468,1255,31
2008,BALLYHOO,233.1,513882,449034,31
2008,BARRACUDAS,5.4,11823,8144,31
2008,BARRELFISH,6.6,14535,32618,31
2008,"BASS, LONGTAIL",0.1,294,314,31
2008,BIGEYE,0.1,284,310,31
2008,BLACK DRIFTFISH,2.1,4686,6267,31
2008,BLUEFISH,83.3,183581,62963,31
2008,"BONITO, ATLANTIC",0.6,1321,834,31
2008,BOWFIN,131,288845,331727,31
2008,"BROTULA, BEARDED",4.9,10696,11743,31
2008,BUFFALOFISHES,1424.6,3140632,616043,31
2008,BUTTERFISH,357.7,788627,256690,31
2008,"CARP, COMMON",198.7,437944,54842,31
2008,"CARP, GRASS",31.7,69801,13126,31
2008,CARPS AND MINNOWS,12.3,27147,152244,31
2008,"CATFISH, BLUE",1359.7,2997571,1455021,31
2008,"CATFISH, CHANNEL",272.3,600328,343538,31
2008,"CATFISH, FLATHEAD",148.1,326399,162384,31
2008,CATFISHES & BULLHEADS,34,75024,24696,31
2008,"CLAM, QUAHOG",126.7,279424,1824854,31
2008,COBIA,37.5,82743,206268,31
2008,"CRAB, BLUE",22283.4,49126043,39244303,31
2008,"CRAB, BLUE, PEELER",40.6,89587,232006,31
2008,"CRAB, BLUE, SOFT",3,6702,42232,31
2008,"CRAB, BLUE, SOFT AND PEELER",16.4,36085,294683,31
2008,"CRAB, FLORIDA STONE CLAWS",2798.2,6168992,19039609,31
2008,CRAYFISHES OR CRAWFISHES,7137.3,15734879,9506828,31
2008,CREOLE-FISH,0,85,140,31
2008,"CROAKER, ATLANTIC",35.4,77947,487807,31
2008,"CUTLASSFISH, ATLANTIC",11.7,25818,16624,31
2008,DOLPHINFISH,174.4,384526,697053,31
2008,"DRUM, BLACK",1842.9,4062932,3253262,31
2008,"DRUM, FRESHWATER",218.3,481172,75152,31
2008,"DRUM, RED",12.7,28011,42329,31
2008,DRUMS,3.6,7995,4889,31
2008,"EELS, SNAKE",0,84,84,31
2008,ESCOLAR,37,81596,74609,31
2008,"FINFISHES, UNC BAIT AND ANIMAL FOOD",1203.9,2654088,484537,31
2008,"FINFISHES, UNC FOR FOOD",8.7,19204,10842,31
2008,"FINFISHES, UNC GENERAL",504.8,1112803,757631,31
2008,FLATFISH,116.9,257766,602696,31
2008,"FLOUNDER, SOUTHERN",35,77227,111392,31
2008,GAG,680.5,1500225,4976272,31
2008,GARS,310.4,684222,608549,31
2008,"GROUPER, BLACK",50.5,111439,357461,31
2008,"GROUPER, MARBLED",3.4,7600,16494,31
2008,"GROUPER, MISTY",0.8,1741,5022,31
2008,"GROUPER, RED",2553.4,5629186,13594638,31
2008,"GROUPER, SNOWY",109.1,240541,640154,31
2008,"GROUPER, WARSAW",41.3,91085,232149,31
2008,"GROUPER, YELLOWEDGE",442.3,975031,3099196,31
2008,"GROUPER, YELLOWFIN",0.2,348,990,31
2008,GROUPERS,1.2,2636,4901,31
2008,GRUNTS,101.9,224583,192212,31
2008,"HAKE, ATLANTIC, RED/WHITE",2.5,5589,5247,31
2008,"HERRING, ATLANTIC THREAD",496.5,1094613,205350,31
2008,HERRINGS,658.3,1451213,293531,31
2008,"HIND, RED",0.9,1900,4184,31
2008,"HIND, ROCK",0.1,135,264,31
2008,"HIND, SPECKLED",22.4,49290,123354,31
2008,HOGFISH,14.7,32480,99521,31
2008,"JACK, ALMACO",21.1,46417,49581,31
2008,"JACK, BAR",41.6,91701,78268,31
2008,"JACK, CREVALLE",126.5,278837,209148,31
2008,JACKS,30.4,67023,42934,31
2008,KING WHITING,33.6,73973,59755,31
2008,LADYFISH,673.8,1485464,1160758,31
2008,LEATHERJACKETS,22.5,49686,70124,31
2008,"LOBSTER, CARIBBEAN SPINY",1349.5,2975154,19141071,31
2008,"LOBSTER, SLIPPER",5.6,12393,43079,31
2008,LOOKDOWN,0,110,60,31
2008,MACKEREL (SCOMBER),0.5,1151,636,31
2008,"MACKEREL, KING",383.9,846311,1401077,31
