Year,Species,Average US Price (USD/t),Average Price (2005 USD/t)
1951,"POUT, OCEAN",38.58730159,251.2805079
1952,"POUT, OCEAN",33.21876705,211.6035461
1953,"POUT, OCEAN",31.76470588,200.5941176
1954,"POUT, OCEAN",43.68131868,273.4450549
1955,"POUT, OCEAN",39.43462898,247.64947
1956,"POUT, OCEAN",39.6875,245.26875
1957,"POUT, OCEAN",47.83783784,284.6351351
1958,"POUT, OCEAN",67.94117647,390.6617647
1959,"POUT, OCEAN",44.02849741,251.4467487
1960,"POUT, OCEAN",33.58490566,180.3224595
1963,"POUT, OCEAN",41.66666667,215.7324756
1964,"POUT, OCEAN",30.00761509,153.0575109
1965,"POUT, OCEAN",30.07559722,150.5760736
1966,"POUT, OCEAN",30.96774194,150.5957029
1967,"POUT, OCEAN",26.66666667,125.7854012
1968,"POUT, OCEAN",30,135.7320823
1969,"POUT, OCEAN",40,172.7986357
1970,"POUT, OCEAN",140,575.6010929
1972,"POUT, OCEAN",41.86440678,157.1982843
1975,"POUT, OCEAN",295,878.9488111
1976,"POUT, OCEAN",173.2060738,488.1862639
1977,"POUT, OCEAN",164.5593164,436.0380574
1978,"POUT, OCEAN",159.4347037,394.7830228
1979,"POUT, OCEAN",173.1130472,395.6451561
1980,"POUT, OCEAN",183.6980969,384.7471179
1981,"POUT, OCEAN",118.0333731,226.0309812
1982,"POUT, OCEAN",150.5938785,271.8220206
1983,"POUT, OCEAN",167.8471712,291.4363712
1984,"POUT, OCEAN",203.6391784,340.7839312
1985,"POUT, OCEAN",178.6364842,290.0836579
1986,"POUT, OCEAN",201.8282652,320.5762626
1987,"POUT, OCEAN",232.916249,359.4243361
1988,"POUT, OCEAN",244.4063223,364.4632812
1989,"POUT, OCEAN",238.8318113,343.2298995
1990,"POUT, OCEAN",175.5636969,243.0867867
1991,"POUT, OCEAN",219.2542135,293.6033036
1992,"POUT, OCEAN",210.9550917,276.6625258
1993,"POUT, OCEAN",233.8948729,300.1666858
1994,"POUT, OCEAN",231.8177189,291.5646562
1995,"POUT, OCEAN",300.9938838,369.962762
1996,"POUT, OCEAN",323.2421875,390.3961262
1997,"POUT, OCEAN",400.1204819,474.106304
1998,"POUT, OCEAN",549.8285714,642.4710059
1999,"POUT, OCEAN",460.8196721,530.6833233
2000,"POUT, OCEAN",712.4456522,803.0811645
2001,"POUT, OCEAN",960.7386364,1058.953858
2002,"POUT, OCEAN",733.2743363,795.3210524
2003,"POUT, OCEAN",814.3253968,865.009154
2004,"POUT, OCEAN",1116.415094,1153.471847
2005,"POUT, OCEAN",1497.931034,1497.931034
2006,"POUT, OCEAN",1351.555556,1309.317224
2007,"POUT, OCEAN",1297.777778,1221.798781
2008,"POUT, OCEAN",2049.253731,1887.539188
2009,"POUT, OCEAN",1756.071429,1603.400878
2010,"POUT, OCEAN",920,828.9276946
2011,"POUT, OCEAN",1510,1332.179931
2012,"POUT, OCEAN",,
1950,"REDFISH, ACADIAN",96.94324821,688.6848353
1951,"REDFISH, ACADIAN",107.5047878,700.0711781
1952,"REDFISH, ACADIAN",95.74554805,609.8991411
1953,"REDFISH, ACADIAN",85.55673498,540.2907814
1954,"REDFISH, ACADIAN",89.61423132,560.985088
1955,"REDFISH, ACADIAN",84.78049918,532.4215348
1956,"REDFISH, ACADIAN",83.50102488,516.0363338
1957,"REDFISH, ACADIAN",83.7454054,498.2851621
1958,"REDFISH, ACADIAN",93.07645988,535.1896443
1959,"REDFISH, ACADIAN",91.36640654,521.7935477
1960,"REDFISH, ACADIAN",84.47509325,453.5596062
1961,"REDFISH, ACADIAN",85.38033027,452.8514899
1962,"REDFISH, ACADIAN",92.86371436,485.9043541
1963,"REDFISH, ACADIAN",104.7711861,542.4611362
1964,"REDFISH, ACADIAN",93.37460115,476.2685734
1965,"REDFISH, ACADIAN",89.50490585,448.1140372
1966,"REDFISH, ACADIAN",92.57668529,450.1991468
1967,"REDFISH, ACADIAN",86.42587887,407.6667694
1968,"REDFISH, ACADIAN",85.4446949,386.5862121
1969,"REDFISH, ACADIAN",93.43870708,403.6520276
1970,"REDFISH, ACADIAN",108.6605288,446.750851
1971,"REDFISH, ACADIAN",112.018965,438.6864346
1972,"REDFISH, ACADIAN",123.3336333,463.1102419
1973,"REDFISH, ACADIAN",169.6889234,603.7198043
1974,"REDFISH, ACADIAN",177.9310253,580.3384623
1975,"REDFISH, ACADIAN",227.2346862,677.0429061
1976,"REDFISH, ACADIAN",301.508004,849.8089174
1977,"REDFISH, ACADIAN",337.2165046,893.5333036
1978,"REDFISH, ACADIAN",377.4342101,934.5808339
1979,"REDFISH, ACADIAN",463.9863102,1060.428079
1980,"REDFISH, ACADIAN",505.5562553,1058.864057
1981,"REDFISH, ACADIAN",620.0243559,1187.33126
1982,"REDFISH, ACADIAN",593.4952328,1071.259171
1983,"REDFISH, ACADIAN",580.1086704,1007.254186
1984,"REDFISH, ACADIAN",634.3161545,1061.508667
1985,"REDFISH, ACADIAN",724.985972,1177.287964
1986,"REDFISH, ACADIAN",1059.843425,1683.414579
1987,"REDFISH, ACADIAN",1420.563801,2192.140752
1988,"REDFISH, ACADIAN",1374.701416,2049.980475
1989,"REDFISH, ACADIAN",1450.974067,2085.223407
1990,"REDFISH, ACADIAN",1175.215869,1627.212541
1991,"REDFISH, ACADIAN",1020.29985,1366.283466
1992,"REDFISH, ACADIAN",933.042713,1223.663063
1993,"REDFISH, ACADIAN",1007.970761,1293.569367
1994,"REDFISH, ACADIAN",1374.282144,1728.479181
1995,"REDFISH, ACADIAN",1391.248865,1710.035653
1996,"REDFISH, ACADIAN",1469.498423,1774.788422
1997,"REDFISH, ACADIAN",1379.55724,1634.649596
1998,"REDFISH, ACADIAN",1307.787832,1528.141329
1999,"REDFISH, ACADIAN",1189.160998,1369.44655
2000,"REDFISH, ACADIAN",1179.525307,1329.581497
2001,"REDFISH, ACADIAN",994.5386326,1096.20919
2002,"REDFISH, ACADIAN",1322.212558,1434.09285
2003,"REDFISH, ACADIAN",1134.46463,1205.07391
2004,"REDFISH, ACADIAN",1150.402212,1188.587086
2005,"REDFISH, ACADIAN",1271.105563,1271.105563
2006,"REDFISH, ACADIAN",1597.005808,1547.096753
2007,"REDFISH, ACADIAN",1276.819811,1202.067808
2008,"REDFISH, ACADIAN",1221.309896,1124.931605
2009,"REDFISH, ACADIAN",1092.172826,997.2207507
2010,"REDFISH, ACADIAN",1190.571689,1072.715049
2011,"REDFISH, ACADIAN",1367.856008,1206.775048
2012,"REDFISH, ACADIAN",1478.829308,1274.553093
1950,"TUNA, ALBACORE",421.0993896,2991.490064
1950,"TUNA, BLUEFIN",195.487126,1388.740543
1950,"TUNA, BLUEFIN PACIFIC",339.5793087,2412.371409
1950,"TUNA, LITTLE TUNNY",80.96125186,575.1487332
1950,"TUNA, SKIPJACK",315.2582516,2239.59462
1950,"TUNA, YELLOWFIN",338.1970195,2402.551626
1951,"TUNA, ALBACORE",345.3788479,2249.107058
1951,"TUNA, BLUEFIN",163.8329577,1066.88022
1951,"TUNA, BLUEFIN PACIFIC",344.7642694,2245.104922
