Year,Species,Metric Tons,Pounds,Revenue
2005,ABALONES,0.5,1200,4872
2005,ALFONSIN,0,18,86
2005,"ANCHOVY, NORTHERN",11413.7,25162706,1126997
2005,ATKA MACKEREL,58732.9,129482451,14892866
2005,"BARRACUDA, PACIFIC",35.8,78942,56132
2005,BARRACUDAS,15.4,33878,25183
2005,BILLFISHES,0.1,315,318
2005,"BONITO, PACIFIC",10.4,22946,5961
2005,CABEZON,59.9,131988,562699
2005,"CARP, COMMON",10.6,23293,28253
2005,"CLAM, BUTTER",5.3,11744,14981
2005,"CLAM, MANILA",597.3,1316749,18722472
2005,"CLAM, PACIFIC GEODUCK",1129.5,2490110,30984490
2005,"CLAM, PACIFIC LITTLENECK",17.2,38013,82204
2005,"CLAM, PACIFIC RAZOR",5.5,12062,62604
2005,"CLAM, PACIFIC, GAPER",1.6,3493,7514
2005,"CLAM, SOFTSHELL",185.2,408357,370788
2005,CLAMS OR BIVALVES,0.5,1090,4015
2005,"COCKLE, NUTTALL",16.2,35730,41846
2005,"COD, PACIFIC",248909.5,548745907,150738379
2005,"CRAB, DUNGENESS",29784.6,65663179,101842970
2005,"CRAB, KING",10858.6,23938929,91042174
2005,"CRAB, RED ROCK",498.3,1098514,1357342
2005,"CRAB, SNOW",11278.6,24864785,42760967
2005,"CRAB, SOUTHERN TANNER",1595.7,3517925,6178904
2005,CRABS ,38.2,84209,112171
2005,CRAYFISHES OR CRAWFISHES,31.3,68958,101779
2005,"CROAKER, PACIFIC WHITE",28.8,63490,48306
2005,DOLPHINFISH,653,1439561,3596385
2005,ECHINODERM,1.9,4185,2190
2005,EELS,0.3,681,714
2005,EMPERORS,0.8,1776,4053
2005,ESCOLAR,1.6,3436,3554
2005,"FINFISHES, FW, OTHER",0,2,3
2005,"FINFISHES, UNC GENERAL",188,414540,371900
2005,FLATFISH,1511.5,3332227,1008734
2005,"FLOUNDER, ARROWTOOTH",21356.1,47081724,3680452
2005,"FLOUNDER, PACIFIC, SANDDAB",246.6,543708,250201
2005,"FLOUNDER, STARRY",148.6,327519,147015
2005,"FLOUNDER,PACIFIC,SANDDAB",113.4,249967,91192
2005,"FLOUNDERS, RIGHTEYE",1.7,3799,1600
2005,GLASSEYE SNAPPER,2.6,5688,15227
2005,GOATFISHES,16.2,35689,98749
2005,"GREENLING, KELP",22.7,49991,231919
2005,GRENADIERS,161.3,355605,58898
2005,GROUPERS,20.7,45635,208638
2005,HAGFISHES,671.5,1480355,705935
2005,"HAKE, PACIFIC (WHITING)",258220.3,569272567,29139283
2005,"HALIBUT, CALIFORNIA",421.2,928654,2867521
2005,"HALIBUT, GREENLAND",2367.5,5219457,778202
2005,"HALIBUT, PACIFIC",34576.1,76226501,177483005
2005,"HERRING, PACIFIC",39596.6,87294566,13801755
2005,JACK MACKEREL,297.1,655084,217664
2005,"JACK, ALMACO",0.1,231,173
2005,"JACK, BLACK",0.6,1364,2438
2005,JACKS,15.2,33447,77799
2005,"JOBFISH, GREEN (UKU)",65.9,145233,483929
2005,LEATHER-BACK,0.2,351,460
2005,LEATHERJACKETS,0.5,1134,1698
2005,LIMPETS,2.3,5004,44788
2005,LINGCOD,204.9,451705,465117
2005,"LOBSTER, BANDED SPINY",4.6,10091,110927
2005,"LOBSTER, CALIFORNIA SPINY",345.2,761031,6038571
2005,"LOBSTER, SLIPPER",0,13,102
2005,"MACKEREL, CHUB",3561.4,7851477,575401
2005,"MACKEREL, FRIGATE",0,3,1
2005,"MARLIN, BLACK",1.1,2461,2740
2005,"MARLIN, BLUE",439.6,969226,972110
2005,"MARLIN, STRIPED",552.5,1218030,1536754
2005,MOLLUSKS,20,44044,152710
2005,"MULLET, STRIPED (LIZA)",3.9,8679,30222
2005,MULLETS,0,74,202
2005,"MUSSEL, BLUE",228.7,504224,3729082
2005,OCEAN SUNFISH,0.1,123,12
2005,OCTOPUS,22.4,49322,83223
2005,OILFISH,175,385809,704254
2005,OPAH,492.6,1086076,1897337
2005,"OYSTER, EASTERN",11.7,25837,125138
2005,"OYSTER, EUROPEAN FLAT",5.7,12621,252206
2005,"OYSTER, OLYMPIA",3.4,7426,221558
2005,"OYSTER, PACIFIC",6119.8,13491793,41350392
2005,PARROTFISHES,13.6,30032,89450
2005,"POLLOCK, WALLEYE",1547358.8,3411307303,306971755
2005,POMFRETS,293.1,646123,1440166
2005,"PRICKLEBACK, MONKEYFACE",0,87,239
2005,PUFFERS,0,3,2
2005,"ROCKFISH, AURORA",0.5,1054,920
2005,"ROCKFISH, BANK",16.3,35882,29513
2005,"ROCKFISH, BLACK",177.4,391140,556893
2005,"ROCKFISH, BLACK-AND-YELLOW",10.2,22541,146614
2005,"ROCKFISH, BLACKGILL",54.3,119722,121890
2005,"ROCKFISH, BLUE",19.1,42134,54919
2005,"ROCKFISH, BOCACCIO",7.6,16832,17425
2005,"ROCKFISH, BROWN",22.2,49034,284428
2005,"ROCKFISH, CANARY",13,28692,14387
2005,"ROCKFISH, CHILIPEPPER",67.1,147901,75240
2005,"ROCKFISH, CHINA",3,6706,43754
2005,"ROCKFISH, COPPER",5.3,11629,45489
2005,"ROCKFISH, COWCOD",0,85,91
2005,"ROCKFISH, DARKBLOTCHED",92.6,204142,93985
2005,"ROCKFISH, FLAG",0.1,112,234
2005,"ROCKFISH, GOPHER",18.3,40244,263408
2005,"ROCKFISH, GRASS",12.7,28006,256809
2005,"ROCKFISH, GREENBLOTCHED",0.1,238,437
2005,"ROCKFISH, GREENSPOTTED",0.3,715,1237
2005,"ROCKFISH, GREENSTRIPED",0.1,209,102
2005,"ROCKFISH, KELP",0.8,1822,8970
2005,"ROCKFISH, OLIVE",1.2,2565,4766
2005,"ROCKFISH, PACIFIC OCEAN PERCH",19475,42934498,5755155
2005,"ROCKFISH, PINK",0,74,666
