Stock,Species
ANC,Anchovy
ANG,Freshwater eels
BAR,Barracouta
BCO,Blue cod
BIG,Bigeye tuna
BNS,Bluenose
BUT,Butterfish
BWS,Blue shark
BYA,Frilled venus shell
BYX,Alfonsino
CDL,Cardinalfish
CHC,Red crab
COC,Cockle
CRA,Spiny red rock lobster
DAN,Ringed dosinia
DSU,Silky dosinia
ELE,Elephant fish
EMA,Blue mackerel
FLA,Flatfish
FRO,Frostfish
GAR,Garfish
GLM,Green-lipped mussel
GMU,Grey mullet
GSC,Giant spider crab
GSH,Ghost shark
GSP,Pale ghost shark
GUR,Gurnard
HAK,Hake
HOK,Hoki
HOR,Horse mussel
HPB,Hapuku and bass
JDO,John dory
JMA,Jack mackerel
KAH,Kahawai
KBB,Bladder kelp
KIC,King crab
KIN,Kingfish
KWH,Knobbed whelk
LDO,Lookdown dory
LEA,Leatherjacket
LFE,Long-finned eel
LIN,Ling
MAK,Mako shark
MDI,Trough shell
MMI,Large trough shell
MOK,Blue moki
MOO,Moonfish
OEO,Oreo
ORH,Orange roughy
OYS,Dredge oyster
PAD,Paddle crab
PAR,Parore
PAU,Paua
PDO,Deepwater tuatua
PHC,Packhorse rock lobster
PIL,Pilchard
POR,Porae
POS,Porbeagle
PPI,Pipi
PRK,Prawn killer
PTO,Patagonian toothfish
PZL,Deepwater clam
QSC,Queen scallop
RBM,Ray's bream
RBT,Redbait
RBY,Ruby fish
RCO,Red cod
RIB,Ribaldo
RSK,Rough skate
RSN,Red snapper
SAE,Triangle shell
SBW,Southern blue whiting
SCA,Scallop
SCC,Sea cucumber
SCH,School shark
SCI,Scampi
SFE,Short-finned eel
SKI,Gemfish
SNA,Snapper
SPD,Spiny dogfish
SPE,Sea perch
SPO,Rig
SPR,Sprats
SQU,Arrow squid
SSK,Smooth skate
STA,Stargazer
STN,Southern bluefin tuna
SUR,Kina
SWA,Silver warehou
SWO,Swordfish
TAR,Tarakihi
TOR,Pacific bluefin tuna
TRE,Trevally
TRU,Trumpeter
TUA,Tuatua
WAR,Blue warehou
WWA,White warehou
YEM,Yellow-eyed mullet
YFN,Yellowfin tuna
