year,fishstock,avg_per_tonne_ace,avg_sales_per_tonne,averagepershare_quotashares,avg_per_tonne_quotashare,avg_lease_per_tonne,catchkg,tacc,grnwt_price,NZCPI
1981,,,,,,,,,2.846926,
1981,,,,,,,,,0.9808015,
1981,,,,,,,,,1.465,
1981,,,,,,,,,0.8890209,
1981,,,,,,,,,0.2453852,
1981,,,,,,,,,0.8826067,
1981,,,,,,,,,0.359708,
1981,,,,,,,,,0.2843391,
1981,,,,,,,,,1.623979,
1981,,,,,,,,,1.153364,
1981,,,,,,,,,1.935812,
1981,,,,,,,,,0.3207069,
1981,,,,,,,,,2.009275,
1981,,,,,,,,,0.9287539,
1981,,,,,,,,,0.7201566,
1981,,,,,,,,,1.550762,
1981,,,,,,,,,0.4986255,
1981,,,,,,,,,0.6560827,
1981,,,,,,,,,9.37118,
1981,,,,,,,,,1.189549,
1982,,,,,,,,,0.6695299,
1982,,,,,,,,,0.5159909,
1982,,,,,,,,,1.887339,
1982,,,,,,,,,0.7975407,
1982,,,,,,,,,1.684053,
1982,,,,,,,,,15.28929,
1982,,,,,,,,,0.3029604,
1982,,,,,,,,,1.465233,
1982,,,,,,,,,0.8165395,
1982,,,,,,,,,0.4139282,
1982,,,,,,,,,1.493744,
1982,,,,,,,,,1.361556,
1982,,,,,,,,,1.280396,
1982,,,,,,,,,0.5079216,
1982,,,,,,,,,1.819516,
1982,,,,,,,,,0.4598635,
1982,,,,,,,,,8.61528,
1982,,,,,,,,,1.016623,
1982,,,,,,,,,5.387128,
1982,,,,,,,,,0.4480053,
1982,,,,,,,,,1.198776,
1982,,,,,,,,,1.199112,
1982,,,,,,,,,0.49136,
1983,,,,,,,,,1.370629,
1983,,,,,,,,,1.224914,
1983,,,,,,,,,1.811482,
1983,,,,,,,,,4.311111,
1983,,,,,,,,,0.4871493,
1983,,,,,,,,,1.114105,
1983,,,,,,,,,0.4612162,
1983,,,,,,,,,0.6029602,
1983,,,,,,,,,0.4035952,
1983,,,,,,,,,2.174652,
1983,,,,,,,,,0.537812,
1983,,,,,,,,,1.624746,
1983,,,,,,,,,1.279126,
1983,,,,,,,,,0.5893773,
1983,,,,,,,,,1.443197,
1983,,,,,,,,,11.2425,
1983,,,,,,,,,1.583173,
1983,,,,,,,,,1.062011,
1983,,,,,,,,,9.316421,
1983,,,,,,,,,0.2720879,
1983,,,,,,,,,1.80263,
1983,,,,,,,,,0.9413185,
1983,,,,,,,,,2.138801,
1984,,,,,,,,,14.96721,
1984,,,,,,,,,15.90561,
1984,,,,,,,,,4.8,
1984,,,,,,,,,1.899425,
1984,,,,,,,,,4.062255,
1984,,,,,,,,,2.731756,
1984,,,,,,,,,5.28582,
1984,,,,,,,,,1.765902,
1984,,,,,,,,,1.469045,
1984,,,,,,,,,0.8479702,
1984,,,,,,,,,2.92382,
1984,,,,,,,,,0.8860504,
1984,,,,,,,,,1.21612,
1984,,,,,,,,,0.3752084,
1984,,,,,,,,,0.5005167,
1984,,,,,,,,,0.6057989,
1984,,,,,,,,,1.9968,
1984,,,,,,,,,0.8513138,
1984,,,,,,,,,0.9760196,
1984,,,,,,,,,1.736755,
1984,,,,,,,,,1.893468,
1984,,,,,,,,,0.7913043,
1984,,,,,,,,,0.5537714,
1984,,,,,,,,,2.905393,
1985,,,,,,,,,2.188372,459.5875
1985,,,,,,,,,4.373708,459.5875
1985,,,,,,,,,1.962883,459.5875
1985,,,,,,,,,1.463408,459.5875
1985,,,,,,,,,20.12146,459.5875
1985,,,,,,,,,0.6949967,459.5875
1985,,,,,,,,,1.423477,459.5875
1985,,,,,,,,,1.968885,459.5875
1985,,,,,,,,,5.489652,459.5875
1985,,,,,,,,,0.8139051,459.5875
1985,,,,,,,,,6.002676,459.5875
1985,,,,,,,,,0.5071868,459.5875
1985,,,,,,,,,0.5973778,459.5875
1985,,,,,,,,,2.397771,459.5875
1985,,,,,,,,,1.369247,459.5875
1985,,,,,,,,,2.490459,459.5875
1985,,,,,,,,,4.054705,459.5875
1985,,,,,,,,,0.6936249,459.5875
1985,,,,,,,,,1.906902,459.5875
1985,,,,,,,,,1.707737,459.5875
1985,,,,,,,,,0.6706995,459.5875
