Species Category,Nearshore,Source
"Abalones, winkles, conchs",nearshore,ISSCAAP
"Clams, cockles, arkshells",nearshore,ISSCAAP
"Cods, hakes, haddocks",offshore,ISSCAAP
"Crabs, sea-spiders",nearshore,ISSCAAP
"Flounders, halibuts, soles",nearshore,ISSCAAP
"Herrings, sardines, anchovies",nearshore,ISSCAAP
"Lobsters, spiny-rock lobsters",nearshore,ISSCAAP
Miscellaneous coastal fishes,nearshore,ISSCAAP
Miscellaneous demersal fishes,offshore,ISSCAAP
Miscellaneous diadromous fishes,nearshore,ISSCAAP
Miscellaneous marine crustaceans,nearshore,ISSCAAP
Miscellaneous pelagic fishes,offshore,ISSCAAP
Mussels,nearshore,ISSCAAP
Oysters,nearshore,ISSCAAP
"Scallops, pectens",nearshore,ISSCAAP
Sea-urchins and other echinoderms,nearshore,ISSCAAP
Shads,nearshore,ISSCAAP
"Sharks, rays, chimaeras",offshore,ISSCAAP
"Shrimps, prawns",nearshore,ISSCAAP
"Squids, cuttlefishes, octopuses",nearshore,ISSCAAP
"Tunas, bonitos, billfishes",offshore,ISSCAAP
bathydemersal,offshore,Fishbase
bathypelagic,offshore,Fishbase
benthopelagic,offshore,Fishbase
demersal,nearshore,Fishbase
pelagic-neritic,nearshore,Fishbase
pelagic-oceanic,offshore,Fishbase
reef-associated,nearshore,Fishbase
