IdOrig,CommName,Stock_Code,Notes
NIWA-AUSSALMONNZ-1975-2006-JENSEN,Australian salmon New Zealand,KAH,Kahawai
NIWA-BKCDLFENI-1923-2009-CORDUE,Black cardinalfish East coast of North Island,CDL2,
NIWA-PAUANPAU5A-1965-2010-CORDUE,Black Foot Paua NZ North PAUA5A,PAU5A,
NIWA-PAUASPAU5A-1965-2009-CORDUE,Black Foot Paua NZ South PAUA5A,PAU5A,
NIWA-BLACKOREOPR-1974-2009-CORDUE,Black Oreo Pukaki Rise,OEO6,
NZMFishDEEPWATER-BLACKOREOWECR-1973-2007-JENSEN,Black oreo West end of Chatham Rise,OEO4,
NZMFishINSHOREWG-BNSNZ-1935-2011-CORDUE,Bluenose New Zealand,BNS,
NZMFishMIDDEPTHSWG-GEMFISHNZ-1952-2007-JENSEN,common gemfish New Zealand,NA,
NIWA-GSTRGZRSTA7-1964-2007-CORDUE,Giant stargazer NZ Area STA7,STA7,
NIWA-HOKIENZ-1970-2012-CORDUE,Hoki Eastern New Zealand,HOK1,
NIWA-HOKIWNZ-1970-2012-CORDUE,Hoki Western New Zealand,HOK1,
NZMFishSHELLFISHWG-PAUAPAU5B-1963-2007-JENSEN,New Zealand abalone species New Zealand Area PAU 5B,PAU5B,
NZMFishSHELLFISHWG-PAUAPAU5D-1964-2006-JENSEN,New Zealand abalone species New Zealand Area PAU 5D,PAU5D,
NIWA-PAUAPAU7-1965-2011-CORDUE,New Zealand abalone species New Zealand Area PAU 7,PAU7,
NZMFishMIDDEPTHSWG-NZLINGLIN6b-1980-2006-JENSEN,New Zealand ling New Zealand Area LIN 6b,LIN6B,
NZMFishMIDDEPTHSWG-NZLINGLIN72-1972-2007-JENSEN,New Zealand ling New Zealand Area LIN 72,LIN7,
NZMFishMIDDEPTHSWG-NZLINGLIN7WC-1972-2008-JENSEN,New Zealand ling New Zealand Area LIN 7WC - WCSI,LIN7,
NIWA-NZLINGLIN3-4-1968-2011-CORDUE,New Zealand ling New Zealand Areas LIN 3 and 4,"LIN3,LIN4",
NIWA-NZLINGLIN5-6-1968-2011-CORDUE,New Zealand ling New Zealand Areas LIN 5 and 6,"LIN5,LIN6",
NZMFishINSHOREWG-NZSNAPNZ8-1931-2005-JENSEN,New Zealand snapper New Zealand Area 8,SNA8,
NIWA-OROUGHYCR-1979-2006-CORDUE,Orange Roughy Chatham Rise,ORH4,
NIWA-OROUGHYNZMEC-1909-2011-CORDUE,Orange roughy New Zealand Mid East Coast,"ORH2,ORH3",
NZMFishLOBSTERWG-RROCKLOBSTERCRA1-1945-2001-JENSEN,Red rock lobster New Zealand area CRA1,CRA1,
NZMFishLOBSTERWG-RROCKLOBSTERCRA2-1945-2001-JENSEN,Red rock lobster New Zealand area CRA2,CRA2,
NZMFishLOBSTERWG-RROCKLOBSTERCRA3-1945-2007-JENSEN,Red rock lobster New Zealand area CRA3,CRA3,
NZMFishLOBSTERWG-RROCKLOBSTERCRA4-1945-2005-JENSEN,Red rock lobster New Zealand area CRA4,CRA4,
NZMFishLOBSTERWG-RROCKLOBSTERCRA5-1945-2002-JENSEN,Red rock lobster New Zealand area CRA5,CRA5,
NZMFishLOBSTERWG-RROCKLOBSTERCRA7-1976-2005-JENSEN,Red rock lobster New Zealand area CRA7,CRA7,
NZMFishLOBSTERWG-RROCKLOBSTERCRA8-1976-2005-JENSEN,Red rock lobster New Zealand area CRA8,CRA8,
NIWA-SCMPBP-1985-2010-CORDUE,Scampi Bay of Plenty,SCI1,
NIWA-SCMPWHB-1985-2010-CORDUE,Scampi Wairapa/Hawke Bay,SCI2,
NIWA-SMOOTHOREOBP-1983-2008-CORDUE,Smooth Oreo Bounty Plateau,OEO6,
NIWA-SMOOTHOREOCR-1978-2010-CORDUE,Smooth oreo Chatham Rise,OEO4,
NIWA-SMOOTHOREOEPR-1973-2006-CORDUE,Smooth Oreo East Pukaki Rise,OEO6,
NIWA-SMOOTHOREOSLD-1973-2007-CORDUE,Smooth Oreo Southland,OEO6,
NIWA-SMOOTHOREOWECR-1965-2009-CORDUE,Smooth oreo West end of Chatham Rise,OEO3A,
NZMFishMIDDEPTHSWG-SBWHITACIR-1978-2011-CHING,Southern blue whiting Campbell Island Rise,SBW6A,
NIWA-SOUTHHAKECR-1975-2010-CHING,Southern hake Chatham Rise,HAK4,
NIWA-SOUTHHAKESA-1974-2011-CORDUE,Southern hake Sub-Antarctic,HAK1,
NIWA-TARAKNZ-1932-2007-CORDUE,Tarakihi New Zealand,TAR,
NZMFishINSHOREWG-TREVALLYTRE7-1944-2005-JENSEN,Trevally New Zealand Areas TRE 7,TRE7,
