ISSCAAP_species,Species_AFSIS,CommName,best_fit_AgCommodity_0711,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,yrs_missing,Years,Wted_avg_sp_price,Five_yr_stock_price,New_Five_yr_stock_price
"Clams, cockles, arkshells",Spisula solidissima,Atlantic surf clam,"Clams, cockles, arkshells",751.4108747,745.9822986,736.6157536,882.1159193,958.5619849,1338.67841,1066.834432,1010.828891,1112.967643,1023.691757,978.7510737,725.9092139,0,2006-2010,1416,1416,1038.614759
"Cods, hakes, haddocks",Brosme brosme,Tusk(=Cusk),Tusk,1302.706165,1467.693976,1504.184679,1277.132358,1080.616597,1536.161279,1670.994178,1781.258584,1930.50758,1393.63031,1491.72307,1640.727151,0,2006-2010,879,879,1156.175577
"Cods, hakes, haddocks",Gadus macrocephalus,Pacific cod,Pacific cod,1183.597018,1202.196937,1219.047207,1393.22163,1038.436366,2145.711572,1434.192313,1919.677383,2437.418913,1765.656338,2002.833584,2208.614404,0,2008-2012; 2006-2010,758,"743-1,234",1961.398823
"Cods, hakes, haddocks",Gadus morhua,Atlantic cod,Atlantic cod,1477.47871,1497.161059,1490.439399,1574.691031,1672.105382,1942.003628,2128.987575,2589.651511,2519.653433,1617.314372,1775.478848,2002.41676,0,2006-2010; 2007-2011,2776,"1,071-4,109",2105.58375
"Cods, hakes, haddocks",Melanogrammus aeglefinus,Haddock,Haddock,1172.374231,1061.353964,1080.600004,931.7661839,1025.34898,1195.756013,1349.360352,1554.786053,1437.52081,1104.676843,1167.025507,1244.868285,0,2006-2010; 2007-2011,2091,"790-2,890",1309.706308
"Cods, hakes, haddocks",Merlangius merlangus,Whiting,Whiting,826.9696458,638.9766374,776.0153965,773.272927,860.1769101,796.4321443,983.4359369,1054.781519,1200.59228,973.9905109,726.7404639,934.3507229,0,2007-2011,1876,"1,488-1,910",978.9819057
"Cods, hakes, haddocks",Micromesistius poutassou,Blue whiting(=Poutassou),Blue whiting,95.57105244,106.3931905,121.9622634,150.2911889,125.497784,139.8481263,165.9681599,204.7786213,234.5638798,248.8379408,256.7986592,383.6256798,3,2007-2011,607,607,265.7209562
"Cods, hakes, haddocks",Pollachius virens,Saithe(=Pollock),Saithe (=Pollock),684.93012,693.934047,729.4776993,688.1729472,724.936026,841.2639339,942.9784565,1053.632582,1140.550985,1122.668321,1287.494097,1472.151009,0,2006-2010; 2007-2011,1327,"545-1,359",1169.912575
"Cods, hakes, haddocks",Theragra chalcogramma,Alaska pollock(=Walleye poll.),Alaska pollack,1013.146932,1089.646943,1058.001823,1048.212054,886.268066,655.6675068,680.4772151,663.7639331,690.6718787,667.7778369,641.4781485,676.5459574,0,2008-2012; 2006-2010,300,300-426,670.1191616
"Cods, hakes, haddocks",Trisopterus esmarkii,Norway pout,Gadiformes,289.6732523,315.5250857,299.7481365,302.9285813,362.404133,868.9154759,904.6923743,930.0983836,1188.847904,1109.24427,1066.775211,1084.398998,0,2007-2011,226,226,1075.872953
"Cods, hakes, haddocks",Urophycis chuss,Red hake,Hake of the genus Urophycis,772.3294514,1048.550594,1053.931002,1207.899126,1309.376176,1482.932932,1592.428314,1387.674799,1788.331669,1368.020241,1237.141417,1623.837701,12,2006-2010,824,798-978,1474.719288
"Cods, hakes, haddocks",Urophycis tenuis,White hake,Hake of the genus Urophycis,772.3294514,1048.550594,1053.931002,1207.899126,1309.376176,1482.932932,1592.428314,1387.674799,1788.331669,1368.020241,1237.141417,1623.837701,12,2006-2010,2410,2410,1474.719288
"Cods, hakes, haddocks",Merluccius albidus,Offshore silver hake,Hake,727.1196736,778.7370376,659.4222662,791.8257044,894.6371876,902.7331691,992.5744893,1076.793365,1153.711652,1014.019484,990.8227451,1147.086091,0,2006-2010,1178,1178,1045.584347
"Cods, hakes, haddocks",Merluccius productus,North Pacific hake,Hake,727.1196736,778.7370376,659.4222662,791.8257044,894.6371876,902.7331691,992.5744893,1076.793365,1153.711652,1014.019484,990.8227451,1147.086091,0,2008-2012,214,214,1076.409993
