,assessid,stockid,stocklong,scientificname,FisheryType,region,areaid,areaname,assessorid,mgmt,managementauthority,Country,SpecCntryMatch,RegionFAO,confirmed
162,HAWG-HERR2224IIIa-1991-2011-NEUBAUER,HERR2224IIIa,Herring ICES 22-24-IIIa,Clupea harengus,Forage Fish,European Union,multinational-ICES-22-24-IIIa,22-24-IIIa,HAWG,ICES,International Council for the Exploration of the Sea,multinational,NA,27,1
425,AFSC-WPOLLAI-1976-2013-CHING,WPOLLAI,Walleye pollock Aleutian Islands,Theragra chalcogramma,Gadids,US Alaska,USA-NMFS-AI,Aleutian Islands,AFSC,NMFS,"National Marine Fisheries Service, US national management",United States of America,1,67,1
137,AFSC-GKINGCRABAIES-1990-2007-JENSEN,GKINGCRABAIES,Golden king crab Aleutian Islands Eastern segment,Lithodes aequispinus,Invertebrate,US Alaska,USA-NMFS-AIES,Aleutian Islands Eastern segment,AFSC,NMFS,"National Marine Fisheries Service, US national management",United States of America,NA,67,1
138,AFSC-GKINGCRABAIWS-1989-2007-JENSEN,GKINGCRABAIWS,Golden king crab Aleutian Islands Western segment,Lithodes aequispinus,Invertebrate,US Alaska,USA-NMFS-AIWS,Aleutian Islands Western segment,AFSC,NMFS,"National Marine Fisheries Service, US national management",United States of America,NA,67,1
36,SEFSC-BHEADSHARATL-1950-2005-FAUCONNET,BHEADSHARATL,Bonnethead shark Atlantic,Sphyrna tiburo,Sharks Rays and Skates,Atlantic Ocean,USA-NMFS-ATL,Atlantic,SEFSC,NMFS,"National Marine Fisheries Service, US national management",United States of America,NA,31,1
58,SEFSC-BNOSESHARATL-1950-2005-FAUCONNET,BNOSESHARATL,Blacknose shark Atlantic,Carcharhinus acronotus,Sharks Rays and Skates,Atlantic Ocean,USA-NMFS-ATL,Atlantic,SEFSC,NMFS,"National Marine Fisheries Service, US national management",United States of America,NA,31,1
66,SEFSC-BTIPSHARATL-1981-2004-FAUCONNET,BTIPSHARATL,Blacktip shark Atlantic,Carcharhinus limbatus,Sharks Rays and Skates,Atlantic Ocean,USA-NMFS-ATL,Atlantic,SEFSC,NMFS,"National Marine Fisheries Service, US national management",United States of America,1,31,1
127,SEFSC-FTOOTHSHARATL-1976-2005-FAUCONNET,FTOOTHSHARATL,Finetooth shark Atlantic,Carcharhinus isodon,Sharks Rays and Skates,Atlantic Ocean,USA-NMFS-ATL,Atlantic,SEFSC,NMFS,"National Marine Fisheries Service, US national management",United States of America,1,31,1
211,NMFS-MENATLAN-1940-2005-STANTON,MENATLAN,Atlantic menhaden Atlantic,Brevoortia tyrannus,Forage Fish,US East Coast,USA-NMFS-ATL,Atlantic,NMFS,NMFS,"National Marine Fisheries Service, US national management",United States of America,1,21/31,1
323,SEFSC-SBARSHARATL-1975-2004-FAUCONNET,SBARSHARATL,Sandbar shark Atlantic,Carcharhinus plumbeus,Sharks Rays and Skates,Atlantic Ocean,USA-NMFS-ATL,Atlantic,SEFSC,NMFS,"National Marine Fisheries Service, US national management",United States of America,1,31,1
354,SEFSC-SNOSESHARATL-1950-2005-FAUCONNET,SNOSESHARATL,Atlantic sharpnose shark Atlantic,Rhizoprionodon terraenovae,Sharks Rays and Skates,Atlantic Ocean,USA-NMFS-ATL,Atlantic,SEFSC,NMFS,"National Marine Fisheries Service, US national management",United States of America,1,31,1
51,NEFSC-BLUEFISHATLC-1981-2007-SHEPHERD,BLUEFISHATLC,Bluefish Atlantic Coast,Pomatomus saltatrix,Other Marine,US East Coast,USA-NMFS-ATLC,Atlantic Coast,NEFSC,NMFS,"National Marine Fisheries Service, US national management",United States of America,1,21,1
279,NEFSC-QUAHATLC-1978-2008-CHUTE,QUAHATLC,Ocean quahog Atlantic Coast,Arctica islandica,Invertebrate,US East Coast,USA-NMFS-ATLC,Atlantic Coast,NEFSC,NMFS,"National Marine Fisheries Service, US national management",United States of America,1,21,1
333,NEFSC-SDOGATLC-1962-2006-SOSEBEE,SDOGATLC,Spiny dogfish Atlantic Coast,Squalus acanthias,Sharks Rays and Skates,US East Coast,USA-NMFS-ATLC,Atlantic Coast,NEFSC,NMFS,"National Marine Fisheries Service, US national management",United States of America,1,21,1
410,NEFSC-WEAKFISHATLC-1981-2008-STANTON,WEAKFISHATLC,Weakfish Atlantic Coast,Cynoscion regalis,Other Marine,US East Coast,USA-NMFS-ATLC,Atlantic Coast,NEFSC,NMFS,"National Marine Fisheries Service, US national management",United States of America,1,21,1
37,ICCAT-BIGEYEATL-1950-2010-CHING,BIGEYEATL,Bigeye tuna Atlantic,Thunnus obesus,Tuna and Marlin,Atlantic Ocean,multinational-ICCAT-ATL,Atlantic Ocean,ICCAT,ICCAT,International Commission for the Conservation of Atlantic Tunas,multinational,NA,NA,
55,ICCAT-BMARLINATL-1956-2010-CHING,BMARLINATL,Blue marlin Atlantic,Makaira nigricans,Tuna and Marlin,Atlantic Ocean,multinational-ICCAT-ATL,Atlantic Ocean,ICCAT,ICCAT,International Commission for the Conservation of Atlantic Tunas,multinational,NA,NA,
424,ICCAT-WMARLINATL-1956-2011-CHING,WMARLINATL,White marlin Atlantic,Tetrapturus albidus,Tuna and Marlin,Atlantic Ocean,multinational-ICCAT-ATL,Atlantic Ocean,ICCAT,ICCAT,International Commission for the Conservation of Atlantic Tunas,multinational,NA,NA,
438,ICCAT-YFINATL-1950-2011-CHING,YFINATL,Yellowfin tuna Atlantic,Thunnus albacares,Tuna and Marlin,Atlantic Ocean,multinational-ICCAT-ATL,Atlantic Ocean,ICCAT,ICCAT,International Commission for the Conservation of Atlantic Tunas,multinational,NA,NA,
376,WGBFAS-SPRAT22-32-1973-2011-NEUBAUER,SPRAT22-32,Sprat ICES Baltic Areas 22-32,Sprattus sprattus,Forage Fish,European Union,multinational-ICES-22-32,Baltic Areas 22-32,WGBFAS,ICES,International Council for the Exploration of the Sea,multinational,NA,27,1
77,AFWG-CAPENOR-1965-2007-MINTO,CAPENOR,Capelin Barents Sea,Mallotus villosus,Forage Fish,Europe non EU,multinational-ICES-I,Barents Sea,AFWG,ICES,International Council for the Exploration of the Sea,multinational,NA,27,1
14,WGMHSA-ANCHOBAYB-1986-2007-JENNINGS,ANCHOBAYB,Anchovy ICES VIII,Engraulis encrasicolus,Forage Fish,European Union,multinational-ICES-VIII,Bay of Biscay,WGMHSA,ICES,International Council for the Exploration of the Sea,multinational,NA,27,1
369,WGHMM-SOLEVIII-1982-2011-NEUBAUER,SOLEVIII,common European sole Bay of Biscay,Solea vulgaris,Flatfish,European Union,multinational-ICES-VIII,Bay of Biscay,WGHMM,ICES,International Council for the Exploration of the Sea,multinational,NA,27,1
330,NIWA-SCMPBP-1985-2010-CORDUE,SCMPBP,Scami Bay of Plenty,Metanephrops challengeri,Invertebrate,New Zealand,New Zealand-MFish-BOP,Bay of Plenty,NIWA,MFish,"Ministry of Fisheries, New Zealand national management",New Zealand,1,81,1
359,AFSC-SNOWCRABBS-1979-2008-JENSEN,SNOWCRABBS,Snow crab Bering Sea,Chionoecetes opilio,Invertebrate,US Alaska,USA-NMFS-BS,Bering Sea,AFSC,NMFS,"National Marine Fisheries Service, US national management",United States of America,NA,67,?
8,AFSC-ALPLAICBSAI-1972-2010-STACHURA,ALPLAICBSAI,Alaska plaice Bering Sea and Aleutian Islands,Pleuronectes quadrituberculatus,Flatfish,US Alaska,USA-NMFS-BSAI,Bering Sea and Aleutian Islands,AFSC,NMFS,"National Marine Fisheries Service, US national management",United States of America,NA,67,?
18,AFSC-ARFLOUNDBSAI-1970-2010-STACHURA,ARFLOUNDBSAI,Arrowtooth flounder Bering Sea and Aleutian Islands,Reinhardtius stomias,Flatfish,US Alaska,USA-NMFS-BSAI,Bering Sea and Aleutian Islands,AFSC,NMFS,"National Marine Fisheries Service, US national management",United States of America,NA,67,?
28,AFSC-ATKABSAI-1976-2011-STACHURA,ATKABSAI,Atka mackerel Bering Sea and Aleutian Islands,Pleurogrammus monopterygius,Other Marine,US Alaska,USA-NMFS-BSAI,Bering Sea and Aleutian Islands,AFSC,NMFS,"National Marine Fisheries Service, US national management",United States of America,1,67,?
124,AFSC-FLSOLEBSAI-1974-2010-STACHURA,FLSOLEBSAI,Flathead sole Bering Sea and Aleutian Islands,Hippoglossoides elassodon,Flatfish,US Alaska,USA-NMFS-BSAI,Bering Sea and Aleutian Islands,AFSC,NMFS,"National Marine Fisheries Service, US national management",United States of America,1,67,?
135,AFSC-GHALBSAI-1960-2009-STANTON,GHALBSAI,Greenland turbot Bering Sea and Aleutian Islands,Reinhardtius hippoglossoides,Flatfish,US Alaska,USA-NMFS-BSAI,Bering Sea and Aleutian Islands,AFSC,NMFS,"National Marine Fisheries Service, US national management",United States of America,1,67,?
220,AFSC-NROCKBSAI-1974-2011-STACHURA,NROCKBSAI,Northern rockfish Bering Sea and Aleutian Islands,Sebastes polyspinis,Rockfish,US Alaska,USA-NMFS-BSAI,Bering Sea and Aleutian Islands,AFSC,NMFS,"National Marine Fisheries Service, US national management",United States of America,NA,67,?
250,AFSC-PCODBSAI-1964-2013-CHING,PCODBSAI,Pacific cod Bering Sea and Aleutian Islands,Gadus macrocephalus,Gadids,US Alaska,USA-NMFS-BSAI,Bering Sea and Aleutian Islands,AFSC,NMFS,"National Marine Fisheries Service, US national management",United States of America,1,67,?
291,AFSC-REYEROCKBSAI-1974-2011-STACHURA,REYEROCKBSAI,Rougheye rockfish Bering Sea and Aleutian Islands,Sebastes aleutianus,Rockfish,US Alaska,USA-NMFS-BSAI,Bering Sea and Aleutian Islands,AFSC,NMFS,"National Marine Fisheries Service, US national management",United States of America,NA,67,?
379,AFSC-SRAKEROCKBSAI-1977-2010-STACHURA,SRAKEROCKBSAI,Shortraker rockfish Bering Sea and Aleutian Islands,Sebastes borealis,Rockfish,US Alaska,USA-NMFS-BSAI,Bering Sea and Aleutian Islands,AFSC,NMFS,"National Marine Fisheries Service, US national management",United States of America,NA,67,?
398,AFSC-TANNERCRABBSAI-1965-2008-JENSEN,TANNERCRABBSAI,Tanner crab Bering Sea and Aleutian Islands,Chionoecetes bairdi,Invertebrate,US Alaska,USA-NMFS-BSAI,Bering Sea and Aleutian Islands,AFSC,NMFS,"National Marine Fisheries Service, US national management",United States of America,NA,67,?
442,AFSC-YSOLEBSAI-1949-2010-STACHURA,YSOLEBSAI,Yellowfin sole Bering Sea and Aleutian Islands,Limanda aspera,Flatfish,US Alaska,USA-NMFS-BSAI,Bering Sea and Aleutian Islands,AFSC,NMFS,"National Marine Fisheries Service, US national management",United States of America,1,67,?
413,EWG-BS-WHITBLACK-1994-2011-HIVELY,WHITBLACK,Whiting Black Sea,Merlangius merlangus,Gadids,European Union,multinational-STECF-BLACK,Black Sea,EWG-BS,STECF,"Scientific, Technical and Economic Committee for Fisheries",multinational,NA,37,1
165,WGBFAS-HERR31-1979-2010-NEUBAUER,HERR31,Herring ICES 31,Clupea harengus,Forage Fish,European Union,multinational-ICES-31,Bothnian Bay,WGBFAS,ICES,International Council for the Exploration of the Sea,multinational,NA,27,1
164,WGBFAS-HERR30-1972-2011-NEUBAUER,HERR30,Herring ICES 30,Clupea harengus,Forage Fish,European Union,multinational-ICES-30,Bothnian Sea,WGBFAS,ICES,International Council for the Exploration of the Sea,multinational,NA,27,1
