IdOrig,CommName,SciName
NAFO-SC-AMPL3LNO-1955-2007-BAUM,American Plaice NAFO-3LNO,Hippoglossoides platessoides
NAFO-SC-AMPL3M-1960-2007-BAUM,American Plaice NAFO-3M,Hippoglossoides platessoides
INIDEP-ARGHAKESARG-1990-2011-CHING,Argentine hake Southern Argentina,Merluccius hubbsi
FAJ-BRMSOJ-1980-2010-ONO,Yellow sea bream Sea of Japan,Dentex tumifrons
SPRFMO-CHTRACCH-1950-2010-RICARD,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi
FAJ-CMACKPJPN-1970-2009-ONO,Chub mackerel Pacific Coast of Japan,Scomber japonicus
DFO-QUE-COD3Pn4RS-1964-2012-CHING,Atlantic cod NAFO 3Pn4RS,Gadus morhua
DFO-SG-COD4TVn-1930-2011-CHING,Atlantic cod NAFO 4TVn,Gadus morhua
DFO-MAR-COD4X-1953-2008-HIVELY,Atlantic cod NAFO 4X,Gadus morhua
WGBFAS-CODKAT-1971-2012-CHING,Atlantic cod Kattegat,Gadus morhua
WGHMM-FMEG8c9a-1986-2010-NEUBAUER,Fourspotted megrim ICES VIIIc-IXa,Lepidorhombus boscii
AFWG-GHALNEAR-1960-2010-NEUBAUER,Greenland halibut Northeast Arctic,Reinhardtius hippoglossoides
AFWG-GOLDREDNEAR-1983-2010-NEUBAUER,Golden Redfish Northeast Arctic,Sebastes norvegicus
HAWG-HERRNIRS-1960-2010-NEUBAUER,Herring Northern Irish Sea,Clupea harengus
FAJ-JMACKPJPN-1982-2009-ONO,Jack mackerel Pacific Coast of Japan,Trachurus japonicus
ASMFC-LOBSTERSNE-1981-2007-STANTON,American lobster Southern New England,Homarus americanus
WGHMM-MEG8c9a-1985-2010-NEUBAUER,Megrim ICES VIIIc-IXa,Lepidorhombus whiffiagonis
IFOP-PATGRENADIERCH-1977-2012-CHING,Patagonian grenadier Chile,Macruronus magellanicus
FAJ-RBRMECS-1969-2010-ONO,Red seabream East China Sea,Pagrus major
FAJ-RBRMSETOE-1977-2010-ONO,Red seabream Inland Sea of Japan (East),Pagrus major
INIDEP-SBWHITARGS-1985-2007-Parma,Southern blue whiting Southern Argentina,Micromesistius australis
SARDI-SNAPSAUSNSG-1983-2010-BANOBI,Snapper Northern Spencer Gulf,Chrysophrys auratus
SARDI-SNAPSAUSSGSV-1983-2010-BANOBI,Snapper Southern Gulf St. Vincent,Chrysophrys auratus
