,assessid,stockid,stocklong,scientificname,FisheryType,region,areaid,areaname,assessorid,mgmt,managementauthority,Country,SpecCntryMatch,RegionFAO,confirmed
7,CSIRO-OROUGHYCASCADE-1987-2006-FULTON,OROUGHYCASCADE,Orange roughy Cascade Plateau,Hoplostethus atlanticus,Other Marine,Australia,Australia-AFMA-CASCADE,Cascade Plateau,CSIRO,AFMA,"Australian Fisheries Management Authority, Australia national management",Australia,1,57,1
8,CSIRO-WAREHOUESE-1984-2006-FULTON,WAREHOUESE,Blue Warehou Eastern half of Southeast Australia,Seriolella brama,Other Marine,Australia,Australia-AFMA-ESE,Eastern half of Southeast Australia,CSIRO,AFMA,"Australian Fisheries Management Authority, Australia national management",Australia,1,"57,81",?
9,CSIRO-PTOOTHFISHMI-1975-2010-FAY,PTOOTHFISHMI,Patagonian toothfish Macquarie Island,Dissostichus eleginoides,Other Marine,Australia,Australia-AFMA-MI,Macquarie Island,CSIRO,AFMA,"Australian Fisheries Management Authority, Australia national management",Australia,NA,81,1
10,CSIRO-BTSHRIMPNAUST-1970-2006-FULTON,BTSHRIMPNAUST,Northern Australia brown tiger shrimp,Penaeus esculentus,Invertebrate,Australia,Australia-AFMA-NAUST,Northern Australia,CSIRO,AFMA,"Australian Fisheries Management Authority, Australia national management",Australia,NA,"57,71",?
11,CSIRO-GTPRAWNNAUST-1970-2006-FULTON,GTPRAWNNAUST,Northern Australia grooved Tiger Prawn,Penaeus semisulcatus,Invertebrate,Australia,Australia-AFMA-NAUST,Northern Australia,CSIRO,AFMA,"Australian Fisheries Management Authority, Australia national management",Australia,NA,"57,71",?
12,CSIRO-BGRDRNSWWA-1979-2007-STANTON,BGRDRNSWWA,Blue grenadier New South Wales to Western Australia,Macruronus novaezelandiae,Gadids,Australia,Australia-AFMA-NSWWA,New South Wales to Western Australia,CSIRO,AFMA,"Australian Fisheries Management Authority, Australia national management",Australia,1,57,1
13,ABARES-BGRDRSE-1960-2011-CHING,BGRDRSE,Blue Grenadier Southeast Australia,Macruronus novaezelandiae,Gadids,Australia,Australia-AFMA-SE,Southeast Australia,ABARES,AFMA,"Australian Fisheries Management Authority, Australia national management",Australia,1,"57,81",
14,CSIRO-BIGHTREDSE-1958-2007-FULTON,BIGHTREDSE,Bight redfish Southeast Australia,Centroberyx gerrardi,Other Marine,Australia,Australia-AFMA-SE,Southeast Australia,CSIRO,AFMA,"Australian Fisheries Management Authority, Australia national management",Australia,NA,"57,81",
15,CSIRO-DEEPFLATHEADSE-1978-2007-FULTON,DEEPFLATHEADSE,Deepwater flathead Southeast Australia,Platycephalus conatus,Other Marine,Australia,Australia-AFMA-SE,Southeast Australia,CSIRO,AFMA,"Australian Fisheries Management Authority, Australia national management",Australia,NA,"57,81",?
16,CSIRO-GEMFISHSE-1966-2007-FULTON,GEMFISHSE,common gemfish Southeast Australia,Rexea solandri,Other Marine,Australia,Australia-AFMA-SE,Southeast Australia,CSIRO,AFMA,"Australian Fisheries Management Authority, Australia national management",Australia,1,"57,81",
