,X,assessid,stockid,stocklong,scientificname,SciNameToUse,SciName_Notes,FisheryType,region,areaid,areaname,assessorid,mgmt,managementauthority,Country,SpecCntryMatch,RegionFAO,confirmed
79,79,AFSC-NRSOLEEBSAI-1971-2008-STANTON,NRSOLEEBSAI,Northern rock sole Eastern Bering Sea and Aleutian Islands,Lepidopsetta polyxystra,Lepidopsetta bilineata,Only listing under USA,Flatfish,US Alaska,USA-NMFS-EBSAI,Eastern Bering Sea and Aleutian Islands,AFSC,NMFS,"National Marine Fisheries Service, US national management",USA,NA,67,1
449,2221,AFSC-NRSOLEEBSAI-1975-2012-HIVELY,NRSOLEEBSAI,Northern rock sole Eastern Bering Sea and Aleutian Islands,Lepidopsetta polyxystra,Lepidopsetta bilineata,Only listing under USA,Flatfish,US Alaska,USA-NMFS-EBSAI,Eastern Bering Sea and Aleutian Islands,AFSC,NMFS,"National Marine Fisheries Service, US national management",USA,NA,67,NA
150,150,DFO-PAC-ESOLEHS-1944-2001-COLLIE,ESOLEHS,English sole Hecate Strait,Parophrys vetulus,Pleuronectes vetulus,English sole in FAO,Flatfish,Canada West Coast,Canada-DFO-HS,Hecate Strait,DFO-PAC,DFO,"Department of Fisheries and Oceans, Canada national management",Canada,NA,67,1
284,284,NWFSC-ESOLEPCOAST-1876-2007-BRANCH,ESOLEPCOAST,English sole Pacific Coast,Parophrys vetulus,Pleuronectes vetulus,English sole in FAO,Flatfish,US West Coast,USA-NMFS-PCOAST,Pacific Coast,NWFSC,NMFS,"National Marine Fisheries Service, US national management",USA,NA,67,1
26,26,AFSC-ALPLAICBSAI-1972-2010-STACHURA,ALPLAICBSAI,Alaska plaice Bering Sea and Aleutian Islands,Pleuronectes quadrituberculatus,Pleuronectes quadrituberculat.,Abbreviated by FAO,Flatfish,US Alaska,USA-NMFS-BSAI,Bering Sea and Aleutian Islands,AFSC,NMFS,"National Marine Fisheries Service, US national management",USA,NA,67,?
27,27,AFSC-ARFLOUNDBSAI-1970-2010-STACHURA,ARFLOUNDBSAI,Arrowtooth flounder Bering Sea and Aleutian Islands,Reinhardtius stomias,Atheresthes stomias,Synonym,Flatfish,US Alaska,USA-NMFS-BSAI,Bering Sea and Aleutian Islands,AFSC,NMFS,"National Marine Fisheries Service, US national management",USA,NA,67,?
278,278,NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH,ARFLOUNDPCOAST,Arrowtooth flounder Pacific Coast,Reinhardtius stomias,Atheresthes stomias,Synonym,Flatfish,US West Coast,USA-NMFS-PCOAST,Pacific Coast,NWFSC,NMFS,"National Marine Fisheries Service, US national management",USA,NA,"67,77",
23,23,WGHMM-SOLEVIII-1982-2011-NEUBAUER,SOLEVIII,common European sole Bay of Biscay,Solea vulgaris,Solea solea,Synonym,Flatfish,European Union,multinational-ICES-VIII,Bay of Biscay,WGHMM,ICES,International Council for the Exploration of the Sea,Multinational,NA,27,1
49,49,WGSSDS-SOLECS-1970-2011-NEUBAUER,SOLECS,common European sole Celtic Sea,Solea vulgaris,Solea solea,Synonym,Flatfish,European Union,multinational-ICES-VIIf-g,Celtic Sea,WGSSDS,ICES,International Council for the Exploration of the Sea,Multinational,NA,27,1
82,82,WGNSSK-SOLEVIId-1981-2011-NEUBAUER,SOLEVIId,common European sole ICES VIId,Solea vulgaris,Solea solea,Synonym,Flatfish,European Union,multinational-ICES-VIId,Eastern English Channel,WGNSSK,ICES,International Council for the Exploration of the Sea,Multinational,NA,27,1
