FAO Region,Species Grouping,Region,Species Grouping Code,Stock or species Group,Assessed,Status,Short Status,Avg Catch,Size,Gt 10k,Scientific Name,Fishing Countries,1950s,1960s,1970s,1980s,1990s,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,state of exploitation,Uncertainty,My  Class,FAO Region,Avg Catch
87,"Herrings, sardines, anchovies",Southeast Pacific,35,Anchoveta (= Peruvian anchovy),1,F,F,"8,427",Large,1,Engraulis ringens,"Peru,  Ecuador, Chile",345,8166,4605,2147,7059,11276,7213,9703,6204,10679,10244,7007,7612,7419,6910,F,L,F,87,8427
61,Marine fishes not identified,Northwest Pacific,39,Marine fishes not identified,0,?,?,"2,857",Large,1,,,1239,2045,2921,3328,4182,4119,3645,3488,2532,2516,2494,2326,2356,2219,2871,,,?,61,2857
71,Marine fishes not identified,West Central Pacific,39,Marine fishes  NEI,0,F,F,"2,612",Large,1,Osteichthyes,"Viet Nam,  Thailand, Malaysia, Indonesia",293,1004,1431,1621,2068,2371,2602,2557,2854,2735,2864,2644,2625,2401,2470,F                         ,H,F,71,2612
57,Marine fishes not  identified,Eastern Indian Ocean,39,Marine fishes not  identified,0,F-U,F,"2,430",Large,1,,,215,409,683,1074,1549,2007,1990,2270,2386,2470,2545,2588,2548,2612,2883,U-F                        H,,F-U,57,2430
27,"Herrings, sardines, anchovies",Northeast Atlantic,35,Atlantic herring,1,F,F,"1,945",Large,1,Clupea harengus,"Russian  Federation, Norway, Iceland, Faroe Islands",2478,2738,1078,1081,1733,2104,1645,1615,1661,1755,2055,1971,2128,2261,2254,F,L,F,27,1945
87,Miscellaneous pelagic fishes,Southeast Pacific,37,Chilean jack mackerel         ,1,O,O,"1,786",Large,1,Trachurus murphyi,"Vanuatu, Peru, China,  Chile",3,16,474,2292,3518,1543,2529,1750,1790,1874,1748,1993,1954,1430,1253,O,M,O,87,1786
61,Miscellaneous coastal fishes,Northwest Pacific,33,Other miscellaneous coastal fishes,0,?,?,"1,766",Large,1,,,459,603,1005,1115,1164,1296,1262,1197,2091,2060,1960,1984,1767,2008,2032,,,?,61,1766
27,"Cods, hakes,  haddocks",Northeast Atlantic,32,"Blue whiting
(= poutassou)",1,F,F,"1,726",Large,1,Micromesistius poutassou,"Russian  Federation, Norway, Iceland, Faroe Islands",13,18,223,713,675,1446,1794,1558,2373,2419,2060,2024,1673,1277,635,F,L,F,27,1726
Pacific ,"Tunas, bonitos, billfishes",#N/A,36,Skipjack  tuna,1,F-N,F,"1,650",Large,1,Katsuwonus pelamis,"Philippines, Republic of Korea, Japan, Indonesia",188,246,483,727,1138,1422,1262,1440,1566,1528,1714,1811,1877,1866,2017,"East: F, West:  N","East: M, West:  L",F-N,Pacific ,1650
61,"Herrings, sardines, anchovies",Northwest Pacific,35,Japanese  anchovy     ,1,F,F,"1,513",Large,1,Engraulis japonicus,"Taiwan Province of China, Republic of Korea, Japan, China",364,417,398,343,1105,1563,1651,1679,1893,1629,1481,1509,1391,1266,1071,F,M,F,61,1513
