SpeciesCatName,Price
"Herrings, sardines, anchovies",872.47
Miscellaneous diadromous fishes,2068.44
"Tunas, bonitos, billfishes",2920.04
"Cods, hakes, haddocks",2040.27
Miscellaneous pelagic fishes,1617.88
"Flounders, halibuts, soles",4147.98
Miscellaneous coastal fishes,4254.10
"Salmons, trouts, smelts",5339.25
Miscellaneous demersal fishes,5176.12
"Sharks, rays, chimaeras",3143.71
Tilapias and other cichlids,1879.86
"Sturgeons, paddlefishes",2205.13
Miscellaneous freshwater fishes,2663.79
"Carps, barbels and other cyprinids",2608.19
"Shrimps, prawns",6592.35
"Squids, cuttlefishes, octopuses",3816.19
"Lobsters, spiny-rock lobsters",17492.16
River eels,12642.80
Freshwater crustaceans,10225.65
Marine fishes not identified,2109.18
Mussels,2324.98
"Crabs, sea-spiders",7949.55
Corals,
Shads,5399.82
Sea-urchins and other echinoderms,21257.57
"Clams, cockles, arkshells",1726.06
Miscellaneous marine crustaceans,1036.00
Miscellaneous marine molluscs,4105.69
"Abalones, winkles, conchs",25437.24
"Krill, planktonic crustaceans",20000.00
Miscellaneous aquatic plants,
"Blue-whales, fin-whales",
"Sperm-whales, pilot-whales",
Crocodiles and alligators,
Brown seaweeds,
Red seaweeds,
Green seaweeds,
"Scallops, pectens",10715.92
"King crabs, squat-lobsters",19638.37
Miscellaneous aquatic invertebrates,3593.15
"Pearls, mother-of-pearl, shells",
Sea-squirts and other tunicates,
Sponges,
Turtles,
Frogs and other amphibians,
Miscellaneous aquatic mammals,
Oysters,6469.60
Freshwater molluscs,
"Eared seals, hair seals, walruses",
Horseshoe crabs and other arachnoids,
