Species_AFSIS,SpeciesCat_ISSCAAP_code
Ablennes hians,37
Abramis brama,11
Abramis spp,11
Acanthistius brasilianus,33
Acanthobrama terraesanctae,11
Acanthocybium solandri,36
Acanthopagrus berda,33
Acanthopagrus bifasciatus,33
Acanthopagrus latus,33
Acanthopagrus schlegeli,33
Acanthuridae,33
Acanthurus sohal,33
Acetes erythraeus,45
Acetes japonicus,45
Acipenser gueldenstaedtii,21
Acipenser medirostris,21
Acipenser nudiventris,21
Acipenser ruthenus,21
Acipenser stellatus,21
Acipenser transmontanus,21
Acipenseridae,21
Actiniaria,82
Aequidens rivulatus,12
Aequipecten opercularis,55
Aethaloperca rogaa,33
Aethiomastacembelus cunningtoni,13
Agonostomus monticola,33
Albula vulpes,33
Alburnus alburnus,11
Alectis alexandrinus,37
Alepes djedaba,37
Alepisaurus ferox,33
Alepocephalus bairdii,34
Alepocephalus spp,34
Alestes baremoze,13
Algae,94
Alligator mississippiensis,73
Allocyttus niger,34
Allothunnus fallai,36
Alopias pelagicus,38
Alopias spp,38
Alopias superciliosus,38
Alopias vulpinus,38
Alosa aestivalis,24
Alosa alosa,24
Alosa fallax,24
Alosa mediocris,24
Alosa pontica,24
Alosa pseudoharengus,24
Alosa sapidissima,24
Alosa spp,24
Ambassidae,33
Amblygaster sirm,35
Ameiurus nebulosus,13
Amia calva,13
Ammodytes personatus,33
Ammodytes spp,33
Amphichthys cryptocentrus,33
Anabas testudineus,13
Anadara granosa,56
Anadara ovalis,56
Anadara spp,56
Anarhichas denticulatus,34
Anarhichas lupus,34
Anarhichas minor,34
Anarhichas spp,34
Anchoa hepsetus,35
Anchoa marinii,35
Anchoa nasus,35
Anguilla anguilla,22
Anguilla australis,22
Anguilla japonica,22
Anguilla rostrata,22
Anguilla spp,22
Anodontostoma chacunda,24
Anoplopoma fimbria,34
Antimora rostrata,32
Antipatharia,82
Aphanopus carbo,34
Aphareus rutilans,33
Aphia minuta,33
Aplodactylus punctatus,33
Aplodinotus grunniens,13
Apogonidae,33
Aprion virescens,33
Apsilus fuscus,33
Arapaima gigas,13
Arca noae,56
Arca spp,56
Arca zebra,56
Archosargus probatocephalus,33
Archosargus rhomboidalis,33
Arctica islandica,56
Arctocephalus australis,63
Arctocephalus forsteri,63
Arctocephalus pusillus,63
Arctoscopus japonicus,34
Arenicola marina,77
Argentina silus,34
Argentina sphyraena,34
Argentina spp,34
Argopecten gibbus,55
Argopecten irradians,55
Argopecten purpuratus,55
Argopecten ventricosus,55
Argyrops spinifer,33
Argyrosomus hololepidotus,33
Argyrosomus regius,33
