ID Number,Species,Species Group,FAO Fishing Area,SpeciesMatch,Fam/OrdMatch,Multinational?,Country Specified?,RAM II ID Number,Assessed ID,Assessed Country,UnAssessed Sp,Assessed Sp
181,2497,36,77,1,0,1,0,92,IATTC-YFINEPAC-1975-2007-JENSEN,multinational,Thunnus albacares,Thunnus albacares
182,2498,36,77,1,0,1,0,91,IATTC-BIGEYEEPAC-1975-2007-JENSEN,multinational,Thunnus obesus,Thunnus obesus
341,2438,34,88,1,0,1,0,47,CCAMLR-ATOOTHFISHRS-1995-2007-JENSEN,multinational,Dissostichus mawsoni,Dissostichus mawsoni
343,2916,35,41,1,0,0,1,107,INIDEP-ARGANCHOSARG-1992-2007-Parma,Argentina,Engraulis anchoita,Engraulis anchoita
373,3027,32,41,1,0,0,1,108,INIDEP-ARGHAKENARG-1985-2007-Parma,Argentina,Merluccius hubbsi,Merluccius hubbsi
373,3027,32,41,1,0,0,1,109,INIDEP-ARGHAKESARG-1985-2008-Parma,Argentina,Merluccius hubbsi,Merluccius hubbsi
374,2236,32,41,1,0,0,1,111,INIDEP-SBWHITARGS-1985-2007-Parma,Argentina,Micromesistius australis,Micromesistius australis
456,3296,36,41,1,0,1,0,95,ICCAT-ATBTUNAWATL-1969-2007-WORM,multinational,Thunnus thynnus,Thunnus thynnus
464,2503,36,41,1,0,1,0,100,ICCAT-SWORDNATL-1978-2007-JENSEN,multinational,Xiphias gladius,Xiphias gladius
464,2503,36,41,1,0,1,0,101,ICCAT-SWORDSATL-1970-2005-JENSEN,multinational,Xiphias gladius,Xiphias gladius
564,3257,34,57,1,0,0,1,54,CSIRO-NZLINGESE-1968-2007-FULTON,Australia,Genypterus blacodes,Genypterus blacodes
564,3257,34,57,1,0,0,1,55,CSIRO-NZLINGWSE-1968-2007-FULTON,Australia,Genypterus blacodes,Genypterus blacodes
577,2249,34,81,1,0,0,1,56,CSIRO-OROUGHYCASCADE-1987-2006-FULTON,Australia,Hoplostethus atlanticus,Hoplostethus atlanticus
