Country,Common_name,Common_name_eng,Scientific_name
Philippines,Yellowfin tuna,Yellowfin tuna,Thunnus albacares
Philippines,Mahi mahi,Mahi mahi,Coryphaena hippurus
Philippines,Lobster,Lobster,Panilurus spp
Philippines,Lobster,Lobster,Panilurus ornatus
Philippines,Lobster,Lobster,Panilurus versicolor
Philippines,Snappers,Snappers,Lutjanus spp
Philippines,Groupers,Groupers,Serranidae
Philippines,Albacore tuna,Albacore tuna,Thunnus alalunga
Brazil,Monkfish,Monkfish,Lophius gastrophysus
Brazil,Mangrove crab,Mangrove crab,Ucides cordatus
Brazil,Lobster,,Panulirus argus
Chile,Common hake,Common hake,Merluccius gayi
Chile,Southern sardine,Southern sardine,Sprattus fuegensis
Chile,Chilean king crab,Chilean king crab,Lithodes santolla
Chile,Congrio dorado ,Pink cusk-eel; Golden kingklip,Genypterus blacodes
Chile,Congrio colorado ,Red cusk-eel,Genypterus chilensis
Chile,Merluza del sur ,Southern Hake,Merluccius australis
Chile,Sierra ,Snoek,Thyrsites atun
Chile,Pejegallo ,Elephant fish,Callorhynchus callorhynchus
Chile,Jibia ,Giant squid,Dosidiscus gigas
Chile,Jaiba ,Stone crab,Cancer spp
Chile,Pulpo ,Octopus,Octopus chilensis
Chile,Machas ,Razor clam,Mesodesma donacium
Chile,Ostiones,Scallop,Argopecten purpuratus
Chile,Loco ,Loco,Concholepas concholepas
Chile,Lapas ,Limpet; key hole,Fisurella spp
Chile,Chorito ,Chilean mussel; Chilean blue mussel,Mytilus chilensis
Chile,Almeja ,Clam,Venus antiqua
Chile,Choro zapato,Mussel,Choromytilus chorus
Chile,Erizo rojo,Sea urchin,Loxechinus albus
Chile,Piure ,,Pyura chilensis
Chile,Southern blue whiting,,Micromesistius australis australis
Chile,Chilean hoki,,Macruronus magellanicus
