SciName,CommName,family,order
Cycleptus elongatus,Blue sucker,Catostomidae,CYPRINIFORMES
Deltistes luxatus,Lost River sucker,Catostomidae,CYPRINIFORMES
Catostomus catostomus,Longnose sucker,Catostomidae,CYPRINIFORMES
Catostomus commersoni,White sucker,Catostomidae,CYPRINIFORMES
Catostomus latipinnis,Flannelmouth sucker,Catostomidae,CYPRINIFORMES
Catostomus macrocheilus,Largescale sucker,Catostomidae,CYPRINIFORMES
Catostomus tahoensis,Tahoe sucker,Catostomidae,CYPRINIFORMES
Moxostoma congestum,Gray redhorse,Catostomidae,CYPRINIFORMES
Moxostoma erythrurum,Golden redhorse,Catostomidae,CYPRINIFORMES
Moxostoma macrolepidotum,Shorthead redhorse,Catostomidae,CYPRINIFORMES
Lagochila lacera,Harelip sucker,Catostomidae,CYPRINIFORMES
Ictiobus cyprinellus,Bigmouth buffalo,Catostomidae,CYPRINIFORMES
Myxocyprinus asiaticus,Chinese sucker,Catostomidae,CYPRINIFORMES
Carpiodes carpio,River carpsucker,Catostomidae,CYPRINIFORMES
Xyrauchen texanus,Razorback sucker,Catostomidae,CYPRINIFORMES
Chasmistes cujus,Cui-ui,Catostomidae,CYPRINIFORMES
Minytrema melanops,Spotted sucker,Catostomidae,CYPRINIFORMES
Erimyzon sucetta,Lake chubsucker,Catostomidae,CYPRINIFORMES
Hypentelium nigricans,Northern hog sucker,Catostomidae,CYPRINIFORMES
Abramis brama,Freshwater bream,Cyprinidae,CYPRINIFORMES
Cyprinus carpio,Common carp,Cyprinidae,CYPRINIFORMES
Cyprinus pellegrini,Barbless carp,Cyprinidae,CYPRINIFORMES
Aaptosyax grypus,,Cyprinidae,CYPRINIFORMES
Abbottina rivularis,Chinese false gudgeon,Cyprinidae,CYPRINIFORMES
Acanthalburnus microlepis,Blackbrow bleak,Cyprinidae,CYPRINIFORMES
Tinca tinca,Tench,Cyprinidae,CYPRINIFORMES
Acapoeta tanganicae,,Cyprinidae,CYPRINIFORMES
Alburnus alburnus,Bleak,Cyprinidae,CYPRINIFORMES
Alburnus albidus,,Cyprinidae,CYPRINIFORMES
Barbus barbus,Barbel,Cyprinidae,CYPRINIFORMES
Barbus meridionalis,Mediterranean barbel,Cyprinidae,CYPRINIFORMES
Barbus canis,,Cyprinidae,CYPRINIFORMES
Barbus aeneus,Smallmouth yellowfish,Cyprinidae,CYPRINIFORMES
Barbus capensis,Clanwilliam yellowfish,Cyprinidae,CYPRINIFORMES
Barbus haasi,,Cyprinidae,CYPRINIFORMES
Barbus holotaenia,Spotscale barb,Cyprinidae,CYPRINIFORMES
Barbus johnstonii,,Cyprinidae,CYPRINIFORMES
Barbus macrotaenia,Broadband barb,Cyprinidae,CYPRINIFORMES
Barbus neumayeri,,Cyprinidae,CYPRINIFORMES
Barbus longiceps,,Cyprinidae,CYPRINIFORMES
Barbus plebejus,,Cyprinidae,CYPRINIFORMES
Barbus altianalis,Ripon barbel,Cyprinidae,CYPRINIFORMES
Barbus altidorsalis,,Cyprinidae,CYPRINIFORMES
Barbus bynni,,Cyprinidae,CYPRINIFORMES
Barbus callensis,Algerian barb,Cyprinidae,CYPRINIFORMES
Barbus eurystomus,,Cyprinidae,CYPRINIFORMES
Barbus lineomaculatus,Line-spotted barb,Cyprinidae,CYPRINIFORMES
Barbus unitaeniatus,Slender barb,Cyprinidae,CYPRINIFORMES
Barbus paludinosus,Straightfin barb,Cyprinidae,CYPRINIFORMES
Barbus perince,,Cyprinidae,CYPRINIFORMES
Barbus mattozi,Papermouth,Cyprinidae,CYPRINIFORMES
Barbus marequensis,Largescale yellowfish,Cyprinidae,CYPRINIFORMES
Barbus trimaculatus,Threespot barb,Cyprinidae,CYPRINIFORMES
Barbus tropidolepis,,Cyprinidae,CYPRINIFORMES
Barbus cyclolepis,,Cyprinidae,CYPRINIFORMES
Chondrostoma nasus,Common nase,Cyprinidae,CYPRINIFORMES
Chondrostoma toxostoma,,Cyprinidae,CYPRINIFORMES
Chondrostoma polylepis,Iberian nase,Cyprinidae,CYPRINIFORMES
Chondrostoma soetta,,Cyprinidae,CYPRINIFORMES
Chondrostoma genei,,Cyprinidae,CYPRINIFORMES
Agosia chrysogaster,Longfin dace,Cyprinidae,CYPRINIFORMES
Carassius carassius,Crucian carp,Cyprinidae,CYPRINIFORMES
Carassius auratus,Goldfish,Cyprinidae,CYPRINIFORMES
Carassius cuvieri,Japanese white crucian carp,Cyprinidae,CYPRINIFORMES
Carassius gibelio,Prussian carp,Cyprinidae,CYPRINIFORMES
Gobio gobio,,Cyprinidae,CYPRINIFORMES
Gobio albipinnatus,White-finned gudgeon,Cyprinidae,CYPRINIFORMES
Rutilus rutilus,Roach,Cyprinidae,CYPRINIFORMES
Rutilus frisii,Kutum,Cyprinidae,CYPRINIFORMES
Rutilus rubilio,,Cyprinidae,CYPRINIFORMES
Rutilus alburnoides,,Cyprinidae,CYPRINIFORMES
Rutilus lemmingii,,Cyprinidae,CYPRINIFORMES
Rutilus caspicus,Caspian roach,Cyprinidae,CYPRINIFORMES
Scardinius erythrophthalmus,Rudd,Cyprinidae,CYPRINIFORMES
Leuciscus idus,Orfe(=Ide),Cyprinidae,CYPRINIFORMES
Leuciscus cephaloides,,Cyprinidae,CYPRINIFORMES
Leuciscus leuciscus,Common dace,Cyprinidae,CYPRINIFORMES
Leuciscus borysthenicus,Dnieper chub,Cyprinidae,CYPRINIFORMES
Leuciscus cephalus,Chub,Cyprinidae,CYPRINIFORMES
Leuciscus polylepis,,Cyprinidae,CYPRINIFORMES
Leuciscus pyrenaicus,,Cyprinidae,CYPRINIFORMES
Leuciscus souffia,Vairone,Cyprinidae,CYPRINIFORMES
Leuciscus schmidti,Schmidt's dace,Cyprinidae,CYPRINIFORMES
Leuciscus bergi,Issyk-Kul dace,Cyprinidae,CYPRINIFORMES
Leuciscus baicalensis,Siberian dace,Cyprinidae,CYPRINIFORMES
Rhodeus amarus,,Cyprinidae,CYPRINIFORMES
Rhodeus ocellatus,Rosy bitterling,Cyprinidae,CYPRINIFORMES
Rhodeus sericeus,Bitterling,Cyprinidae,CYPRINIFORMES
Tribolodon taczanowskii,,Cyprinidae,CYPRINIFORMES
Tribolodon hakonensis,Big-scaled redfin,Cyprinidae,CYPRINIFORMES
Tribolodon brandtii,Far Eastern ide,Cyprinidae,CYPRINIFORMES
Labeo angra,,Cyprinidae,CYPRINIFORMES
Labeo ariza,,Cyprinidae,CYPRINIFORMES
Labeo bata,,Cyprinidae,CYPRINIFORMES
Labeo boga,,Cyprinidae,CYPRINIFORMES
Labeo calbasu,Orangefin labeo,Cyprinidae,CYPRINIFORMES
Labeo dero,,Cyprinidae,CYPRINIFORMES
Labeo dussumieri,,Cyprinidae,CYPRINIFORMES
