country,fishstock,tac,harvest,catchkg,tacc,isscaap,real_exvessel,real_grnwt,real_lease,real_sales
"NZ","",,,,,22,,,,
"NZ","",,,,,37,,,,
"NZ","",,,,,34,,,,
"NZ","",,,,,32,,,,
"NZ","",,,,,32,,,,
"NZ","",,,,,34,,,,
"NZ","",,,,,37,,,,
"NZ","",,,,,37,,,,
"NZ","",,,,,31,,,,
"NZ","",,,,,34,,,,
"NZ","",,,,,34,,,,
"NZ","",,,,,33,,,,
"NZ","",,,,,32,,,,
"NZ","",,,,,34,,,,
"NZ","",,,,,57,,,,
"NZ","",,,,,33,,,,
"NZ","",,,,,34,,,,
"NZ","",,,,,32,,,,
"NZ","",,,,,43,,,,
"NZ","",,,,,33,,,,
"NZ","",,,,,32,,,,
"NZ","",,,,,32,,,,
"NZ","",,,,,34,,,,
"NZ","",,,,,32,,,,
"NZ","",,,,,31,,,,
"NZ","",,,,,52,,,,
"NZ","",,,,,37,,,,
"NZ","",,,,,33,,,,
"NZ","",,,,,37,,,,
"NZ","",,,,,37,,,,
"NZ","",,,,,57,,,,
"NZ","",,,,,34,,,,
"NZ","",,,,,34,,,,
"NZ","",,,,,32,,,,
"NZ","",,,,,33,,,,
"NZ","",,,,,33,,,,
"NZ","",,,,,43,,,,
"NZ","",,,,,34,,,,
"NZ","",,,,,22,,,,
"NZ","",,,,,37,,,,
"NZ","",,,,,34,,,,
"NZ","",,,,,34,,,,
"NZ","",,,,,34,,,,
"NZ","",,,,,34,,,,
"NZ","",,,,,34,,,,
"NZ","",,,,,57,,,,
"NZ","",,,,,36,,,,
"NZ","",,,,,37,,,,
"NZ","",,,,,34,,,,
"NZ","",,,,,32,,,,
"NZ","",,,,,34,,,,
"NZ","",,,,,33,,,,
"NZ","",,,,,34,,,,
"NZ","",,,,,37,,,,
"NZ","",,,,,33,,,,
"NZ","",,,,,34,,,,
"NZ","",,,,,32,,,,
"NZ","",,,,,34,,,,
"NZ","",,,,,52,,,,
"NZ","",,,,,33,,,,
"NZ","",,,,,32,,,,
"NZ","",,,,,43,,,,
"NZ","",,,,,32,,,,
"NZ","",,,,,31,,,,
"NZ","",,,,,37,,,,
"NZ","",,,,,22,,,,
"NZ","",,,,,43,,,,
"NZ","",,,,,52,,,,
"NZ","",,,,,36,,,,
"NZ","",,,,,34,,,,
"NZ","",,,,,34,,,,
"NZ","",,,,,31,,,,
"NZ","",,,,,53,,,,
"NZ","",,,,,32,,,,
"NZ","",,,,,34,,,,
"NZ","",,,,,32,,,,
"NZ","",,,,,33,,,,
"NZ","",,,,,34,,,,
"NZ","",,,,,34,,,,
"NZ","",,,,,37,,,,
"NZ","",,,,,33,,,,
"NZ","",,,,,32,,,,
"NZ","",,,,,57,,,,
"NZ","",,,,,37,,,,
"NZ","",,,,,32,,,,
"NZ","",,,,,34,,,,
"NZ","",,,,,22,,,,
"NZ","",,,,,34,,,,
"NZ","",,,,,37,,,,
"NZ","",,,,,33,,,,
"NZ","",,,,,36,,5.061581,,
"NZ","",,,,,34,,10.11614,,
"NZ","",,,,,34,,4.540038,,
"NZ","",,,,,32,,3.384779,,
"NZ","",,,,,52,,46.53981,,
"NZ","",,,,,32,,1.607488,,
"NZ","",,,,,37,,3.292421,,
"NZ","",,,,,34,,4.55392,,
"NZ","",,,,,43,,12.69726,,
"NZ","",,,,,34,,1.882517,,
"NZ","",,,,,53,,13.88385,,
"NZ","",,,,,37,,1.173094,,
"NZ","",,,,,34,,1.381701,,
"NZ","",,,,,22,,5.54591,,
"NZ","",,,,,34,,3.166991,,
"NZ","",,,,,57,,5.760292,,
"NZ","",,,,,33,,9.378304,,
"NZ","",,,,,32,,1.604315,,
"NZ","",,,,,31,,4.410558,,
"NZ","",,,,,34,,3.9499,,
"NZ","",,,,,37,,1.55129,,
"NZ","",,,,,33,,5.707527,,
"NZ","",,,,,33,,1.369152,,
"NZ","",,,,,32,,.7960242,,
"NZ","",,,,,22,,5.787964,,
"NZ","",,,,,32,,1.689733,,
"NZ","",,,,,33,,3.012307,,
"NZ","",,,,,33,,1.117712,,
"NZ","",,,,,22,,5.358318,,
"NZ","",,,,,32,,2.306044,,
"NZ","",,,,,22,,9.09947,,
"NZ","",,,,,38,,20.09544,,
"NZ","",,,,,33,,1.385686,,
"NZ","",,,,,34,,3.551165,,
"NZ","",,,,,33,,2.12876,,
"NZ","",,,,,32,,1.375428,,
"NZ","",,,,,42,,9.494607,,
"NZ","",,,,,37,,1.429209,,
"NZ","",,,,,42,,9.494607,,
"NZ","",,,,,53,,7.254569,,
"NZ","",,,,,54,,6.886172,,
"NZ","",,,,,22,,8.512527,,
"NZ","",,,,,34,,1.372273,,
"NZ","",,,,,33,,1.91208,,
"NZ","",,,,,36,,2.371118,,
"NZ","",,,,,37,,1.240222,,
"NZ","",,,,,53,,7.254569,,
"NZ","",,,,,22,,8.512527,,
"NZ","",,,,,22,,8.512527,,
"NZ","",,,,,32,,1.031186,,
"NZ","",,,,,38,,1.384283,,
"NZ","",,,,,33,,1.348544,,
"NZ","",,,,,42,,16.27703,,
"NZ","",,,,,34,,1.561721,,
"NZ","",,,,,37,,1.17773,,
"NZ","",,,,,54,,6.10001,,
"NZ","",,,,,33,,1.418301,,
"NZ","",,,,,36,,14.99066,,
"NZ","",,,,,22,,8.932451,,
"NZ","",,,,,32,,.7906762,,
"NZ","",,,,,53,,7.138534,,
"NZ","",,,,,22,,8.932451,,
"NZ","",,,,,38,,1.285667,,
"NZ","",,,,,22,,8.932451,,
"NZ","",,,,,53,,11.0591,,
"NZ","",,,,,33,,2.677361,,
"NZ","",,,,,42,,14.58249,,
"NZ","",,,,,22,,9.690679,,
"NZ","",,,,,54,,5.904828,,
"NZ","",,,,,34,,1.41142,,
"NZ","",,,,,32,,.8430387,,
"NZ","",,,,,36,,12.32557,,
"NZ","",,,,,33,,2.035273,,
"NZ","",,,,,42,,9.728788,,
"NZ","",,,,,38,,1.194891,,
"NZ","",,,,,22,,9.690679,,
"NZ","",,,,,53,,7.330663,,
"NZ","",,,,,22,,9.690679,,
"NZ","",,,,,37,,1.043537,,
"NZ","",,,,,33,,1.255099,,
"NZ","",,,,,33,,2.590004,,
"NZ","",,,,,54,,6.000295,,
"NZ","",,,,,34,,2.11428,,
"NZ","",,,,,53,,7.724839,,
