"","ISSCAAP Group","Stocks","Min","1st Quart","Median","Mean","3rd Quart","Max","NA"
"1","Cods, hakes, haddocks",137,0.06075,0.2724,0.4188,0.9177,0.6859,20.61,NA
"2","Herrings, sardines, anchovies",221,0.03644,0.163,0.2653,0.2917,0.4013,3.116,2
"3","Flounders, halibuts, soles",278,0.02354,0.303,0.467,0.6351,0.6975,9.14,1
"4","Miscellaneous coastal fishes",1313,0,0.2129,0.324,0.3325,0.4345,3.275,NA
"5","King crabs, squat-lobsters",19,0.05789,0.1752,0.2061,0.2192,0.2201,0.6139,2
"6","Miscellaneous demersal fishes",473,0,0.1302,0.1763,0.2152,0.2266,6.028,1
"7","Crabs, sea-spiders",174,0.1314,0.4321,0.6709,0.5705,0.6709,2.198,NA
"8","Lobsters, spiny-rock lobsters",161,0.0668,0.4649,0.6053,0.5746,0.617,2.289,NA
"9","Shrimps, prawns",243,0.05381,0.4395,0.6036,0.5513,0.6848,1.291,NA
"10","Tunas, bonitos, billfishes",182,0.009852,0.1561,0.2539,0.3246,0.3579,1.89,NA
"11","Scallops, pectens",35,0.1003,0.6023,0.8926,0.8482,1.153,1.334,NA
"12","Miscellaneous pelagic fishes",239,0.04706,0.1765,0.2953,0.3618,0.3969,3.696,1
"13","Sharks, rays, chimaeras",310,0.06858,0.1989,0.2314,0.383,0.4052,3.386,NA
"14","Miscellaneous diadromous fishes",21,0.2032,0.27,0.4825,0.6581,0.6502,3.793,NA
"15","Clams, cockles, arkshells",104,0.04125,0.09184,0.1234,0.268,0.6535,0.6535,NA
"16","Abalones, winkles, conchs",45,0.1222,0.1883,0.2567,0.2753,0.3038,1.425,NA
"17","Squids, cuttlefishes, octopuses",189,0.01206,0.1256,0.1259,0.1237,0.1343,0.3453,NA
"18","Shads",42,0.1292,0.2848,0.4298,0.5189,0.7419,1.305,NA
"19","Salmons, trouts, smelts",50,0.1137,0.3959,0.5382,0.5375,0.6382,1.076,NA
"20","Miscellaneous aquatic invertebrates",2,0.08115,0.08825,0.09535,0.09535,0.1024,0.1095,NA
"21","Mussels",23,0.2287,0.9032,1.041,1.083,1.396,1.717,NA
"22","Sea-urchins and other echinoderms",29,0.09041,0.1223,0.1223,0.1237,0.1223,0.1708,NA
"23","Oysters",23,0.11,0.1658,0.2529,0.2364,0.2945,0.3643,NA
"24","Carps, barbels and other cyprinids",26,0.2612,0.5021,0.5866,0.5918,0.7045,0.9931,NA
"25","Miscellaneous marine crustaceans",10,0.3304,0.4599,0.572,0.5189,0.5864,0.6016,NA
"26","Horseshoe crabs and other arachnoids",2,0.05181,0.07025,0.0887,0.0887,0.1071,0.1256,NA
"27","Sturgeons, paddlefishes",1,0.662,0.662,0.662,0.662,0.662,0.662,NA
