Year,Policy,% Above 0.8 BvBmsy,total_profits,total_catch
1980,Historic,81.60363086,39547829810,48372252.78
1981,Historic,81.21085595,37199467346,49105378.15
1982,Historic,82.56637168,37022063929,52463144.03
1983,Historic,78.39181287,36461979594,52408882.54
1984,Historic,77.9994218,38508202746,57212259.9
1985,Historic,76.41509434,37868576410,59354050.92
1986,Historic,76.35440181,33731270903,61888805.42
1987,Historic,74.11139099,35170458972,63530344.25
1988,Historic,71.77759056,41207356927,61411009.64
1989,Historic,68.20212172,40917802600,61437666.41
1990,Historic,67.0771757,39493531491,60168810.13
1991,Historic,66.15008157,39959598170,61168365.76
1992,Historic,66.31663974,40754894571,61929149.29
1993,Historic,66.40977943,38098244345,62051117.14
1994,Historic,64.82465462,43990105078,69487637.31
1995,Historic,60.32882525,40698754163,69575164.43
1996,Historic,57.96378903,40923324178,68029313.26
1997,Historic,56.50818394,38779953713,66499312.26
1998,Historic,55.98878695,39339204081,60412351.26
1999,Historic,55.06993007,45014127458,63986509.25
2000,Historic,53.17205628,42775113833,65114843.35
2001,Historic,53.50580271,42164292095,64634997.12
2002,Historic,53.81870093,44988318523,64218177.64
2003,Historic,54.45197476,43487107080,64128703.23
2004,Historic,56.39483066,47555686562,68700991.76
2005,Historic,56.67838313,47175513383,67243074.01
2006,Historic,55.75125027,43797350180,65258732.74
2007,Historic,55.44533103,44600523530,65138567.8
2008,Historic,55.68735437,42479140042,64234109.36
2009,Historic,55.41614387,42625692997,62175729.43
2010,Historic,53.85097057,39325573323,60933757.66
2011,Historic,49.98949359,41073972270,62476863.36
2012,Historic,47.01888394,43746506999,62399650.86
2013,BAU (conservation concern),44.98196478,55910586890,64554025.23
2013,BAU (all stocks),44.98196478,54266148157,68359115.15
2013,RBFM,44.98196478,79020633799,47622103.24
2013,Fmsy,44.98196478,64150337660,60352552.63
2014,BAU (conservation concern),46.27625716,51265651128,57253033.19
2014,BAU (all stocks),46.27625716,48835493125,64412688.17
2014,RBFM,50.20157013,74080560089,37464290.81
2014,Fmsy,47.23106302,59650568370,51933995.41
2015,BAU (conservation concern),45.46997666,49792419371,58631388.21
2015,BAU (all stocks),45.46997666,45795790422,70297157.37
2015,RBFM,53.32060259,73489441667,39166813.19
2015,Fmsy,47.93125398,59201744364,52164890.81
2016,BAU (conservation concern),44.19690219,48428979627,60156158.56
2016,BAU (all stocks),44.19690219,42264412816,76784131.15
2016,RBFM,56.65181413,72925796591,41872848.79
2016,Fmsy,48.58900912,59018935334,53233766.26
2017,BAU (conservation concern),42.77530236,47128199127,60647119.4
2017,BAU (all stocks),42.75408445,38243272946,82329478.48
