Year,BvBmsy,FvFmsy,Catch,RAM
2012,1.72,0.778,4220,TRUE
2012,2.46,0.208,23900,TRUE
2012,1.69,0.177,13900,TRUE
2012,2.50011387690351,0.0897,16700,TRUE
2012,2.50011387690351,0.0293316736078165,22300,TRUE
2012,1.56,0.671,72800,TRUE
2012,0.0819,0,0,TRUE
2012,2.50011387690351,0.0483,458,TRUE
2012,1.59,0.546,3050,TRUE
2012,2.04,0.166,18500,TRUE
2012,2.50011387690351,0.0513531052841694,3780,TRUE
2012,1.46,0.0927188650898693,2540,TRUE
2012,1.6,0.29,3110,TRUE
2012,1.62,0.364065328370655,3580,TRUE
2012,2.33,0.231,74400,TRUE
2012,1.18,0.774,212000,TRUE
2012,1.46,0.56973022674463,78000,TRUE
2012,1.64,0.391,15300,TRUE
2012,1.35,0.530590364113063,14500,TRUE
2012,2.50011387690351,0.577,3390,TRUE
2012,0.886,0.368,209,TRUE
2012,1.54,0.179,280,TRUE
2012,1.11,1.05,10500,TRUE
2012,2.50011387690351,0,0,TRUE
2012,1.1,0.585,11300,TRUE
2012,1.1,0.373,30100,TRUE
2012,1.77,0,0,TRUE
2012,0.958,0.0206,961,TRUE
2012,1.08,0.719,1200000,TRUE
2012,1.12,0.414,104000,TRUE
2012,1.81,0.615,108000,TRUE
2012,1.35,0.739,720000,TRUE
2012,0.184,0.794,15700,TRUE
2012,0.0684,4.46,7740,TRUE
2012,1.89,1.13,310000,TRUE
2012,0.962,0.945,157000,TRUE
2012,2.50011387690351,0.282,16300,TRUE
2012,1.41,0.528,2060,TRUE
2012,0.581,1.4,32700,TRUE
2012,0.12,1.1,2440,TRUE
2012,1.57,0.61,4780,TRUE
2012,1.27,0.568,24400,TRUE
2012,2.50011387690351,0.322,3080,TRUE
2012,0.23,0.76,9510,TRUE
2012,0.669,2.76902819783154,4370,TRUE
2012,0.47,1.07,2670,TRUE
2012,0.983,1.07,1020,TRUE
2012,1.43,1.28,1040,TRUE
2012,0.249,0.0508,102,TRUE
2012,0.313,1.88,396,TRUE
2012,0.59,2.3,736,TRUE
2012,1.08,0.219,465,TRUE
2012,2.39,0.363,800,TRUE
2012,0.478,1.9,772,TRUE
2012,2.26,0.194,68.7,TRUE
2012,1.03,0.197,2590,TRUE
2012,0.663,3.19,1520,TRUE
2012,2.09,0,3200,TRUE
2012,0.488,0.847,172,TRUE
2012,0.413,7.95,600,TRUE
2012,1.37,0.737,800,TRUE
