,id,years,ConCat,mean,top,bot,rawbvb
1,1,1988,1-1988,0.873277116,3.62221254,0.20920535,0.892903277
2,1,1989,1-1989,0.386488804,1.515604085,0.100808662,0.390124716
3,1,1990,1-1990,0.666507332,2.29213232,0.188653036,0.670935687
4,1,1991,1-1991,1.334588131,3.994683568,0.377636393,1.300797234
5,1,1992,1-1992,1.287913202,3.88600103,0.401337416,1.30496543
6,1,1993,1-1993,0.487361911,2.534428806,0.107134107,0.494819014
7,1,1994,1-1994,0.32873071,1.801477863,0.06984125,0.329466847
8,1,1995,1-1995,0.296580625,1.373103675,0.057558354,0.290304932
9,1,1996,1-1996,0.292152044,1.488845295,0.060194235,0.297487211
10,1,1997,1-1997,0.396889244,1.765239311,0.083487756,0.403757159
11,1,1998,1-1998,0.434493902,1.82326937,0.088924263,0.416802058
12,1,1999,1-1999,0.329775371,1.461800711,0.086194866,0.349360899
13,1,2000,1-2000,0.336506436,1.520419652,0.076643992,0.326934941
14,1,2001,1-2001,0.307095091,1.324557131,0.064261008,0.315269424
15,1,2002,1-2002,0.343464104,1.739431801,0.069337216,0.317716462
16,1,2003,1-2003,0.30937679,1.543100152,0.050610726,0.323802684
17,1,2004,1-2004,0.313567346,1.611107301,0.059057067,0.322076495
18,1,2005,1-2005,0.314062065,1.747645245,0.057699132,0.320262118
19,1,2006,1-2006,0.314995945,1.745781321,0.055839775,0.318457962
20,2,1987,2-1987,0.736768979,3.394227134,0.150792342,0.773531102
21,2,1988,2-1988,1.993848833,6.223980272,0.58394168,1.995773596
22,2,1989,2-1989,1.447583299,4.403749337,0.425710986,1.440174591
23,2,1990,2-1990,0.624345126,2.444139388,0.173973597,0.619865223
24,2,1991,2-1991,0.463139745,1.735199294,0.124436345,0.470763257
25,2,1992,2-1992,0.527795661,2.221468761,0.128615964,0.523624852
26,2,1993,2-1993,0.753891687,3.733679438,0.143477685,0.76025924
27,2,1994,2-1994,0.572788085,3.094946879,0.118509155,0.587516337
28,2,1995,2-1995,0.479735899,2.393121509,0.090946421,0.461889854
29,2,1996,2-1996,0.638323922,2.983415268,0.137334143,0.615434424
30,2,1997,2-1997,0.383151306,1.722263872,0.088075427,0.392420944
31,2,1998,2-1998,0.539339564,2.142702962,0.121281467,0.53202973
32,2,1999,2-1999,0.635962357,2.853702824,0.160703252,0.647537365
33,2,2000,2-2000,0.508855682,2.405235107,0.111955532,0.512782374
34,2,2001,2-2001,0.717932973,3.541054414,0.169394582,0.737686892
35,2,2002,2-2002,0.659483943,3.293096565,0.144673117,0.65982288
36,2,2003,2-2003,0.559976656,2.785182221,0.104634177,0.539076513
37,2,2004,2-2004,0.663177,3.141326201,0.112594751,0.653374042
38,2,2005,2-2005,0.6183922,3.331338321,0.116505419,0.648099802
39,2,2006,2-2006,0.649248048,3.16389594,0.118361883,0.631838384
40,2,2007,2-2007,0.643997398,4.420691871,0.096866271,0.639622515
41,9,1997,9-1997,0.736806239,11.56116208,0.05439897,0.770223397
42,9,1998,9-1998,0.768976037,7.348024401,0.058783152,0.686320983
43,9,1999,9-1999,0.677920159,8.621693839,0.050840064,0.639335868
