"","Country","Stocks","TotalMSY","TotalCatch","MedianB","MedianF","PercBvBmsyBelowOne","PercFvFmsyAboveOne","NeiCatch","NeiStocks","FaoCatch","FaoFisheries","PercCatchCovered","PercFisheriesCovered"
"108","Multinational",119,17333810.8923319,9593691.26,0.91,0.929,55.4621848739496,41.1764705882353,NA,NA,NA,NA,NA,NA
"28","China",51,11383288.4258822,8862693.60907025,1.06759180469885,0.961593446491387,47.0588235294118,43.1372549019608,3308544,20,13865339,236,63.9197758458719,21.6101694915254
"179","USA",353,7764564.09073607,4983833.09129332,0.94377484174538,0.8,53.8243626062323,43.342776203966,119822,79,5107071,627,97.5869160873879,56.2998405103668
"85","Japan",113,7313137.70785103,2994624.56881229,0.691789853985943,1.06,69.9115044247788,52.212389380531,263462,26,3595126,611,83.2967903993432,18.494271685761
"128","Peru",34,4465857.525895,6810041,0.810753539707475,0.831593385102335,61.7647058823529,35.2941176470588,63849,15,4807922,54,141.642085707713,62.962962962963
"77","Indonesia",98,4156458.18922041,3001509,1.19354182820398,0.69111199029113,39.7959183673469,36.734693877551,1408146,45,5420053,223,55.3778533161945,43.9461883408072
"76","India",74,3410886.30331062,2412007,0.997599567088148,0.857348920145664,50,43.2432432432432,1405125,42,3375337,108,71.4597386868333,68.5185185185185
"27","Chile",65,3216025.25453311,2167869,0.879351456034054,0.765771371056144,58.4615384615385,35.3846153846154,25580,22,2560937,141,84.6513990777594,46.0992907801418
"7","Argentina",51,2679271.56949357,1028792.5886408,0.904490141610661,0.960075484575118,54.9019607843137,47.0588235294118,30300,8,723737,140,142.150061229535,36.4285714285714
"137","Russian Federation",107,2553200.52174754,1695132.09847489,0.671739969780992,1.28506451448423,76.6355140186916,59.8130841121495,220788,38,4066889,523,41.6812973866484,20.4588910133843
"129","Philippines",69,2118663.76731437,1530218,0.766073056156269,0.963672204855651,57.9710144927536,47.8260869565217,1005938,41,2127046,138,71.940992343372,50
"134","Republic of Korea",154,2084944.72428014,1014081.94162038,0.706740259956457,0.961593446491387,62.3376623376623,43.5064935064935,189950,74,1631603,620,62.1524930770767,24.8387096774194
"162","Thailand",97,1331203.40702607,924318,0.757578822809238,0.820468493179447,57.7319587628866,42.2680412371134,697912,45,1612073,150,57.3372297656496,64.6666666666667
"96","Malaysia",96,1176351.38431223,837460,0.935916977955306,1.0227189680509,54.1666666666667,52.0833333333333,568269,55,1472239,166,56.8834272152823,57.8313253012048
"25","Canada",73,877232.610761564,384185.760644139,0.668,0.490633050401618,65.7534246575342,27.3972602739726,32659,14,785266,125,48.9242830638458,58.4
"106","Morocco",83,826496.05840758,961870,0.742057758847001,1.03972412318217,59.0361445783133,54.2168674698795,68518,37,1158473,153,83.0291254090514,54.2483660130719
"153","South Africa",66,800787.669432006,698169,0.91524618407211,0.85660261774551,54.5454545454545,39.3939393939394,2790,19,700811,200,99.6230082004991,33
"45","Ecuador",22,800240.364625442,349967,1.09956134809111,0.692291935903408,45.4545454545455,22.7272727272727,22307,11,513219,100,68.1905775117445,22
"154","Spain",292,793189.662837686,464682.100859387,0.740651755299654,0.806241225024938,67.4657534246575,41.7808219178082,85037,107,923953,915,50.2928288407946,31.9125683060109
"115","New Zealand",137,732342.732325001,429955.083220897,1.07486067618497,0.66670798564897,44.5255474452555,38.6861313868613,68830,31,439607,208,97.8044214994067,65.8653846153846
"104","Mexico",80,731759.586082043,569577.70574427,0.738317781531437,1.13185617683883,68.75,58.75,131118,48,1467663,198,38.8084802672187,40.4040404040404
"182","Viet Nam",7,670627.194418245,532585,0.657277069687091,0.721963148131192,57.1428571428571,42.8571428571429,532300,4,2418700,14,22.0194732707653,50
"161","Taiwan Province of China",89,657748.2309892,286828.885590271,0.727493022207203,0.820468493179447,61.7977528089888,35.9550561797753,35758,32,907573,310,31.6039465244416,28.7096774193548
"78","Iran",51,590772.274302614,419623,1.43117959678218,0.712043799277484,17.6470588235294,31.3725490196078,42141,6,459701,64,91.2817244252242,79.6875
"101","Mauritania",31,543908.484977257,380973,0.791959730442123,1.07432185679785,54.8387096774194,54.8387096774194,314250,21,422709,93,90.1265409537057,33.3333333333333
"145","Senegal",67,434070.836600376,377290,0.908602599359226,1.07185482098299,53.7313432835821,53.7313432835821,50717,33,426685,140,88.4235443008308,47.8571428571429
"18","Brazil",81,417177.565339875,426656,0.931198428272899,0.972602920687109,53.0864197530864,46.9135802469136,132928,31,576945,136,73.9508965325984,59.5588235294118
"117","Nigeria",32,396694.390182126,303559,0.845052486243714,1.13530883420377,62.5,59.375,206897,20,356745,50,85.0913117212575,64
"123","Pakistan",43,364196.139898941,272070,0.74377252123226,0.963672204855651,62.7906976744186,48.8372093023256,172707,24,349050,60,77.9458530296519,71.6666666666667
"169","Turkey",48,333713.484203318,314277,0.77447971786236,0.86888982142493,62.5,41.6666666666667,14023,19,396323,76,79.2981986914714,63.1578947368421
"55","France",190,296542.854177257,212730,0.899857192155884,0.821446236218161,59.4736842105263,42.1052631578947,27497,48,423289,489,50.2564441787998,38.8548057259714
"12","Bangladesh",2,290546.65714175,235075,1.10414123679765,0.597875627460109,50,0,3038,1,578620,8,40.6268362655975,25
"148","Sierra Leone",35,287205.865139638,168507,0.980037652604568,0.857348920145664,51.4285714285714,37.1428571428571,42647,16,190000,59,88.6878947368421,59.3220338983051
"110","Namibia",11,257217.177661634,182538,0.543490931775307,1.37857997050788,72.7272727272727,63.6363636363636,58,2,465878,76,39.181502453432,14.4736842105263
"4","Angola",21,236384.880153784,183726,0.720176021520389,1.02162496656611,66.6666666666667,52.3809523809524,152996,12,267000,88,68.8112359550562,23.8636363636364
"82","Italy",46,228757.750272824,137544,0.755537142930209,0.821490731305399,67.3913043478261,41.304347826087,18331,18,197013,261,69.8146822798495,17.6245210727969
"175","United Kingdom",83,216051.593984568,208586.21736437,0.773458581279181,0.78764839206335,66.2650602409639,43.3734939759036,9698,26,629358,362,33.1426973780217,22.9281767955801
"181","Venezuela",43,215802.723495983,126920.823419709,0.74377252123226,0.820468493179447,72.0930232558139,39.5348837209302,35906,18,171734,80,73.9054720787436,53.75
"112","Netherlands",38,213587.605079255,158726,0.794953042152413,0.955735103445268,73.6842105263158,44.7368421052632,3413,7,345217,155,45.9786163485576,24.5161290322581
"15","Belize",18,211859.151382156,122981,0.968516995567576,0.84258715835991,61.1111111111111,38.8888888888889,93847,5,149806,133,82.0935076031668,13.5338345864662
"120","Norway",46,194985.382544657,126216,0.75289033611085,0.81527933475747,73.9130434782609,45.6521739130435,42920,7,2047002,188,6.16589529467973,24.468085106383
"75","Iceland",24,194224.871083653,103851,0.809175940575944,0.725448136767303,66.6666666666667,37.5,5940,1,1449452,107,7.16484574860016,22.4299065420561
"41","Denmark",40,188419.277251037,120110,0.682407226586011,0.917532317744791,90,45,54232,4,502254,103,23.9141948097974,38.8349514563107
"63","Ghana",41,186286.205885382,159752,0.735224487773013,1.05076639968996,68.2926829268293,53.6585365853659,24353,21,274949,94,58.1024117199917,43.6170212765958
"79","Ireland",42,185642.616706027,134013,0.764765849211644,0.989778830361726,71.4285714285714,50,1236,13,275915,191,48.5703930558324,21.9895287958115
"126","Panama",21,176660.541075276,106238,0.607205337115023,1.10635106434471,76.1904761904762,57.1428571428571,4592,9,145535,121,72.9982478441612,17.3553719008264
"9","Australia",140,146660.268262374,104365.292829205,0.764241418945741,0.961593446491387,60,44.2857142857143,32177,50,156284,301,66.7792562445322,46.5116279069767
"155","Sri Lanka",18,145629.995639756,100080,1.19400623780345,0.612326669581086,44.4444444444444,38.8888888888889,65334,5,404882,34,24.7183129899576,52.9411764705882
"70","Guinea",15,139384.315933871,88557,0.807095788047269,0.963672204855651,60,46.6666666666667,23349,9,112233,56,78.904600251263,26.7857142857143
"121","Oman",30,138275.892979515,115886,0.993790497499506,0.962632825673519,50,46.6666666666667,74066,19,191563,53,60.4949807635086,56.6037735849057
"65","Greenland",14,131214.727984556,130021,0.46153740550763,0.558112366742264,85.7142857142857,28.5714285714286,5815,2,222894,60,58.3331090114584,23.3333333333333
"97","Maldives",6,129151.966791968,100907,1.37027154974287,0.593177921342691,0,0,NA,NA,120001,12,84.0884659294506,50
"131","Portugal",199,128816.671065538,105586,0.784878637956288,0.902682606235841,61.8090452261307,42.2110552763819,5543,67,197811,763,53.3772136028836,26.0812581913499
"168","Tunisia",53,127101.43868511,95217,0.898364593513734,0.759774461663145,54.7169811320755,37.7358490566038,33422,20,108601,85,87.6759882505686,62.3529411764706
"184","Yemen",23,125502.556016557,135764,1.04957181599266,0.857348920145664,47.8260869565217,43.4782608695652,25691,14,230516,39,58.8956948758438,58.974358974359
"2","Algeria",28,115504.680201474,78364,0.731148276278235,1.01314863024584,71.4285714285714,53.5714285714286,31939,11,105558,59,74.2378597548267,47.4576271186441
"46","Egypt",49,108874.703955171,83718,0.788161818046154,1.07432185679785,67.3469387755102,61.2244897959184,62504,28,114198,87,73.309515052803,56.3218390804598
"36","Croatia",28,100464.335929256,54807,0.770359114156094,0.839373903088143,64.2857142857143,39.2857142857143,529,9,63574,103,86.2097712901501,27.1844660194175
"31","Colombia",42,91059.1015126649,42869,0.685132893725049,1.02033617228719,76.1904761904762,50,2904,27,54000,81,79.387037037037,51.8518518518518
"29","China Hong Kong SAR",18,87655.9875672944,48190,0.832279720916039,1.05524802265625,72.2222222222222,55.5555555555556,47210,17,155230,32,31.0442569091026,56.25
"147","Seychelles",27,79843.9291134353,66495,1.00754334239444,0.961593446491387,48.1481481481481,44.4444444444444,2211,14,68760,70,96.7059336823735,38.5714285714286
"51","Falkland Is.",8,77046.3986118321,76830.144461433,1.26176446969562,0.753008944807886,37.5,37.5,1569,2,95965,33,80.0605892371521,24.2424242424242
"64","Greece",58,71973.3616960279,41538,0.714231082035389,0.829798980943027,72.4137931034483,44.8275862068966,8497,19,59051,125,70.3425852229429,46.4
"130","Poland",21,68522.6583449687,25918,0.513073235298556,1.07432185679785,95.2380952380952,57.1428571428571,19941,4,178323,263,14.5343001183246,7.98479087452472
"177","Uruguay",29,67137.5322438997,44856.999380503,0.904709413453348,0.84448400179784,55.1724137931034,34.4827586206897,1594,8,74547,131,60.1727760748293,22.1374045801527
"24","Cameroon",20,64813.1010828288,60151,0.735632771719732,1.05446844036034,80,55,4171,13,65000,36,92.54,55.5555555555556
"109","Myanmar",1,63586.3214526783,46500,0.436237884690017,1.6763545318604,100,100,46500,1,2332790,5,1.99332130196031,20
"172","Ukraine",29,62432.5906187789,57493,0.66362230758631,1.07432185679785,82.7586206896552,58.6206896551724,243,6,149036,294,38.5765855229609,9.86394557823129
"144","Saudi Arabia",98,56457.0594140214,53722,1.05819921835395,1.02397457715812,45.9183673469388,53.0612244897959,8525,13,65000,128,82.6492307692308,76.5625
"62","Germany",39,52428.2592195244,33920,0.652112681381607,0.984160031167785,87.1794871794872,48.7179487179487,6982,12,197715,306,17.1560073843664,12.7450980392157
"174","United Arab Emirates",30,49031.7744808981,45340,0.888985640144697,0.962139689069751,60,46.6666666666667,29000,16,75000,52,60.4533333333333,57.6923076923077
"39","Democratic People's Republic of Korea",3,46564.5002356936,10217.291322216,0.414934081704676,1.48880341139853,100,66.6666666666667,3920,1,206820,14,4.94018534098055,21.4285714285714
"90","Latvia",19,46370.0019888249,36867,0.627080619273746,1.45454590222389,89.4736842105263,73.6842105263158,16574,4,94164,162,39.1519051866956,11.7283950617284
"33","Congo",37,45530.7751267977,39195,1.01150571574513,1.05405603971825,48.6486486486487,54.0540540540541,10716,15,43184,53,90.7627825120415,69.811320754717
"176","United Republic of Tanzania",21,44931.6592852423,36224,0.834997377806803,0.857348920145664,52.3809523809524,47.6190476190476,32676,15,57312,49,63.2049134561697,42.8571428571429
"52","Faroe Islands",29,44498.1376059162,33155,0.568256545424943,0.852273180604104,89.6551724137931,48.2758620689655,5300,7,360471,96,9.19768857966383,30.2083333333333
"122","Other nei",25,38698.1605038708,24560,1.00754334239444,0.723423261472595,48,36,11,4,37360,100,65.7387580299786,25
"95","Madagascar",14,36998.0998584811,29120,1.5445432177331,0.5658733251012,21.4285714285714,21.4285714285714,19903,5,80475,35,36.1851506679093,40
"103","Mayotte",7,34810.3086606189,29815,1.04957181599266,0.71283403778395,42.8571428571429,28.5714285714286,7,2,31826,14,93.6812668887073,50
"94","Lithuania",19,34654.1380786486,28048,0.734521610989919,0.966540419413979,84.2105263157895,47.3684210526316,1323,7,65327,215,42.9347742893444,8.83720930232558
"60","Gambia",27,30222.7949158845,28725,0.74681214288571,0.873155231861349,59.2592592592593,44.4444444444444,8592,12,31091,49,92.3900807307581,55.1020408163265
"186","Zanzibar",14,28364.2308762026,22983,0.699190249541861,1.18341012329228,100,71.4285714285714,22983,14,29410,19,78.1468888133288,73.6842105263158
"23","Cambodia",3,23870.6851403655,18700,0.462292628100687,1.6763545318604,66.6666666666667,66.6666666666667,18700,3,117695,8,15.888525425889,37.5
"116","Nicaragua",24,21389.5323391441,15047,0.707095795631282,1.36582175604392,75,66.6666666666667,4356,14,33138,59,45.407085521154,40.6779661016949
"93","Libya",7,20887.1558074548,15223,0.648149609062216,1.07704501912887,85.7142857142857,71.4285714285714,6050,2,35000,56,43.4942857142857,12.5
"37","Cuba",23,20526.7650670196,12239,0.678475933464155,1.10683319294649,86.9565217391304,56.5217391304348,3956,10,20694,162,59.1427466898618,14.1975308641975
"72","Guyana",5,18714.1803642434,26141.9734982332,1.18433181246899,1.15218928037325,40,60,512,1,53042,11,49.2854219264606,45.4545454545455
"141","Saint Vincent/Grenadines",10,16728.1636193299,8433,0.699182176168279,1.01899703082675,100,50,2993,4,10363,71,81.3760494065425,14.0845070422535
"53","Fiji",28,15277.3292439826,15722,0.799856142459527,0.89237357861288,60.7142857142857,46.4285714285714,4373,18,42400,50,37.0801886792453,56
"107","Mozambique",8,14388.2743891623,12039,0.545080268737337,1.72207482886842,87.5,75,9915,6,145611,30,8.2679193192822,26.6666666666667
"159","Sweden",22,14115.6852609079,11580,0.6619263255813,1.14836995842298,86.3636363636364,59.0909090909091,5652,1,149743,72,7.73324963437356,30.5555555555556
"59","Gabon",25,14068.9200868741,10332,0.674672596416851,1.07432185679785,72,52,2380,17,21997,45,46.9700413692776,55.5555555555556
"14","Belgium",24,13981.0279387662,11103,0.795312346248135,0.966983296357152,66.6666666666667,45.8333333333333,2129,4,24375,57,45.5507692307692,42.1052631578947
"164","Togo",29,12362.0148888709,11893,0.726575372020959,1.13768242727046,75.8620689655172,62.0689655172414,2706,18,14320,78,83.0516759776536,37.1794871794872
"47","El Salvador",4,11704.434060373,12271,0.910263735541452,0.648175972794038,50,25,1,2,49650,25,24.7150050352467,16
"32","Comoros",16,10714.2646624272,8169,1.19196205671594,0.712438918530717,31.25,43.75,3078,5,12343,43,66.1832617678036,37.2093023255814
"69","Guatemala",5,10099.7265070375,5174,1.06868892876387,0.695000412376836,40,40,324,2,17201,38,30.0796465321784,13.1578947368421
"50","Estonia",17,9669.04786519676,8582,0.587068559798015,1.52434030176569,94.1176470588235,76.4705882352941,97,2,63410,184,13.534142879672,9.23913043478261
"16","Benin",28,9594.06960727967,8638,0.729632939862492,1.12339445111592,60.7142857142857,60.7142857142857,4529,14,12158,68,71.0478697154137,41.1764705882353
"35","Costa Rica",18,9378.61153986274,8482,0.706590645097778,1.21457388302021,66.6666666666667,61.1111111111111,3248,10,19500,45,43.4974358974359,40
"133","Qatar",23,9344.21890580814,9691,0.788161818046154,1.03461502392284,69.5652173913043,52.1739130434783,5994,12,11275,35,85.9512195121951,65.7142857142857
"57","French Polynesia",11,9290.29471183501,6655,1.10997327017112,0.961593446491387,36.3636363636364,45.4545454545455,79,2,14100,31,47.1985815602837,35.4838709677419
"10","Bahamas",6,9022.34754910866,12915,0.705556881032156,1.24800944836923,66.6666666666667,100,681,3,19462,14,66.3600863220635,42.8571428571429
"61","Georgia",5,8906.97964342746,11046,0.603951436307493,1.47241232842725,100,100,39,3,12049,86,91.675657730932,5.81395348837209
"180","Vanuatu",8,8759.51824028159,9195,1.31501470558044,0.692291935903408,25,12.5,NA,NA,60220,71,15.2690136167386,11.2676056338028
"44","Dominican Republic",34,8580.93036638139,8376.63839811543,0.758750974669889,1.02820540650431,79.4117647058823,55.8823529411765,3974,22,12701,50,65.9525895450392,68
"158","Suriname",2,7711.67120740216,8100,0.612219339168782,1.5418776081031,100,100,500,1,36000,27,22.5,7.40740740740741
"83","Ivory Coast",29,6417.7291146395,5217,0.794768506559703,0.966540419413979,58.6206896551724,48.2758620689655,2481,19,68355,67,7.63221417599298,43.2835820895522
"3","American Samoa",12,6102.7647874232,3753,0.797064928171065,0.985586357805512,66.6666666666667,50,19,8,6083,32,61.6965313167845,37.5
