,IdOrig,SciName,CommName,Country,Year,Policy,Dbase,IdLevel,BvBmsy,FvFmsy,Catch,MSY,Profits,Biomass,Price,MarginalCost,SpeciesCatName,RegionFAO
370587,ABARES-BGRDRSE-1960-2011-CHING,Macruronus novaezelandiae,Blue Grenadier Southeast Australia,Australia,2012,Historic,RAM,Species,1.29,1.01,4220,3953.339081,3645345.515,61548.17481,883.4690539,22766790.39,"Cods, hakes, haddocks","57,81"
370610,ADFG-HERRTOG-1990-2010-HIVELY,Clupea pallasii,Herring Togiak District,USA,2012,Historic,RAM,Species,1.99,0.208,23900,35032.62355,4655349.934,107532.8575,349.062214,5495942.265,"Herrings, sardines, anchovies",67
370651,AFSC-ALPLAICBSAI-1972-2010-STACHURA,Pleuronectes quadrituberculatus,Alaska plaice Bering Sea and Aleutian Islands,USA,2012,Historic,RAM,Species,1.99,0.177,13900,34311.10895,17956194.56,611905.8781,1608.811067,244366804.7,"Flounders, halibuts, soles",67
370694,AFSC-ARFLOUNDBSAI-1970-2010-STACHURA,Reinhardtius stomias,Arrowtooth flounder Bering Sea and Aleutian Islands,USA,2012,Historic,RAM,Species,1.99,0.0897,16700,63481.34027,25695695.12,718364.8514,2418.449201,376243771.8,"Flounders, halibuts, soles",67
370749,AFSC-ARFLOUNDGA-1958-2010-STACHURA,Atheresthes stomias,Arrowtooth flounder Gulf of Alaska,USA,2012,Historic,RAM,Species,1.99,0.029331674,22300,254271,34293275.77,1659196.072,2418.449201,736703144.2,"Flounders, halibuts, soles",67
370786,AFSC-ATKABSAI-1976-2011-STACHURA,Pleurogrammus monopterygius,Atka mackerel Bering Sea and Aleutian Islands,USA,2012,Historic,RAM,Species,1.56,0.905,72800,46211.57678,50641368.78,466398.167,923.1502459,123639044.3,Miscellaneous coastal fishes,67
370825,AFSC-BKINGCRABPI-1960-2008-JENSEN,Paralithodes platypus,Blue king crab Pribilof Islands,USA,2012,Historic,RAM,Species,0.0819,0,0,7514.10246,0,1050.437397,6826.446856,26298459.72,"King crabs, squat-lobsters",67
370895,AFSC-DSOLEGA-1978-2009-STACHURA,Microstomus pacificus,Dover sole Gulf of Alaska,USA,2012,Historic,RAM,Species,1.99,0.0483,458,3192.456067,297423.6092,62133.0782,1022.232513,16184881.39,"Flounders, halibuts, soles",67
370935,AFSC-DUSROCKGA-1973-2010-STACHURA,Sebastes variabilis,Dusky rockfish Gulf of Alaska,USA,2012,Historic,RAM,Species,1.59,0.546,3050,2760.302531,1516507.892,89052.15911,730.9367972,25840500.86,Miscellaneous demersal fishes,67
370974,AFSC-FLSOLEBSAI-1974-2010-STACHURA,Hippoglossoides elassodon,Flathead sole Bering Sea and Aleutian Islands,USA,2012,Historic,RAM,Species,1.99,0.0702,18500,83321,11209066.94,851493.5939,1022.232513,182825482.1,"Flounders, halibuts, soles",67
371009,AFSC-FLSOLEGA-1978-2010-STACHURA,Hippoglossoides elassodon,Flathead sole Gulf of Alaska,USA,2012,Historic,RAM,Species,1.99,0.051353105,3780,28310.77392,2801439.953,262721.9484,1022.232513,54800814,"Flounders, halibuts, soles",67
371062,AFSC-GHALBSAI-1960-2009-STANTON,Reinhardtius hippoglossoides,Greenland turbot Bering Sea and Aleutian Islands,USA,2012,Historic,RAM,Species,1.46,0.092718865,2540,18763.45257,7223656.907,90027.3026,3111.071907,70134321.25,"Flounders, halibuts, soles",67
371101,AFSC-NROCKBSAI-1974-2011-STACHURA,Sebastes polyspinis,Northern rockfish Bering Sea and Aleutian Islands,USA,2012,Historic,RAM,Species,1.6,0.29,3110,6848.128447,2066388.59,227561.1296,730.9367972,66079441.35,Miscellaneous demersal fishes,67
371155,AFSC-NROCKGA-1959-2010-STACHURA,Sebastes polyspinis,Northern rockfish Gulf of Alaska,USA,2012,Historic,RAM,Species,1.62,0.364065328,3580,6070,2311551.146,107603.1291,730.9367972,25463180.54,Miscellaneous demersal fishes,67
371193,AFSC-NRSOLEEBSAI-1975-2012-HIVELY,Lepidopsetta polyxystra,Northern rock sole Eastern Bering Sea and Aleutian Islands,USA,2012,Historic,RAM,Species,1.99,0.231,74400,259310,111758662,516424.9,1022.232513,67887656.29,"Flounders, halibuts, soles",67
