"","IdOrig","Country","SpeciesCatName","IdLevel","CommName","SciName","Dbase","CatchShare","Year","Catch","MSY","BvBmsy","FvFmsy","r","k","WasLumped","OverFished","OverFishing"
"376723","INIDEP-ARGANCHONARG-1989-2007-Parma","Argentina","Herrings, sardines, anchovies","Species","Argentine anchoita Northern Argentina","Engraulis anchoita","RAM",0,2012,24500,318020.85,1.09,0.169,0.606939896974508,2095896.82,NA,NA,NA
"376744","INIDEP-ARGANCHOSARG-1992-2007-Parma","Argentina","Herrings, sardines, anchovies","Species","Argentine anchoita Southern Argentina","Engraulis anchoita","RAM",0,2012,3270,217369.035,1.99,0.0353,0.592755517532717,1466837.7,NA,NA,NA
"376771","INIDEP-ARGHAKENARG-1986-2011-CHING","Argentina","Cods, hakes, haddocks","Species","Argentine hake Northern Argentina","Merluccius hubbsi","RAM",1,2012,81200,136215.9978,0.371,1.6,0.760825324162478,716148.6006,NA,TRUE,TRUE
"376794","INIDEP-ARGHAKESARG-1990-2011-CHING","Argentina","Cods, hakes, haddocks","Species","Argentine hake Southern Argentina","Merluccius hubbsi","RAM",1,2012,362000,1198189.816,0.169,1.79,0.556489989857324,8612480.64,NA,TRUE,TRUE
"376824","INIDEP-PATGRENADIERSARG-1983-2006-Parma","Argentina","Cods, hakes, haddocks","Species","Patagonian grenadier Southern Argentina","Macruronus magellanicus","RAM",1,2012,152000,132131,1.99,0.595,0.41160317803969,1284062,NA,NA,NA
"376852","INIDEP-SBWHITARGS-1985-2007-Parma","Argentina","Cods, hakes, haddocks","Species","Southern blue whiting Southern Argentina","Micromesistius australis","RAM",1,2012,39500,192025.1492,0.103,2,0.0705984780079248,10879846.4,NA,TRUE,TRUE
"370587","ABARES-BGRDRSE-1960-2011-CHING","Australia","Cods, hakes, haddocks","Species","Blue Grenadier Southeast Australia","Macruronus novaezelandiae","RAM",0,2012,4220,3953.339081,1.29,1.01,0.165717583992832,95423.52684,NA,NA,TRUE
"372532","CSIRO-BIGHTREDSE-1958-2007-FULTON","Australia","Miscellaneous demersal fishes","Species","Bight redfish Southeast Australia","Centroberyx gerrardi","RAM",1,2012,1020,2154.489046,0.983,1.07,0.0800000000148527,107724.45228,NA,TRUE,TRUE
"372567","CSIRO-DEEPFLATHEADSE-1978-2007-FULTON","Australia","Miscellaneous coastal fishes","Species","Deepwater flathead Southeast Australia","Platycephalus conatus","RAM",1,2012,1040,752.362105,1.43,1.1,0.231433591987441,13003.507374,NA,NA,TRUE
"372614","CSIRO-GEMFISHSE-1966-2007-FULTON","Australia","Miscellaneous demersal fishes","Species","common gemfish Southeast Australia","Rexea solandri","RAM",1,2012,102,1860.538899,0.249,0.0462,0.223115945974747,33355.55226,NA,TRUE,NA
"372677","CSIRO-MORWONGSE-1913-2007-FULTON","Australia","Miscellaneous demersal fishes","Species","Jackass morwong Southeast Australia","Nemadactylus macropterus","RAM",1,2012,396,737.6984133,0.313,1.78,0.101165088035693,29168.10246,NA,TRUE,TRUE
"372722","CSIRO-NZLINGESE-1968-2007-FULTON","Australia","Miscellaneous demersal fishes","Species","New Zealand ling Eastern half of Southeast Australia","Genypterus blacodes","RAM",1,2012,736,257.2560977,0.59,2.23,0.0730156280143599,14093.207424,NA,TRUE,TRUE
"372767","CSIRO-NZLINGWSE-1968-2007-FULTON","Australia","Miscellaneous demersal fishes","Species","New Zealand ling Western half of Southeast Australia","Genypterus blacodes","RAM",0,2012,465,1198.432109,1.08,0.219,0.320000000138848,14980.401356,NA,NA,NA
