"","stock","sigR","startbio.1.","startbio.2.","interbio.1.","interbio.2.","finalbio.1.","finalbio.2.","min.yr.","max.yr.","res","max.ct.","ct.1.","ct.nyr.","length.r.","exp.mean.log.r...","sd.log.r..","min.r.","quantile.r..0.05.","quantile.r..0.25.","median.r.","quantile.r..0.75.","quantile.r..0.95.","max.r.","exp.mean.log.k...","sd.log.k..","min.k.","quantile.k..0.05.","quantile.k..0.25.","median.k.","quantile.k..0.75.","quantile.k..0.95.","max.k.","exp.mean.log.msy...","sd.log.msy..","min.msy.","quantile.msy..0.05.","quantile.msy..0.25.","median.msy.","quantile.msy..0.75.","quantile.msy..0.95.","max.msy."
"5%","10",0,0.07938,0.97902,0.0374565,0.4619635,0.03414375,0.42110625,1987,2009,0.340403868,0.754,0.564,0.154,107,0.114466330480031,0.457061737921835,0.0514017695648791,0.0550351610803648,0.0802345542958596,0.115525133464655,0.16382988881432,0.232346466791734,0.313891391674286,6.786166481387,0.366817302385589,3.28468903954875,3.63736826006649,5.08112073240569,7.03957881106292,9.25725940093095,11.6175224394044,12.159797061248,0.194196893787739,0.459155950792773,0.073453603778142,0.0973316767760497,0.135965288522297,0.192479365790273,0.259513928376619,0.420422886822823,0.699905600013888
"5%1","20",0,0.0181815,0.2242385,0.1151475,1,0.04284075,0.52836925,2004,2009,0.340403868,0.258,0.013,0.208,136,0.241008150827033,0.753872246040931,0.0511891348294097,0.0583329115201562,0.141709169462098,0.260390589304384,0.473516361593474,0.659193808970626,0.731570158084342,3.76133576479425,0.438856765387946,1.23516878339751,1.55465398139745,2.82014204486317,4.15463196617463,5.19942375879151,6.47171224569664,6.72048177958884,0.226628144328161,0.693677611185334,0.0502814313870339,0.0705675644325718,0.133721511134241,0.22203792107158,0.37758656796601,0.691077202541435,0.968060637581429
"5%2","30",0,0.15,1,0.119205,1,0.13878,1,1999,2008,0.188406553,0.023,0.019,0.002,73,0.217046726981237,0.559635218705523,0.0478563569324049,0.0753863026471299,0.148497000326386,0.279685923820108,0.319949499950269,0.394953645057809,0.413370320609591,0.0643928621072967,0.132387322007348,0.0466940802775762,0.0496274000210523,0.0582124320066911,0.0668337085036572,0.0716360319006672,0.075815542911435,0.0761037208019714,0.00349406499033572,0.509550540029882,0.000910511706645808,0.00137309138336998,0.00245537498557665,0.00394532220744013,0.00535339717931415,0.00640265538990798,0.00737088934831331
"5%3","56",0,0.051375,0.633625,0.04779225,0.58943775,0.03580875,0.44164125,2001,2009,0.442508535,0.037,0.015,0.017,111,0.302188658429968,0.695906981505593,0.0664147009291136,0.0900964788846874,0.170083097036386,0.358104996331555,0.546891586706653,0.747548642072629,0.856346726428664,0.221179603200906,0.359546742417044,0.0965931335718191,0.116426015918128,0.17360618331904,0.230692952984702,0.303154416691514,0.356364107968864,0.362819385152773,0.0167094918908386,0.583821890484219,0.00422997054776764,0.00619373958801642,0.0109944683645958,0.0183629383674477,0.0258026255129114,0.0360199659388222,0.0462309418012115
"5%4","76",0,0.15,1,0.02905875,0.35839125,0.0334155,0.4121245,2002,2009,0.442508535,0.195,0.195,0.069,116,0.266449688143041,0.719360333513944,0.0698709313274818,0.0844557021951533,0.148296774257736,0.286306430900317,0.491171141009195,0.761005653761009,0.873515750335835,0.854717181337726,0.439766182527657,0.304357092952018,0.362248521584128,0.682317278772311,0.915022544963277,1.21779050611779,1.47935637331005,1.5563077626148,0.0569347816044841,0.596185386270253,0.013813195305732,0.0209637734907314,0.0367478709608336,0.060801753358758,0.0858087547688437,0.151771989091121,0.198021376392622
"5%5","95",0,0.0998775,1,0.09465,1,0.0938625,1,1999,2009,0.340403868,7.661,3.452,6.618,135,0.271869986914821,0.680813924325473,0.0514761172082142,0.0765234783487682,0.16500988501959,0.294060173028296,0.490791664370613,0.679669380570904,0.723506781451713,57.3077872703819,0.22000213255589,32.1927139580811,36.9230612142172,51.0131801944099,59.3631528937473,68.9767295553611,75.6845290016479,78.6380968933521,3.89506684382902,0.604410666842299,0.909770710718954,1.32143195994104,2.65383274078367,3.92261189675979,6.23445975784756,10.2069526996726,12.3993662458041
"5%6","146",0,0.05963025,0.73543975,0.06543525,0.80703475,0.04447275,0.54849725,1954,2009,0.442508535,0.798,0.1,0.245,110,0.11867045198511,0.267923902175735,0.0677189389668318,0.071416989144415,0.0961420528655563,0.122381866643273,0.148808374127352,0.176078713755775,0.182745123162999,9.72624829331888,0.185148331763157,6.85544605801598,7.13297485864094,8.30629340429937,10.2575417310199,11.5188401273041,12.3419709590408,12.6214113943422,0.288554570271888,0.197924806641074,0.183086781236824,0.211095946169136,0.246939671291643,0.291658185750654,0.332499125394196,0.399403196710669,0.42921634357397
"5%7","227",0,0.15,1,0.091845,1,0.0780075,0.9620925,1954,1982,0.340403868,6.3,6.3,0.14,112,0.201633190045096,0.576909336691782,0.0517727633101855,0.0675596115773588,0.138003468388216,0.232123926952184,0.313843361248861,0.398179513060567,0.504628768561589,22.6631210541955,0.258231625411672,13.0129630413555,14.3752496377444,18.7040063005246,23.7278939987054,28.0639706261911,33.5142885327928,34.4418216088479,1.1424093486339,0.479416180321462,0.352927783369697,0.448899854318415,0.842369015605156,1.22058759058241,1.70739636168135,2.1907021732728,2.44692373070866
"5%8","320",0,0.15,1,0.1263225,1,0.15,1,1962,2009,0.231339889,2.781,0.6,2.781,148,0.152308923293279,0.708995802331241,0.0361435194248372,0.046372582033348,0.0891652495444405,0.152582437039145,0.261816848189515,0.456168140691912,0.495684367027909,56.5567286891132,0.577090681811589,13.6527750360371,19.9345387230982,37.6459680921771,63.8158241892251,89.232193882748,121.304966400218,132.851997142498,2.15352361290724,0.735830088972386,0.568128456806169,0.80358237010012,1.23022808347048,1.89074122711592,3.66246350556789,8.13625760383612,13.4250915947508
"5%9","327",0,0.0659595,0.8135005,0.0499665,0.6162535,0.048192,0.594368,1969,2009,0.188406553,21.983,21.2,1.045,125,0.060683211491542,0.467033298405086,0.0282811808686902,0.0300235745835911,0.0402006906945377,0.0607058466272351,0.0888638811955545,0.132507871342224,0.170538100659814,254.008632767353,0.416810925624358,109.010600423061,124.89714532536,179.428349456574,270.790276665136,361.639975202691,456.159216840178,484.370045009539,3.85351489572468,0.578243704025398,1.15370519442868,1.43353975501726,2.47195287554114,3.9833687698636,5.55090306147062,10.8066274100366,14.4433892934202
