Country,GroupCount_CountrySums,sum_msy,sum_catch0,sum_DeltaRawBio_F1,sum_DeltaRawF_F1,sum_DeltaProfits_F1,sum_DeltaYields_F1,GroupCount_CountryMeans,mean_msy,mean_b0,mean_f0,mean_y0,mean_PercBio_F1,mean_PercF_F1,mean_PercProfits_F1,mean_PercYields_F1,GroupCount_CountryMatrix,median_msy,median_b0,median_f0,median_y0,median_PercBio_F1,median_PercF_F1,median_PercProfits_F1,median_PercYields_F1,GroupCount_CountrySD,std_msy,std_b0,std_f0,std_y0,std_PercBio_F1,std_PercF_F1,std_PercProfits_F1,std_DeltaRawBio_F1,std_DeltaRawF_F1,std_DeltaProfits_F1,std_PercYields_F1,std_DeltaYields_F1
Multinational,217,4891372.28963283,3782413.1139,7407299.16009123,-2.76401226762598,1933319312.66426,591652.007651494,217,22540.8861273402,0.64229425262212,1.0010871831265,1.38973159502282,66.7064198321022,2796.60148428393,199529910953.534,1549.39613432748,217,1424.0345945234,0.62771,0.963036668435169,0.635780525835995,8.62662536447854,-6.39079287974936,50.0804257184907,26.0581557691055,217,97914.971926326,0.197251769935993,0.559540979104135,5.21793063015526,138.11420774892,22028.0120248216,1269613382379.53,253515.571334225,0.0641406692053463,32701777.7445147,12070.1265749391,8094.43700891394
USA,73,674760.422762907,487728.8520973,300250.14424719,-1.86411039739171,657857925.769311,124798.82949921,73,9243.29346250558,0.527747412,1.2131722366931,1.14662632370129,139.479047018086,285.981424401428,403145006637.246,221.887170290286,73,391,0.459581408,1.30721251359961,0.547821529484987,44.5773700917061,-24.4825844660133,212.976124147108,64.4650964082159,73,31085.4761059326,0.252456808573776,0.65378669899341,3.40078727625394,201.421519307149,1199.29983160056,2256043930603.39,83066.8433314006,0.0606159574715208,31144759.4399882,643.559603447896,5318.32662662516
Japan,24,591688.669310465,421636.5,883772.176247006,0.228158278820725,848009255.235623,155717.790728744,24,24653.6945546027,0.532751666666667,0.778241124923506,0.418034129732511,44.5531092023011,4284.10338489676,134211084656.043,2545.82836351,24,5827.73034838647,0.559025,0.594693656247593,0.296777417229734,-18.6670634359714,88.6189546545874,309.62607525584,99.5958360749799,24,48459.0092532948,0.19811974566708,0.730922641515972,0.409264806693228,135.287067297453,13022.2964084729,515996865430.122,302908.529573803,0.0569797946432165,82376391.7952174,7754.46444840027,11370.0693013727
Russia,17,580559.453393613,463755,238501.980494374,0.0617285383453282,274098647.359105,40119.5890349659,17,34150.5560819772,0.555312166235294,0.843456037351249,0.509380815393866,58.7623800032458,3403.27089490173,871020393491.131,1798.48735552691,17,957.063012092872,0.48511,0.880289227896464,0.470549699066311,2.66707244368567,-2.63252677141991,106.709405749023,82.9802316823817,17,117431.066493883,0.24101097923653,0.686659746648975,0.468661203471877,156.739629607815,11738.2615091021,3537296892804.92,84310.9950109223,0.0722247906053645,42935731.8730633,6033.41180508877,7959.17464876354
China,3,393756.471573622,525867,2650135.89378297,-0.287985233373438,1426289620.46099,220183.382863803,3,131252.157191207,0.536683333333333,1.89499827298858,1.17443072734573,317.463646697038,-45.2035173767098,42388717218418,125.949045330022,3,80552.9691857792,0.40872,1.9,1.16002874762156,367.393862258948,-47.1800239589934,25452886365621.8,139.269325152186,3,90276.1734101524,0.263828147917036,0.00866324530937483,0.402127051692963,86.6830609947133,4.92498316636118,30986603976822.6,332233.752059255,0.0554197085358273,357002771.263127,29.9030658043813,55181.6987415287
EU,333,268890.346163583,173094,258813.846972478,-5.99227042853926,443499277.446461,96231.2755761958,333,807.478517007756,0.485935915915916,1.11079405350863,0.613342921673757,112.758901526762,330.680197343162,31326686102.5982,235.94691903786,333,184.481912064913,0.46903,1.13785016659414,0.547292779967557,33.9118583043095,-17.451219788442,167.75504230177,61.3558139367062,333,1626.5881886462,0.203266338080173,0.64336241850949,0.498223212822508,175.862671382792,1461.50602739198,110103208408.046,13352.3974348139,0.0588909490138725,3035157.86444331,754.163224573519,699.375980327199
Un. Sov. Soc. Rep.,27,233557.060572152,122697,432597.978179822,0.140055996486995,596494519.095906,107446.159594246,27,8650.26150267231,0.363917407407407,0.873967547894136,0.356552475146746,114.166747076289,1405.39012634341,1182220514305.2,1105.9402891988,27,4199.15596942214,0.30004,0.552942500542032,0.258878025856045,-7.90677689473653,87.5200390452187,241.27648443946,115.36275829234,27,13279.9044565561,0.222054454761969,0.747057992239096,0.382291689368613,262.591365353369,4105.80880002676,4311428066144.6,105488.665363304,0.0652366961658714,55369248.1353579,3582.75604357247,6018.86338746801
Indonesia,8,153174.820710638,166630,342058.192603613,-0.466975829195301,188748446.127898,34596.2475033713,8,19146.8525888298,0.69671625,1.57325306937487,1.31780894219479,173.444645235435,-27.3085718141215,1236538223710.43,66.9912499973199,8,10514.7277865037,0.70962,1.77546193729103,1.37867300179691,176.78824210683,-42.9118551849478,899.970121780044,57.7296373525427,8,27536.1464821204,0.17068990554616,0.464809001538469,0.61738081174705,140.337713516966,30.5456538609159,2506066991792.01,53238.4608126842,0.0584603090541408,26569951.3803453,47.7240539772412,3723.35111444235
Argentina,15,150112.058071407,354968,79810.1002337701,-0.511251119679749,88644605.4134944,22610.8412953847,15,10007.4705380938,0.529645969333333,1.41303379412035,17.0189510725822,152.697687741131,2.88821858834851,16546659414.9833,72.0552557154462,15,2628.50070574523,0.52287,1.72121945878678,1.00847969309777,157.309578327927,-35.929427275345,690.531085002248,59.6997313738219,15,22394.6762328596,0.193279435291932,0.582141771645354,46.1127717826689,186.753014287795,82.0852370530866,46113780613.3874,55516.5434625276,0.0482579715125126,9773012.05499312,60.168923051497,1887.51021483754
Korea, Republic of,16,149712.665169329,88729,352171.619033754,-0.407754191249977,221546242.556212,46798.863430978,16,9357.04157308307,0.58650625,1.21849713490211,0.714663217261794,98.8676238831158,3658.18206066668,270288487881.479,2222.1150970132,16,2860.81647752817,0.51171,1.18717874336896,0.785108630390619,36.7625993508555,-25.2745868372688,83.8702356622681,31.5570041074453,16,16853.2811550018,0.243729342177616,0.583481025785252,0.378709051930009,130.310903922089,14671.7722144305,567582580888.493,85076.168335064,0.042387209952912,24411737.4332223,8701.33033962505,7004.81216667994
