MaxNPV,SQ,CatchShare
0,0,0
-94.4563010391222,0,-93.3798809565453
-91.3100651137967,0,-87.4875874146205
-86.2480255373921,0,-79.373477910861
-79.3907911420498,0,-69.2320668194541
-70.5354515585972,0,-58.1674188552168
-62.0737669322122,0,-46.5997067724271
-55.2596630665245,0,-37.1268490072076
-47.3810756440231,0,-29.8258003346997
-39.262138239228,0,-22.7344225390028
-32.9134105770111,0,-18.5216341275242
-30.2983829787659,0,-15.131746186747
-26.0925019820771,0,-12.8469355939559
-22.4098289807047,0,-10.6630751224283
-20.1730941615524,0,-9.95321607917823
-18.236445654884,0,-8.69221634679199
-17.0357011973694,0,-8.06492378336481
-16.1586683058084,0,-7.30336409969067
-15.573403994277,0,-6.63982354120189
-14.9791947051054,0,-6.34329191822223
-14.5230113820407,0,-5.46648539694143
-14.1488778823582,0,-4.23301286501985
-13.4830315540709,0,-3.77374139582026
-12.8588981357996,0,-3.5443450382403
-12.46507714671,0,-3.26197318503788
-11.9968296296723,0,-3.15317279758456
-11.646262485188,0,-3.06486844040034
-11.5423861888926,0,-2.97244746513735
-11.5031059689966,0,-2.95322202871063
-11.4559630588028,0,-2.94067203691665
-11.3937955800311,0,-2.87406326409524
