MaxNPV,SQ,CatchShare
0,0,0
-90.8764909341801,0,-87.5359104536432
-82.823179851746,0,-78.1859097857562
-71.119557443998,0,-63.026704219954
-61.912061375042,0,-52.4622843662746
-55.1211466775513,0,-47.2743357265029
-50.8557036183975,0,-44.8654152254784
-48.8942610007258,0,-43.9825291057495
-47.880904065419,0,-43.270585342185
-47.864842538248,0,-42.4626049912754
-47.0453404569074,0,-40.9060551330316
-45.91601870517,0,-40.0018504833264
-44.9097342777856,0,-39.8271658832729
-44.3472605458481,0,-39.420716069995
-44.3187973459042,0,-38.2774681728469
-44.2727783014446,0,-38.1138917414981
-43.7189185416316,0,-38.1095272464133
-42.7621323488792,0,-38.1073457492318
-42.1714506054222,0,-38.1062528475561
-42.1683776557141,0,-38.1057040565067
-42.1666805455256,0,-38.1054278621601
-42.1657416884199,0,-38.1052885530685
-42.1652214408853,0,-38.1052181371093
-42.1649326906934,0,-38.1051824709686
-42.1647721765394,0,-38.1051643701489
-42.1646828134958,0,-38.1051551665166
-42.1646329905516,0,-38.105150478387
-42.1646051742141,0,-38.105148086289
-42.1645896238197,0,-38.1051468637671
-42.1645809196899,0,-38.1051462380296
-42.1645760418958,0,-38.1051459172954
