MaxNPV,SQ,CatchShare
0,0,0
-91.8351669166902,-4.3593878118993,-89.6988165342178
-84.4942079272624,-8.22087314200875,-79.5261182157647
-74.1184671544122,-11.6676065019389,-65.7177572511668
-61.7138933861205,-14.7645964204478,-50.9222311354589
-49.134980143987,-17.563519968809,-38.314690600538
-38.231081329723,-20.1060533302447,-28.9538838488008
-29.811202258455,-22.4262343500017,-22.7557643330489
-23.8752684761133,-24.5521742782289,-18.9901294570285
-19.970523162973,-26.507321315817,-16.8247030545531
-17.514730553091,-28.3114088693508,-15.7505712652006
-16.0245599907122,-29.9811777789499,-15.5055738722752
-15.1408996625075,-31.5309337459694,-15.3834203954005
-14.7250612276795,-33.4594025635372,-15.3225221689192
-14.6083457318191,-35.4603536516021,-15.2921255440432
-14.5440622278176,-37.323878638712,-15.2769258859817
-14.5086267347444,-39.0637241522801,-15.2693095153258
-14.4890686772216,-40.6918490583444,-15.2654846793707
-14.4782580810571,-42.2187075845852,-15.2635596591691
-14.4722733048027,-43.6534800474704,-15.2625886958313
-14.4689548961168,-45.004262199546,-15.2620979105069
-14.4671120513627,-46.2782216349449,-15.261849327775
-14.4660870875848,-47.4817277744353,-15.2617231722536
-14.4655161775294,-48.6204605121385,-15.2616590276612
-14.4651977272837,-49.699501515477,-15.2616263543486
-14.4650198568908,-50.6251747622092,-15.2616096832016
-14.4649203790444,-51.3140275392307,-15.2616011632635
-14.4648646756398,-51.9708376753723,-15.2615968024699
-14.4648334478145,-52.5977714323253,-15.2615945672888
-14.4648159219834,-53.1968003589048,-15.2615934200899
-14.4648060758643,-53.7697230403191,-15.2615928305608
