MaxNPV,SQ,CatchShare
0,0,0
-92.1629961411143,0,-88.2146305255752
-87.7609966142691,0,-82.5941382898318
-83.6561629647405,0,-73.676056107185
-76.401804509138,0,-65.0210388849458
-66.5208162373918,0,-52.8215504879909
-57.1248895772902,0,-41.9360133544902
-50.3135647081986,0,-35.3901377233936
-39.7872964659637,0,-29.8216734637864
-35.0132531156511,0,-25.5883317235918
-33.0400922196302,0,-22.5505585223813
-31.3505259104255,0,-21.6914020733089
-29.5733400256067,0,-21.4483072758067
-28.1646233266134,0,-21.3563529293203
-28.1336623080562,0,-20.8711670556225
-26.5520486637994,0,-20.5143802825701
-26.4193204248806,0,-19.489756843861
-26.403984639287,0,-18.9667378988031
-26.197306053014,0,-18.1952704957768
-25.7809992549953,0,-18.1877373706112
-24.7821955976661,0,-18.1834071577672
-24.6819124320022,0,-18.1809183093973
-24.6815130022718,0,-18.1794878950797
-24.638487910763,0,-17.5203538618452
-24.6379768807154,0,-17.52016420652
-24.0725329496111,0,-17.5200501405405
-24.0705147537221,0,-17.5199815370289
-24.0691753304468,0,-17.2198293663419
-24.0682864104772,0,-17.2197688217909
-23.7711168702251,0,-17.2197350973937
-23.7709609979169,0,-17.2197163123149
