"","stock","bvbmsy","finalyear","iteration","fvfmsy","msy","r","K","finalcatch"
"117201","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,1,NA,57751.7392772015,0.54853586624826,421133.73312996,2541
"117202","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,2,NA,16648.8229076583,0.145396031903625,458026.885319508,2541
"117203","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,3,NA,60045.2893721234,0.71010123483406,338235.093401324,2541
"117204","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,4,NA,60045.2893721234,0.71010123483406,338235.093401324,2541
"117205","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,5,NA,41166.0473849011,0.741376404347738,222106.056483515,2541
"117206","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,6,NA,29264.1974338395,0.509368364551025,229807.734209281,2541
"117207","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,7,NA,31057.7539217736,0.410944857968562,302305.803998157,2541
"117208","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,8,NA,53760.9317572781,0.829369263000901,259285.865322548,2541
"117209","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,9,NA,53760.9317572781,0.829369263000901,259285.865322548,2541
"117210","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,10,NA,54239.7394380689,0.752449936480962,288336.734755994,2541
"117211","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,11,NA,45976.4657119726,0.619020177047773,297091.871423276,2541
"117212","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,12,NA,42519.9015929904,0.404788583591976,420168.980218574,2541
"117213","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,13,NA,70253.8396475119,0.682701394806711,411622.651905684,2541
"117214","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,14,NA,51613.4512753772,0.882437285662597,233958.61491334,2541
"117215","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,15,NA,45976.4657119726,0.619020177047773,297091.871423276,2541
"117216","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,16,NA,29264.1974338395,0.509368364551025,229807.734209281,2541
"117217","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,17,NA,16648.8229076583,0.145396031903625,458026.885319508,2541
"117218","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,18,NA,21666.8840155343,0.223537584106909,387709.012819462,2541
"117219","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,19,NA,16648.8229076583,0.145396031903625,458026.885319508,2541
"117220","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,20,NA,50124.8357195377,0.474817250925038,422266.340339443,2541
"117221","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,21,NA,78203.968256165,0.825321894263847,379022.869984176,2541
"117222","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,22,NA,27300.8398992187,0.452928121363319,241105.275751418,2541
"117223","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,23,NA,78203.968256165,0.825321894263847,379022.869984176,2541
"117224","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,24,NA,42519.9015929904,0.404788583591976,420168.980218574,2541
"117225","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,25,NA,45224.7515621424,0.45999522993155,393262.78725866,2541
"117226","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,26,NA,42519.9015929904,0.404788583591976,420168.980218574,2541
"117227","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,27,NA,31057.7539217736,0.410944857968562,302305.803998157,2541
"117228","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,28,NA,50471.5411761462,0.910426856560319,221748.911787741,2541
"117229","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,29,NA,45451.0677699507,0.867054418449392,209680.346713341,2541
"117230","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,30,NA,27083.0960378119,0.326488337303219,331810.885025999,2541
"117231","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,31,NA,57751.7392772015,0.54853586624826,421133.73312996,2541
"117232","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,32,NA,21666.8840155343,0.223537584106909,387709.012819462,2541
"117233","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,33,NA,31204.9060613568,0.388033073764206,321672.64257808,2541
"117234","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,34,NA,24237.9120967889,0.388008263426121,249870.060836001,2541
"117235","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,35,NA,41166.0473849011,0.741376404347738,222106.056483515,2541
"117236","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,36,NA,27083.0960378119,0.326488337303219,331810.885025999,2541
"117237","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,37,NA,53760.9317572781,0.829369263000901,259285.865322548,2541
"117238","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,38,NA,50124.8357195377,0.474817250925038,422266.340339443,2541
"117239","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,39,NA,31204.9060613568,0.388033073764206,321672.64257808,2541
"117240","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,40,NA,50124.8357195377,0.474817250925038,422266.340339443,2541
"117241","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,41,NA,57751.7392772015,0.54853586624826,421133.73312996,2541
"117242","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,42,NA,27083.0960378119,0.326488337303219,331810.885025999,2541
"117243","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,43,NA,54239.7394380689,0.752449936480962,288336.734755994,2541
"117244","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,44,NA,16648.8229076583,0.145396031903625,458026.885319508,2541
"117245","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,45,NA,31057.7539217736,0.410944857968562,302305.803998157,2541
"117246","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,46,NA,53760.9317572781,0.829369263000901,259285.865322548,2541
"117247","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,47,NA,45224.7515621424,0.45999522993155,393262.78725866,2541
"117248","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,48,NA,33344.2492323581,0.476909446726436,279669.437971816,2541
"117249","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,49,NA,27083.0960378119,0.326488337303219,331810.885025999,2541
