"","stock","bvbmsy","catch","it1","it2","it3","it4","it5","it6","it7","it8","it9","it10","it11","it12","it13","it14","it15","it16","it17","it18","it19","it20","it21","it22","it23","it24","it25","it26","it27","it28","it29","it30","it31","it32","it33","it34","it35","it36","it37","it38","it39","it40","it41","it42","it43","it44","it45","it46","it47","it48","it49","it50","it51","it52","it53","it54","it55","it56","it57","it58","it59","it60","it61","it62","it63","it64","it65","it66","it67","it68","it69","it70","it71","it72","it73","it74","it75","it76","it77","it78","it79","it80","it81","it82","it83","it84","it85","it86","it87","it88","it89","it90","it91","it92","it93","it94","it95","it96","it97","it98","it99","it100"
"1","10",0.45525,154,8021.04440295103,7809.19178583178,3818.45442064672,8021.04440295103,4757.89174956945,3866.79191708403,8272.76052234118,4757.89174956945,12012.4560034065,8021.04440295103,8272.76052234118,5609.23106017988,4362.5135438133,3893.02393797587,7468.70098918416,6847.29823396576,10920.7148212146,6083.39018621483,10664.1127373882,4491.60497250656,10664.1127373882,9681.18598151694,7914.35532917474,5393.25555101476,7199.66986136469,6625.33498548521,4415.42944952416,11036.1081751225,4684.74235726911,4072.45246844637,3866.79191708403,9987.78164620794,6077.72286889635,11671.6391117441,12012.4560034065,6625.33498548521,5609.23106017988,7830.2009426824,9364.33862041022,5141.396398965,6625.33498548521,3567.39812681544,10036.3930357981,6755.9438009455,4115.30489591845,6755.9438009455,11671.6391117441,7534.78377755097,7686.45850553023,6877.93092440082,3586.32851683181,5611.61595725407,5609.23106017988,7613.71169362349,7645.6078446238,7039.57881106292,8335.99156758135,7830.75408151153,8286.73323755874,5774.74909274125,8286.73323755874,7625.01033150335,10587.1730485826,8064.34244722242,5611.61595725407,7645.6078446238,10685.4843637123,12159.797061248,9155.1462968513,5609.23106017988,10786.7573507361,10809.6454822602,3866.79191708403,6047.01777685199,4855.44880270394,5952.47423625869,3942.35836248535,10685.4843637123,9359.3725050106,3284.68903954875,12159.797061248,10920.7148212146,7468.70098918416,9780.92562591773,6877.93092440082,5091.84609745679,10664.1127373882,9688.89038172002,9002.4145202062,10786.7573507361,9155.1462968513,3756.46099428075,5242.13543863435,5870.55779885186,6497.01747420021,6847.29823396576,9539.44286254257,7914.35532917474,9359.3725050106,7065.03934928848
"2","20",0.57121,208,2849.04159097393,3327.10841363352,2371.37427151571,3520.49356714927,6697.94770414197,6720.48177958884,4488.09730391586,4423.24529372698,5032.18202208908,4365.49176307182,4488.09730391586,5036.09924516395,6720.48177958884,3438.13960000007,3929.07061661419,3870.01319382866,4349.0328208805,5032.18202208908,5393.62409970623,1296.69609916172,1296.69609916172,6275.20521706141,4146.33981377258,3185.56180109518,5914.9946682685,3965.92025436292,2386.38798582662,6331.94252405823,3921.53712204131,5752.67441271466,2770.64618621009,5914.9946682685,4790.83873592161,3809.30580063008,4402.64778334612,1410.86821302016,2770.64618621009,6072.63836199784,4682.84360448553,2371.37427151571,2360.52516930339,4632.37245181135,1802.94103725899,5288.05876713469,5752.67441271466,4600.9319448447,3439.9494045103,4753.86287283483,6323.66187519449,3929.07061661419,5830.55884623133,1939.10123078175,4885.14720654043,6022.24166545619,2698.60299544214,1304.16500798329,2770.64618621009,3438.13960000007,5830.55884623133,2499.58791834798,2371.37427151571,4847.84839474052,4790.83873592161,5397.83841604103,6710.05419448814,3520.49356714927,2386.38798582662,4790.83873592161,6714.47400473788,4434.25455434749,6195.50082454053,2371.37427151571,1937.13135792983,1939.10123078175,6072.63836199784,4075.81171061891,4549.45797301229,3347.7425179948,5590.32284111712,4349.0328208805,2262.52249135108,4059.6399983189,2280.13107452254,3551.8911693518,4582.07918205352,4075.81171061891,5393.62409970623,1955.73222033385,5914.9946682685,1410.86821302016,6416.84744859104,2302.02393777415,2430.49343178545,1955.73222033385,6577.64200432069,4218.94638535521,5139.47298736479,6150.62791981443,4348.78290995515,4402.64778334612
"3","30",1.8504,2,71.6360319006672,54.306757520719,72.2077510003085,73.4896487429802,72.9469688353468,74.5704641901239,72.4275437848112,76.0618020383619,56.5937949925362,54.7245698840751,69.5202955931138,71.2308827314385,70.1938467001632,66.9666039726337,58.5845994035447,49.6977546288394,57.3128194329914,74.6792764070567,59.5534297651719,49.0044262850605,56.5937949925362,54.7245698840751,71.1262594117344,71.6360319006672,55.5757662883516,72.6476322777747,70.8615755828768,59.5534297651719,75.7566786392554,74.6792764070567,75.7226443950678,69.8737707161571,49.6977546288394,76.0618020383619,62.3785576714035,62.3785576714035,56.5937949925362,71.4947782212674,49.6977546288394,72.6325647195019,66.8353474191854,71.6360319006672,59.4145389897515,65.1197146262094,73.4896487429802,66.0625851193082,75.7719698316234,70.7788327379983,73.6539143626308,69.5202955931138,72.4275437848112,61.945384631825,73.5005694961109,71.0662840585229,62.3785576714035,54.404888702014,62.3785576714035,73.4896487429802,55.5757662883516,66.8337085036572,46.6940802775762,69.7761575509546,55.5757662883516,71.6360319006672,71.2308827314385,54.306757520719,51.0849016987041,55.5086869432773,57.0041138864081,73.5005694961109,75.7226443950678,59.5534297651719,74.6792764070567,70.7788327379983,70.7788327379983,73.6539143626308,73.4896487429802,70.0242964698137,65.1197146262094,74.6792764070567,72.2077510003085,51.0849016987041,73.6539143626308,56.5937949925362,71.4947782212674,75.9237468944468,65.4960262891943,72.4275437848112,65.7967994379734,73.5005694961109,46.6940802775762,65.4960262891943,67.0381474621594,72.6476322777747,58.2124320066911,57.0041138864081,66.8337085036572,46.6940802775762,71.2308827314385,71.6360319006672
"4","56",0.47745,17,343.642188205696,202.01489289317,292.891708248591,153.418114077797,129.295119979851,304.342270968454,348.478940912491,126.307948752939,181.056854898012,181.056854898012,232.199126368846,200.853830125257,102.494896702717,167.788678746017,221.087307116326,230.692952984702,141.42441452785,200.388185454035,191.609253562592,131.076444157219,343.642188205696,290.478761685176,359.310975801171,320.089139142611,298.921895610958,275.089406679171,213.380379277888,316.901335741324,214.351213391039,304.342270968454,146.734644936232,142.063507503445,332.090310450258,362.819385152773,102.494896702717,212.22062266684,351.037684823722,343.642188205696,96.5931335718191,187.509488712973,240.450605924758,251.779997104395,202.01489289317,167.788678746017,221.301357363258,178.453089047896,110.277381985283,148.279188646025,232.199126368846,102.494896702717,236.129029980199,130.285653597195,232.199126368846,216.545559390776,213.380379277888,227.606693724407,249.736877117894,96.5931335718191,236.129029980199,245.440853317027,233.974514837669,126.307948752939,187.536152701047,141.42441452785,236.129029980199,301.966562414575,140.997903507667,245.440853317027,335.75620519256,123.548087472302,236.129029980199,227.606693724407,356.940537214242,249.736877117894,141.42441452785,359.310975801171,187.509488712973,131.076444157219,131.076444157219,168.224033682027,126.307948752939,221.087307116326,358.491971002357,245.440853317027,117.145936833472,181.056854898012,227.212033971064,354.166372836084,212.22062266684,187.536152701047,146.973521116395,153.418114077797,236.129029980199,168.759277590184,200.853830125257,102.494896702717,178.453089047896,251.779997104395,212.22062266684,221.087307116326
"5","76",0.44554,69,1462.96667404038,595.683436492283,703.356048586253,462.326755563819,509.414421638124,405.768378377088,962.104239759799,1480.66031057454,379.62475863418,1484.90109351289,1439.38175027855,1030.67152197888,781.33560719281,424.88069411718,1435.0699678297,1131.898514693,813.545118123868,1124.11708464614,549.019216288786,807.209031952403,740.908680126655,1242.41678210471,392.427192048889,921.800824818652,1152.00455584877,650.615120462309,311.372994963292,1049.80740972815,864.582611648369,781.33560719281,333.126154131507,462.326755563819,424.88069411718,591.157027051235,595.683436492283,311.372994963292,706.328758621182,529.741413215216,549.019216288786,415.436551720141,1439.38175027855,1058.45320647122,1224.83282986025,373.083125141471,1553.46115157484,416.710315724236,838.212814687664,777.168528173191,650.615120462309,1146.20099401772,1459.56083613681,924.062137688105,333.126154131507,515.854736705274,1124.11708464614,817.008312942691,1472.09900321964,1452.18538959289,415.436551720141,1510.2230805794,1184.4508058636,1058.45320647122,723.116213126324,359.072656189813,1281.78909235319,1292.54571157403,706.328758621182,781.33560719281,924.062137688105,1207.34128022927,1224.83282986025,760.078197562197,1480.66031057454,1308.740060509,921.800824818652,1292.54571157403,1308.740060509,1452.18538959289,1146.20099401772,348.367563608478,1156.06498576334,924.062137688105,650.615120462309,379.62475863418,1011.92224937389,1500.01613566787,529.741413215216,1290.57143905488,924.062137688105,1472.09900321964,363.307143382233,1368.73840914197,1049.80740972815,1147.57772343342,868.670204200223,1553.46115157484,668.14692911187,838.212814687664,706.328758621182,348.367563608478
"6","95",1.2515,6618,51347.248964807,55203.0999043704,48588.6696783752,32222.4873909491,44016.8930859184,73520.1896952755,64237.4359270195,51347.248964807,32298.9039046204,74245.2402548812,55203.0999043704,58473.2871095151,58721.1542948373,49524.0810291863,40888.5381189989,52785.437509007,73753.4381151635,71180.7527820314,33462.1085303686,60796.5373579829,71180.7527820314,46783.6480760653,40928.1825407949,60503.3504702421,64821.0364943497,70070.8497881653,32222.4873909491,69418.9503241518,77867.1691658966,52646.2214686054,67144.043248592,64821.0364943497,64181.7271041036,57094.5842756319,40761.0815239365,56193.4396045544,70899.1483004121,76602.721820268,51073.7801301461,40888.5381189989,61574.9543449144,54538.513739692,56193.4396045544,71196.0628033664,69418.9503241518,49843.151365466,33419.8196086338,71064.3309988194,78638.0968933521,60901.4956839712,71836.2625153439,58863.9040473564,69675.3597091108,42389.4180299292,60459.7179401452,48588.6696783752,65572.2848209619,59363.1528937473,56568.7011148048,62154.0120083395,73753.4381151635,33462.1085303686,70694.5869315705,52827.1527897306,40928.1825407949,46783.6480760653,40928.1825407949,73520.1896952755,64894.3417772015,60960.3252769896,55400.8359609985,47275.4791850247,67428.8159750089,66191.8423067837,64821.0364943497,56172.1103402035,64894.3417772015,67144.043248592,42389.4180299292,33419.8196086338,62507.4199448535,72422.2859064749,71180.7527820314,42389.4180299292,74130.6164135202,64894.3417772015,58318.8449548583,47275.4791850247,52785.437509007,78638.0968933521,62724.638798292,74130.6164135202,40928.1825407949,60901.4956839712,35660.2099356719,78638.0968933521,59727.7754709325,33419.8196086338,55400.8359609985,59727.7754709325
"7","146",0.59297,245,11527.1615435413,7366.84303957577,8095.43504448039,11656.9181294751,12255.6860518485,7494.64365290246,10754.1217008797,10827.9326114777,8895.90368524637,10754.1217008797,11880.8762091557,10534.2597057286,9589.62066095863,9589.62066095863,11527.1615435413,7319.42366431336,6916.17257006676,11191.9207591749,8917.07926729891,9765.82024395824,12296.01062475,10407.3562561614,11191.9207591749,8895.90368524637,10314.7527279221,8497.19957756207,11880.8762091557,10754.1217008797,8863.48032798318,10518.6661170239,12087.2600940423,12296.01062475,7040.42047216591,8464.26720109789,11320.8773842543,12296.01062475,10529.6338283614,7590.28306361259,10430.3625728976,12558.7916590121,8720.81108715442,8596.17598952797,8917.07926729891,8863.48032798318,12195.8509468958,10213.9373043147,10911.7692027924,11776.8158669085,10407.3562561614,8095.43504448039,12296.01062475,10943.4023966863,8231.84514384863,8343.59773382823,8343.59773382823,10529.6338283614,7319.42366431336,12015.4483681748,11164.1077136487,11191.9207591749,11880.8762091557,12621.4113943422,7068.95531286384,12558.7916590121,7833.65224346746,12438.3765223193,8578.28709165353,10878.6113016384,10584.4541032132,10301.1461577251,10011.4664610608,10038.9326746324,7494.64365290246,7211.22097014629,11773.0246991134,11773.0246991134,7588.62963010266,12621.4113943422,10301.1461577251,12083.5226153384,8877.74335104639,10314.7527279221,10335.9188762679,12621.4113943422,10430.3625728976,11656.9181294751,10213.9373043147,10754.1217008797,7040.42047216591,7047.78269652768,7366.84303957577,12393.4259747424,11862.0914353959,9775.17997686674,8695.43396775096,8497.19957756207,10584.4541032132,8464.26720109789,10642.4773060346,11191.9207591749
"8","227",1.0401,140,19285.381783473,30451.9571432412,24372.6342303237,24990.4037492552,22828.8423485461,18510.9807477924,16190.1761463833,21368.2475462175,29265.8490679666,23561.8522366137,20833.710752933,21368.2475462175,27594.6779450791,26489.2325203606,19659.9208044405,27817.4841624953,29862.0630081885,24990.4037492552,22202.0151724563,29688.148590136,21613.4827500621,29481.2160879859,25428.3569568845,26184.9916085024,19432.6299977646,18510.9807477924,15486.8288905041,26489.2325203606,23332.4276956325,30552.0789021011,27267.4480406004,23983.2921427323,20421.0782418867,26701.8111404258,21522.6906349989,21613.4827500621,17771.5079980971,24667.8436684871,16411.1531328265,19432.6299977646,16269.1394154704,19938.0062183186,16269.1394154704,17016.6377332548,29170.0944915492,26701.8111404258,15486.8288905041,23961.3160304918,24878.5847546751,19486.8719566169,23332.4276956325,27817.4841624953,14762.0776603443,31367.0903913345,13597.3635963577,31367.0903913345,16411.1531328265,13597.3635963577,13012.9630413555,17016.6377332548,19432.6299977646,29265.8490679666,26489.2325203606,17771.5079980971,29688.148590136,27594.6779450791,18723.4396764761,24299.8839178783,29671.3116562233,15024.7151942629,19486.8719566169,24878.5847546751,30842.7529299948,28458.8051470355,31251.1340269938,26184.9916085024,17771.5079980971,25428.3569568845,23983.2921427323,24990.4037492552,17016.6377332548,25589.0434224299,19285.381783473,28669.348408294,24372.6342303237,26830.6868224605,19938.0062183186,16457.7894358772,24990.4037492552,19659.9208044405,29170.0944915492,21522.6906349989,24667.8436684871,30423.2947266625,21061.4128032426,15147.9911935548,17771.5079980971,24667.8436684871,16457.7894358772,19285.381783473
"10","320",2,2781,107219.419064003,35653.4232218839,110771.428074732,89132.238209117,81718.9741734072,65613.202518229,84782.35135331,33964.5427415668,33964.5427415668,132236.967138842,57017.398329972,121597.709006516,29463.3047898681,116056.701991143,41035.418015482,29375.0510985108,69892.3204795852,26764.2606379631,29463.3047898681,75853.0196472319,35747.291712777,35747.291712777,20910.7165013129,56243.2074157959,22869.6234280531,107219.419064003,69940.7125291316,74078.2679689253,70760.4724012075,29375.0510985108,103894.299957779,107219.419064003,76401.2278705364,37835.4786996972,124862.63863966,13652.7750360371,53946.6656479881,76689.1715683559,110710.847954035,118980.293415175,89532.0609036407,26764.2606379631,37835.4786996972,26405.7257275607,49990.4296032009,13652.7750360371,88047.7821149934,74078.2679689253,29375.0510985108,42708.6691935152,57568.3124585724,29375.0510985108,26957.9489329931,57017.398329972,35747.291712777,61147.4967513928,40523.9038373034,19408.9045348288,45907.7126865098,106908.174546846,48297.2397599451,22869.6234280531,105706.785676482,89532.0609036407,88990.3534018034,28985.5470020602,31415.0823738266,88990.3534018034,60606.0075789206,76264.9241521939,98015.1641059548,120761.30155995,16223.3835173869,89132.238209117,16223.3835173869,22913.6065778339,65863.6231895376,132236.967138842,117698.237490509,62481.9168228678,77473.3133617505,89532.0609036407,63057.6540098099,35653.4232218839,104907.426445745,48460.5950359066,73730.0360638739,117698.237490509,72462.9037056211,22913.6065778339,78926.5170199667,100193.368704341,70760.4724012075,129719.414833122,22886.9837102072,59801.542838393,43964.7624627677,22869.6234280531,42708.6691935152,75853.0196472319
"11","327",0.64256,1045,182709.869255286,260140.005459119,373524.480634851,192691.655064,131924.152466336,432096.387732754,258070.595183034,282893.898112286,221894.154021259,182709.869255286,210281.889798785,260140.005459119,432096.387732754,142765.558893998,298441.251872097,403333.672057187,403779.774869822,449977.534446476,349581.929967465,115698.073256682,372281.794105359,258070.595183034,424518.428198967,236083.115813751,220337.609716375,200375.057942574,179428.349456574,240701.209375882,234046.46345145,155689.695947178,346381.548586784,361639.975202691,266075.74357218,392196.380389003,434847.536850545,330036.973034846,237013.091342543,349617.656908796,372281.794105359,303151.427483925,275032.369003002,162689.633182018,468732.098536037,281278.749607008,258070.595183034,434847.536850545,124789.324657661,270790.276665136,220337.609716375,182709.869255286,258070.595183034,125328.427996158,240701.209375882,129682.472217941,349581.929967465,467978.594243993,349581.929967465,117746.834101166,362155.203396838,266075.74357218,179428.349456574,209146.688010642,248447.846758877,344465.463733375,296302.614448082,448660.353695377,449977.534446476,275032.369003002,392196.380389003,368733.375749803,372281.794105359,399754.701263391,468732.098536037,248447.846758877,346381.548586784,227006.482439062,385892.505174867,332470.207083839,392196.380389003,142765.558893998,448660.353695377,303305.379965476,192691.655064,168863.558809594,362439.306632329,256192.673677299,468746.206572594,372281.794105359,396692.754783485,403779.774869822,143621.319685277,449977.534446476,284839.248751426,275032.369003002,296302.614448082,174446.924784825,150306.68973361,181553.079216624,462401.393168543,128026.934434923
