MaxNPV,SQ,CatchShare
0,0,0
-94.0432759970704,0,-92.3593617412196
-89.6123179026844,0,-86.1646982735512
-84.0940203312081,0,-77.2942151078506
-77.3032224890968,0,-66.9574545569476
-69.0662068720394,0,-55.6085894748581
-59.4438499200833,0,-44.3180059771953
-49.9663142912184,0,-33.7043340766086
-42.1679332535508,0,-26.7420607766974
-36.6710871734976,0,-23.3945886233819
-33.3126460712519,0,-20.3803658994918
-29.7433598608849,0,-18.0648622027672
-27.5452920588481,0,-16.4063648262679
-25.3225310346541,0,-14.5061779827312
-23.8569807232987,0,-13.8397183165871
-22.3398122752508,0,-12.9348781155757
-21.1035599996599,0,-12.2486696788665
-20.2474135725495,0,-11.5714109907825
-19.3775119313332,0,-11.2358518111097
-18.9093377826852,0,-10.8550428324862
-18.3900212476359,0,-10.3995365173181
-18.0062390274913,0,-10.111903221168
-17.6658758955265,0,-9.81673660737631
-17.3019673043961,0,-9.4385567888513
-17.1301646395899,0,-9.1611581529751
-16.9346013893191,0,-9.03780457770622
-16.8076127267636,0,-8.73016380118
-16.5240206159094,0,-8.63368666890308
-16.2820395034588,0,-8.63349539495809
-16.1688863766663,0,-8.60025394731367
-16.1359534996497,0,-8.44109861799847
