MaxNPV,SQ,CatchShare
0,0,0
-91.8402548308529,-4.55314256066872,-89.8546231085841
-80.3026432958094,-8.89494775118956,-75.0530252818944
-62.8241039420122,-13.9664280254461,-52.8491606587699
-49.9630559252817,-18.2467180784782,-39.4510642144522
-38.4550069391038,-21.9198013169634,-29.5680447800715
-29.6946854686244,-22.9756617340936,-23.2353111805709
-23.9691973264221,-23.3116762301452,-19.7982609398962
-20.3012423960164,-25.5076150919577,-17.9277365202814
-18.077182304515,-27.5251594592272,-17.0103342881939
-16.786469275883,-29.3851961560103,-16.5896935499225
-16.094718086043,-30.9895479675719,-16.1474286668702
-15.8556607510711,-31.8094605905484,-15.8446347981203
-15.7082197110816,-32.6178873998537,-15.7521591393552
-15.4786204989121,-33.9422806482384,-15.7219802005327
-15.2917366406925,-35.1829815382725,-15.7069723083494
-15.1806259097997,-36.3478702105172,-15.6994928879008
-15.1146627391605,-37.443835185207,-15.6957568992723
-15.0755290249362,-38.4769278595413,-15.6938864311366
-15.0523173494298,-39.4980119955559,-15.6929477914236
-15.0396713899846,-40.9518454807434,-15.6924756895591
-15.036782356233,-42.3241799934392,-15.6922377113479
-15.0350184995549,-42.9940412307922,-15.692117491962
-15.0339416537987,-43.16707048154,-15.6920566343524
-15.0332842515312,-43.3151858720397,-15.6920257653416
-15.0328829218758,-43.4411205306611,-15.6920100776079
-15.0326379215626,-43.5473469259964,-15.6920020905259
-15.0324883568377,-44.0356942328481,-15.6919980170389
-15.0323970528021,-44.6825473214911,-15.6919959361248
-15.0323413150168,-45.3017148951858,-15.6919948714646
-15.0323072891816,-45.8949035489984,-15.6919943259623
