MaxNPV,SQ,CatchShare
0,0,0
-85.7933677909637,0,-77.7778343393134
-82.8301715863231,0,-73.4202004118249
-79.4674594762896,0,-68.5858106550988
-75.6865510906801,0,-63.3208630748873
-71.619338452906,0,-57.8902984870761
-67.3432612835655,0,-52.5210604636945
-62.8177176167307,0,-47.2895376017253
-58.1709000335651,0,-42.1722846202221
-53.553644057648,0,-37.2690542812352
-49.0698776146415,0,-32.6791792691301
-44.7158341211492,0,-28.4727851170001
-40.5633310343301,0,-24.6895584273187
-36.6834060583887,0,-21.3352655826554
-33.1208646508419,0,-18.2976340500479
-29.8962813295262,0,-15.5773981195837
-26.9947320916579,0,-13.4712692877653
-25.0444745929642,0,-12.1933887511753
-23.3649027434261,0,-11.0873101081218
-21.8758824200047,0,-10.1356163606966
-20.5666371536869,0,-9.32104837998705
-19.4236425193506,0,-8.62704180633146
-18.4318816622113,0,-8.03810081449282
-17.5758358468711,0,-7.54002729482931
-16.8402147961926,0,-7.12003170199628
-16.2104572778578,0,-6.76675366063907
-15.6730435387253,0,-6.47021845948258
-15.2152303924219,0,-6.22175162549181
-14.8254045184531,0,-6.01386916635711
-14.4943692682772,0,-5.84015662270188
-14.2139235311051,0,-5.69514620672112
