"","stock","bvbmsy","catch","it1","it2","it3","it4","it5","it6","it7","it8","it9","it10","it11","it12","it13","it14","it15","it16","it17","it18","it19","it20","it21","it22","it23","it24","it25","it26","it27","it28","it29","it30","it31","it32","it33","it34","it35","it36","it37","it38","it39","it40","it41","it42","it43","it44","it45","it46","it47","it48","it49","it50","it51","it52","it53","it54","it55","it56","it57","it58","it59","it60","it61","it62","it63","it64","it65","it66","it67","it68","it69","it70","it71","it72","it73","it74","it75","it76","it77","it78","it79","it80","it81","it82","it83","it84","it85","it86","it87","it88","it89","it90","it91","it92","it93","it94","it95","it96","it97","it98","it99","it100"
"1","10",0.45525,154,1.0976234627052,1.64695595864311,1.63702430641577,1.0976234627052,4.60529715776813,2.12860238658881,0.783880233222609,4.60529715776813,0.969848645420737,1.0976234627052,0.783880233222609,2.38222292928797,1.90833411491604,2.20610497803511,0.889914708044845,1.52740861367529,1.29000622331002,2.27097115668058,1.34440010715777,1.98508254819288,1.34440010715777,2.65521263833794,2.74859867816262,3.39776206981978,1.1694266250376,2.57715031971459,3.79374304163126,2.38526556554261,1.42172602361702,2.54402869387008,2.12860238658881,0.902433441248071,1.21968540164708,1.22434931652585,0.969848645420737,2.57715031971459,2.38222292928797,3.17431972460725,1.47811485903139,3.09021144887453,2.57715031971459,2.2120568127471,1.05534235677543,1.75746460571723,2.15727632919329,1.75746460571723,1.22434931652585,1.08653251175349,2.64189808194604,2.46865178849964,2.02579775107849,1.74167809372427,2.38222292928797,3.27361789091693,2.06105532393554,1.31727328858699,2.74016315338323,1.50932771465206,0.971498143655047,1.47953359005023,0.971498143655047,0.722591243255276,1.16771458668373,2.23107292216757,1.74167809372427,2.06105532393554,0.671732978158264,0.978137492317103,1.62906030022386,2.38222292928797,0.483316139634532,0.825948562928611,2.12860238658881,4.1374444544179,1.42290345220083,3.13643980408115,1.89621986130484,0.671732978158264,2.69719605382354,1.87341366738545,0.978137492317103,1.29000622331002,0.889914708044845,2.22387809358313,2.46865178849964,0.846595749449454,1.34440010715777,1.55493712086211,1.61495083584652,0.483316139634532,1.62906030022386,2.11369384200568,1.93733221153631,3.61659728338674,1.75081197045119,1.52740861367529,2.51373944470287,2.74859867816262,2.69719605382354,1.13790675895711
"2","20",0.57121,208,1.37874320204212,0.699936790855953,0.934265670582089,1.13051056466488,3.27441694609768,1.49721921649626,1.48485061139869,3.40981490445397,1.27538986073868,3.21382682933849,1.48485061139869,3.95516008339531,1.49721921649626,0.774410488220374,7.24202301388249,6.53833707834915,1.69614486466736,1.27538986073868,2.01893851709845,1.70432794778071,1.70432794778071,1.10146110366752,1.30759802725411,0.900180221467707,0.397746295026866,1.10147717998909,2.17475442395143,0.892397438671442,4.30394478646447,1.31941649802971,3.19917290268665,0.397746295026866,0.528504330604742,2.5363755935162,2.46662893016805,2.58880767510512,3.19917290268665,0.969922961179466,1.57679261989834,0.934265670582089,1.31160231739219,1.87538177323142,2.78158609914591,1.12483267350491,1.31941649802971,4.84323361071487,1.32334224036975,0.660801631202849,1.53224921546772,7.24202301388249,4.757166803903,1.5166454002821,3.17825093847428,1.70541872869536,2.17328763796237,1.69336682124347,3.19917290268665,0.774410488220374,4.757166803903,1.79417731002019,0.934265670582089,4.37982970466077,0.528504330604742,2.98162537376372,1.15371777922645,1.13051056466488,2.17475442395143,0.528504330604742,0.426142120116466,0.804865220784375,0.852686336083557,0.934265670582089,1.91568966452011,1.5166454002821,0.969922961179466,0.551319787319368,1.07842313361384,0.617210357165954,0.527293553032708,1.69614486466736,2.22100783601328,1.01061219300491,2.99503467463708,5.11097877742453,1.8391512020214,0.551319787319368,2.01893851709845,2.52633990843383,0.397746295026866,2.58880767510512,0.741111394592885,1.63208661566879,2.5424174261409,2.52633990843383,0.715713746646521,5.89257054693561,5.05552249510312,3.70285651019222,5.41545455945076,2.46662893016805
"3","30",1.8504,2,0.17855288710834,0.29815580120782,0.577848224474316,0.146637309729342,0.343912813845036,0.176520474814074,0.453360450170638,0.625873906348218,0.285236262610791,0.262792585254333,0.560395681955046,0.855169456802027,0.160565620267749,0.198156931802948,0.335453146318824,0.243672946946114,0.210086836319636,0.970085063316137,0.440196463146541,0.297197937658968,0.285236262610791,0.262792585254333,0.547593571011078,0.17855288710834,0.201899345059954,0.400760788065124,0.195537620133585,0.440196463146541,0.737809959778428,0.970085063316137,0.180327578060804,0.476784246414248,0.243672946946114,0.625873906348218,0.231576116479476,0.231576116479476,0.285236262610791,0.69741383982927,0.243672946946114,0.346273871453915,0.169312030125704,0.17855288710834,0.218975859349134,0.371320356576883,0.146637309729342,0.241592254976271,0.184235362088744,0.223305523015138,0.7906101761097,0.560395681955046,0.453360450170638,0.243051042611926,0.403592232740726,0.163876850076295,0.231576116479476,0.273956682754847,0.231576116479476,0.146637309729342,0.201899345059954,0.263924414760369,0.245299637292935,0.199385957822812,0.201899345059954,0.17855288710834,0.855169456802027,0.29815580120782,0.306398068774707,0.264798136692125,0.183673213873132,0.403592232740726,0.180327578060804,0.440196463146541,0.970085063316137,0.223305523015138,0.223305523015138,0.7906101761097,0.146637309729342,0.623593226473812,0.371320356576883,0.970085063316137,0.577848224474316,0.306398068774707,0.7906101761097,0.285236262610791,0.69741383982927,0.282295206482621,0.197437819776557,0.453360450170638,0.205370548397038,0.403592232740726,0.245299637292935,0.197437819776557,0.656951356351062,0.400760788065124,0.338370750394885,0.183673213873132,0.263924414760369,0.245299637292935,0.855169456802027,0.17855288710834
"4","56",0.47745,17,4.55386779654355,1.03401137623933,1.03009770148057,1.52636181660472,2.0254140437914,1.52961875672242,3.40056763257731,1.49876633261815,2.98129635575746,2.98129635575746,5.27343405116104,4.53731666824965,1.92683758280632,2.22608333579611,1.10095484816889,4.41375130457377,1.79678635510649,1.57613689947529,2.62719984847383,2.72371709713803,4.55386779654355,1.25942515664214,1.01654963611516,3.07142244156145,7.1739619029143,2.42911453596232,4.74081692425682,5.16871722948409,2.29708561972858,1.52961875672242,1.59397490788479,2.32378351202159,1.23119377184381,1.0941774599389,1.92683758280632,4.79147788831327,1.09082795204551,4.55386779654355,2.07438169032227,2.23620772928461,0.991899863828548,2.50387696256559,1.03401137623933,2.22608333579611,3.11705417316458,2.93471680483809,1.50815134537941,1.30168938625104,5.27343405116104,1.92683758280632,6.61966743294392,1.46817821361113,5.27343405116104,2.30709856776637,4.74081692425682,5.86182873701114,6.39472062544684,2.07438169032227,6.61966743294392,1.03069538944938,1.8523538158186,1.49876633261815,3.18143124439906,1.79678635510649,6.61966743294392,1.66623227917251,1.64219439720612,1.03069538944938,1.05656347182595,2.44471446839526,6.61966743294392,5.86182873701114,0.770172988305681,6.39472062544684,1.79678635510649,1.01654963611516,2.23620772928461,2.72371709713803,2.72371709713803,1.93900463459291,1.49876633261815,1.10095484816889,1.94755450218968,1.03069538944938,1.81152819622149,2.98129635575746,5.63981534550171,4.1561799947336,4.79147788831327,3.18143124439906,1.72886958201965,1.52636181660472,6.61966743294392,1.12446769131079,4.53731666824965,1.92683758280632,2.93471680483809,2.50387696256559,4.79147788831327,1.10095484816889
"5","76",0.44554,69,4.40328939370232,2.6100138284577,1.70543970105599,2.57082557537414,2.22282442449935,1.80767484150032,2.44091050777209,2.17244968025261,2.94908506588011,1.87538383957612,1.50074017297444,3.7061472639158,1.68301303032498,2.03786498663197,4.6697278721034,1.36020045354979,7.1543062620179,5.78081254956372,2.64409055439849,6.04983179833463,3.83206147000492,0.782078443174085,3.28164647883166,0.955098610674701,1.46538685789605,3.84819653370788,2.62837445542109,1.25955246289781,5.89491804542375,1.68301303032498,2.71054305699527,2.57082557537414,2.03786498663197,1.30734178842544,2.6100138284577,2.62837445542109,2.44206039759402,2.25392993911599,2.64409055439849,2.0742605918877,1.50074017297444,1.95087400594425,4.94856551058427,2.15984129396,2.4310205751013,2.25547374403616,4.21454558708453,4.39334867117308,3.84819653370788,4.85683343038768,2.64626494459772,5.21050576263669,2.71054305699527,1.47447064873573,5.78081254956372,3.26573813806268,2.83046139130967,4.21427972087611,2.0742605918877,1.77118847145398,1.4156407341739,1.95087400594425,2.68932835997531,1.97501003706321,1.02117478467769,2.38865455650515,2.44206039759402,1.68301303032498,5.21050576263669,1.27907431258033,4.94856551058427,2.07625428761077,2.17244968025261,3.6134055468506,0.955098610674701,2.38865455650515,3.6134055468506,4.21427972087611,4.85683343038768,3.0708201268615,0.968659728018982,5.21050576263669,3.84819653370788,2.94908506588011,6.7654637005756,5.35680877164254,2.25392993911599,5.67181408998004,5.21050576263669,2.83046139130967,2.51263075034028,3.49086570346904,1.25955246289781,7.72580496277181,1.25625344321136,2.4310205751013,3.24362203393009,4.21454558708453,2.44206039759402,3.0708201268615
"6","95",1.2515,6618,1.77225634093076,0.71605301589643,1.07605273089791,1.15658881720089,1.12555628107924,1.1563472931614,0.631153939767034,1.77225634093076,1.0071703008965,4.29919560118874,0.71605301589643,0.786650559509305,1.06262634317071,1.23270824745524,1.08731980075178,1.98312219675741,4.34826421690602,1.35615077618176,1.23205578916488,1.1831528299924,1.35615077618176,0.871154605547614,0.744276855979613,1.9208766006268,1.84736707534391,1.91664531844835,1.15658881720089,2.67942784075708,0.565356658915497,1.48400545152653,1.09002875355971,1.84736707534391,1.75394274164306,1.61208191711149,1.13865234393772,3.08617352714504,0.474335147849957,2.92784101609745,0.665339534375135,1.08731980075178,3.63499520039466,0.808223168667398,3.08617352714504,3.9926728188524,2.67942784075708,0.836776216652961,1.26307182240056,1.34809521665051,2.00218953946463,2.33579421621533,1.95374998370878,1.48907174273612,0.563954841578041,0.748414142916799,3.73825340886988,1.07605273089791,1.39050944881933,0.685622973392689,0.541917372368386,1.15235617758531,4.34826421690602,1.23205578916488,5.81251327669069,2.84616772524133,0.744276855979613,0.871154605547614,0.744276855979613,1.1563472931614,1.82253066183458,0.491932699833149,0.973100631852794,1.46290524588782,0.491101910133325,2.1062247670654,1.84736707534391,1.55140726393881,1.82253066183458,1.09002875355971,0.748414142916799,1.26307182240056,1.04647882678849,3.41711511470283,1.35615077618176,0.748414142916799,4.02312711761809,1.82253066183458,0.798246989673491,1.46290524588782,1.98312219675741,2.00218953946463,4.60053390401531,4.02312711761809,0.744276855979613,2.33579421621533,1.3900620187279,2.00218953946463,1.86451588867651,1.26307182240056,0.973100631852794,1.86451588867651
"7","146",0.59297,245,1.30131679908705,1.3281610619353,1.2423840920748,1.76788105075354,1.5750126926667,1.4105104651595,1.30477523708356,2.0268522215384,1.05557199172533,1.30477523708356,1.48398761364003,1.66094918588999,1.04743601372451,1.04743601372451,1.30131679908705,1.23707386288216,1.3173101325049,1.58854338860433,1.34824437870825,1.0215559059902,1.08192283089687,1.18247513779508,1.58854338860433,1.05557199172533,1.12590071442639,1.19246710110995,1.48398761364003,1.30477523708356,1.4890631169568,1.13305755835716,1.97628328800181,1.08192283089687,1.5512734670752,1.07498242630517,2.09439547870403,1.08192283089687,2.25671321975614,1.73822893896025,1.17152381245279,1.86727101544228,1.72451535400895,1.45229551044299,1.34824437870825,1.4890631169568,1.63596890985021,1.2433800081125,1.70834520268039,1.67506243705169,1.18247513779508,1.2423840920748,1.08192283089687,1.8767011552966,1.35606640894348,1.7012112787389,1.7012112787389,2.25671321975614,1.23707386288216,1.13398056299465,1.44067152016129,1.58854338860433,1.48398761364003,1.07305228131867,1.56630573047224,1.86727101544228,1.31482902822272,1.1991322142702,1.56239816648636,1.0175931920518,1.02411447744831,1.9345492946432,1.74291450341539,1.72905244752,1.4105104651595,1.25411901972211,1.18803005540925,1.18803005540925,1.73791067075987,1.07305228131867,1.9345492946432,1.74400463510473,1.42282101597013,1.12590071442639,1.58737250186124,1.07305228131867,1.17152381245279,1.76788105075354,1.2433800081125,1.30477523708356,1.5512734670752,1.33130458304723,1.3281610619353,1.10390433750385,1.19327714233063,1.91422113831546,1.24870302876265,1.19246710110995,1.02411447744831,1.07498242630517,1.3246851534633,1.58854338860433
"8","227",1.0401,140,0.0722840932407634,0.139352490333648,0.23806111985797,0.319462480192865,0.136567531126801,0.0705649669605089,0.0838401672024894,0.0970353719714661,0.10890883157023,0.137598773741895,0.159544063892066,0.0970353719714661,0.198848003740114,0.300420517660942,0.204169619320193,0.203599739764272,0.0635858708214801,0.319462480192865,0.0899215275976718,0.166184807302089,0.0627406577767273,0.282760610384865,0.304500933212539,0.299384098321751,0.075663500032578,0.0705649669605089,0.0788633567886196,0.300420517660942,0.220041932568652,0.105992432879234,0.381388058451266,0.0737926825310118,0.150445325639819,0.082448586685746,0.131539670666635,0.0627406577767273,0.178474563602378,0.0695866946001698,0.107237502493814,0.075663500032578,0.10665024634605,0.155443744198946,0.10665024634605,0.110728064440386,0.0690352652930396,0.082448586685746,0.0788633567886196,0.0835879815196789,0.0697545825291445,0.10576422247611,0.220041932568652,0.203599739764272,0.116006194297158,0.0718476950417941,0.109829115062375,0.0718476950417941,0.107237502493814,0.109829115062375,0.081990725358837,0.110728064440386,0.075663500032578,0.10890883157023,0.300420517660942,0.178474563602378,0.166184807302089,0.198848003740114,0.136657597276845,0.0733794197607934,0.0917894386311549,0.102503863793823,0.10576422247611,0.0697545825291445,0.263000797536198,0.141183820094816,0.132141795690569,0.299384098321751,0.178474563602378,0.304500933212539,0.0737926825310118,0.319462480192865,0.110728064440386,0.151468724580954,0.0722840932407634,0.206130904455379,0.23806111985797,0.347035544061826,0.155443744198946,0.131083127194234,0.319462480192865,0.204169619320193,0.0690352652930396,0.131539670666635,0.0695866946001698,0.0570740723843632,0.121985645890554,0.0961592286650452,0.178474563602378,0.0695866946001698,0.131083127194234,0.0722840932407634
"10","320",2,2781,0.177667901099363,2.03566889691871,0.718830179337742,0.366359404871451,0.728820729837687,1.555456186544,0.705452871912737,1.09644077359697,1.09644077359697,0.345291872689161,0.548094914837058,0.363889867602592,1.24562704854014,0.290667981049699,1.16795178831811,1.02352630534759,0.518091254825263,1.43745934866219,1.24562704854014,1.05231757758949,0.354715936628081,0.354715936628081,0.644904235389288,0.50986911276337,0.906369309392502,0.177667901099363,0.88287276939157,0.822516715694542,0.195393489142071,1.02352630534759,0.386047632634775,0.177667901099363,1.5739727920197,1.770279759743,0.85789244144003,0.871030258723808,1.70835198089337,1.55649889105002,0.400891544992151,0.103574712335198,0.285670081755374,1.43745934866219,1.770279759743,0.868575070297193,1.40967104701189,0.871030258723808,1.13020278879076,0.822516715694542,1.02352630534759,0.501571444602541,2.4475098603878,1.02352630534759,0.708276742803895,0.548094914837058,0.354715936628081,0.976433087635199,0.321848118710889,0.719891667281885,0.488486343254646,0.491517861124278,1.48509923443826,0.906369309392502,0.191381790227849,0.285670081755374,0.150354261786584,1.05866455656826,0.367845196325782,0.150354261786584,0.572347498463017,0.753925652092021,0.257362089489837,1.16351706129759,1.0511190802526,0.366359404871451,1.0511190802526,0.8615766827596,0.243030435077781,0.345291872689161,0.347344923166981,0.245467568566087,0.515517749151755,0.285670081755374,1.74247262697255,2.03566889691871,0.120617799015519,0.610382724577981,0.21930033096525,0.347344923166981,0.318349358798362,0.8615766827596,0.327482080795014,0.120253638851603,0.195393489142071,0.383772137563681,1.13092458926447,0.961722098890776,0.936739292229279,0.906369309392502,0.501571444602541,1.05231757758949
"11","327",0.64256,1045,1.24376850939054,0.253803318446277,0.363229661551151,1.14854724668617,0.791853012354766,0.138179616435216,0.727653657232807,0.672314966756567,0.638156688028705,1.24376850939054,0.857345311755223,0.253803318446277,0.138179616435216,0.87890699059148,0.293160337522423,0.544566300975021,0.40076013902761,0.123718298147243,0.234661988217538,0.629713968023711,0.17815917868341,0.727653657232807,0.166307027139637,0.297253903558802,0.273961770386404,0.213260338037212,1.14950257798975,0.735668339591896,0.752156585228886,0.943703825001085,0.450975232372863,0.391581306530281,0.775295056618212,0.301041710447122,0.179969132210249,0.265348663961971,0.355885855185743,0.370619291325068,0.17815917868341,0.224181732268719,0.339367240720547,0.857517777935938,0.213588743813867,0.503147352255781,0.727653657232807,0.179969132210249,0.567642979413874,0.440995523020858,0.273961770386404,1.24376850939054,0.727653657232807,0.570883348807041,0.735668339591896,0.770904999622417,0.234661988217538,0.446860614497217,0.234661988217538,0.645961000499225,0.400801780080362,0.775295056618212,1.14950257798975,0.904294611244373,0.373965319419789,0.502415938520767,0.473535541600181,0.176977863448986,0.123718298147243,0.339367240720547,0.301041710447122,0.398210790007223,0.17815917868341,0.563209070336426,0.213588743813867,0.373965319419789,0.450975232372863,0.501962479550901,0.322460009460843,0.394585720363576,0.301041710447122,0.87890699059148,0.176977863448986,0.390723393415907,1.14854724668617,0.561971294383809,0.45086646100743,0.292980665110997,0.148334849864688,0.17815917868341,0.131250944430382,0.40076013902761,0.742654019648964,0.123718298147243,0.572964298911281,0.339367240720547,0.473535541600181,1.13656974400416,0.316727897104241,1.22421418702563,0.368956579678615,0.592346287021474
