"","stock","bvbmsy","catch","it1","it2","it3","it4","it5","it6","it7","it8","it9","it10","it11","it12","it13","it14","it15","it16","it17","it18","it19","it20","it21","it22","it23","it24","it25","it26","it27","it28","it29","it30","it31","it32","it33","it34","it35","it36","it37","it38","it39","it40","it41","it42","it43","it44","it45","it46","it47","it48","it49","it50","it51","it52","it53","it54","it55","it56","it57","it58","it59","it60","it61","it62","it63","it64","it65","it66","it67","it68","it69","it70","it71","it72","it73","it74","it75","it76","it77","it78","it79","it80","it81","it82","it83","it84","it85","it86","it87","it88","it89","it90","it91","it92","it93","it94","it95","it96","it97","it98","it99","it100"
"1","10",0.45525,154,0.153690298919591,0.105206526720876,0.216465166051763,0.153690298919591,0.0617530684970198,0.164393791089549,0.208655862735041,0.0617530684970198,0.116143519972222,0.153690298919591,0.208655862735041,0.101261656371152,0.16253225289839,0.157549674015592,0.203581026737322,0.129376762219044,0.0960479026815871,0.0979430144738967,0.0943794607557958,0.151757663859705,0.0943794607557958,0.0526384251978932,0.0622019327813844,0.0738391680234334,0.16071084989231,0.079247061104571,0.0807774047603667,0.0514017695648791,0.203155756812051,0.130602872256483,0.164393791089549,0.150122759212948,0.182533271908994,0.0946876992145223,0.116143519972222,0.079247061104571,0.101261656371152,0.0544386294277524,0.0977564597436116,0.0851650628900699,0.079247061104571,0.171467928388605,0.127749652701109,0.113961496105598,0.152413333781279,0.113961496105598,0.0946876992145223,0.165278832956848,0.0666328533627464,0.0796917038313524,0.186244991914923,0.138444251213206,0.101261656371152,0.0542883128055579,0.0858675535492913,0.145917774375549,0.0592375473611494,0.114483691694531,0.168075891748705,0.158369960697992,0.168075891748705,0.245582619237241,0.10944956521053,0.0752052277524858,0.138444251213206,0.0858675535492913,0.18851237909727,0.113763913881557,0.0907252782692903,0.101261656371152,0.259542539896339,0.151553616711929,0.164393791089549,0.0540825718575698,0.195851068608804,0.0724763438184997,0.18100308092331,0.18851237909727,0.0536008293505761,0.219888649570169,0.113763913881557,0.0960479026815871,0.203581026737322,0.0622070811868671,0.0796917038313524,0.313891391674286,0.0943794607557958,0.0898139679384278,0.0930705854420068,0.259542539896339,0.0907252782692903,0.170415774203812,0.133235029016388,0.0637310740559013,0.118953497447966,0.129376762219044,0.0564270682697935,0.0622019327813844,0.0536008293505761,0.168309835531755
"2","20",0.57121,208,0.370804803125917,0.625463181842841,0.657441371173838,0.365973251131249,0.0664128003167177,0.144757716567199,0.218565946627034,0.0965729939405546,0.226948973364755,0.103817813815558,0.218565946627034,0.0731255555064451,0.144757716567199,0.54705726722725,0.0511891348294097,0.0575635768805368,0.197456710380007,0.226948973364755,0.133759228499747,0.65907699720206,0.65907699720206,0.210731969456927,0.268650947012439,0.50793954186513,0.619108866814493,0.333432587843756,0.280657238374144,0.257769925025221,0.086298749485257,0.191900373258109,0.164326930185637,0.619108866814493,0.575264298036959,0.150753748902955,0.134125007947831,0.398787271473024,0.164326930185637,0.247293593246181,0.197261936467565,0.657441371173838,0.470453510509952,0.167661892250305,0.290438037223556,0.244874368209426,0.191900373258109,0.0653651553204048,0.319965603795079,0.463670822524475,0.150324399097333,0.0511891348294097,0.0525132578084243,0.495271103706382,0.0938127107937822,0.14182027301879,0.248354090057819,0.659544244276322,0.164326930185637,0.54705726722725,0.0525132578084243,0.324783342813713,0.657441371173838,0.068599550480244,0.575264298036959,0.0905012481713472,0.188148998633719,0.365973251131249,0.280657238374144,0.575264298036959,0.509050730949464,0.408116113537621,0.275715893569172,0.657441371173838,0.392503285831235,0.495271103706382,0.247293593246181,0.648201201437655,0.296878448325346,0.704923958150697,0.494126531976048,0.197456710380007,0.289857490869751,0.355022164839313,0.213287722230084,0.080234988801714,0.172841290070904,0.648201201437655,0.133759228499747,0.294799234186666,0.619108866814493,0.398787271473024,0.306282595767049,0.387680972096792,0.235714454961088,0.294799234186666,0.309398306915572,0.0585893564000293,0.0560586828551293,0.0639545115083035,0.0618478888806796,0.134125007947831
"3","30",1.8504,2,0.338007213790826,0.267009817634405,0.103615986339957,0.401193336715594,0.172333123414455,0.328444832761958,0.131667011711502,0.0908177862205547,0.267824814399056,0.300627636868937,0.110973166151466,0.0709747480644563,0.383594845723909,0.325804308068181,0.219993086556929,0.357009920286528,0.359065560878158,0.0596780258564923,0.164919131963251,0.296854247072248,0.267824814399056,0.300627636868937,0.111003342709175,0.338007213790826,0.385304425784315,0.148497000326386,0.31202057841816,0.164919131963251,0.0773497524005358,0.0596780258564923,0.316618615411484,0.129774178828137,0.357009920286528,0.0908177862205547,0.299292112716007,0.299292112716007,0.267824814399056,0.0867080625923427,0.357009920286528,0.171898966239516,0.382058916918493,0.338007213790826,0.33230386777333,0.178798190684379,0.401193336715594,0.270885523001217,0.309701135244568,0.273540418170206,0.0742448159127461,0.110973166151466,0.131667011711502,0.287156019708949,0.145744060034999,0.371230074135357,0.299292112716007,0.290071153645726,0.299292112716007,0.401193336715594,0.385304425784315,0.245103345923276,0.37745539360952,0.310758308127716,0.385304425784315,0.338007213790826,0.0709747480644563,0.267009817634405,0.276214060061879,0.294136207340713,0.412926108108164,0.145744060034999,0.316618615411484,0.164919131963251,0.0596780258564923,0.273540418170206,0.273540418170206,0.0742448159127461,0.401193336715594,0.0990088973486074,0.178798190684379,0.0596780258564923,0.103615986339957,0.276214060061879,0.0742448159127461,0.267824814399056,0.0867080625923427,0.201717339196087,0.334332864183597,0.131667011711502,0.319949499950269,0.145744060034999,0.37745539360952,0.334332864183597,0.0981678205352828,0.148497000326386,0.219490541051492,0.412926108108164,0.245103345923276,0.37745539360952,0.0709747480644563,0.338007213790826
"4","56",0.47745,17,0.091011049136733,0.681824041354264,0.472058171604582,0.608200652914045,0.543857428091391,0.305939489477783,0.12018577272246,0.752343899877086,0.263852305757576,0.263852305757576,0.116312640336049,0.156279425714264,0.721163378005455,0.381308900119826,0.585123710229512,0.139874590418384,0.560480083458044,0.450936059848137,0.282925065827002,0.398927859520237,0.091011049136733,0.38930884112361,0.389925773265316,0.144867352533799,0.0664147009291136,0.213137150651058,0.140790498859997,0.0869509180738499,0.289253009155392,0.305939489477783,0.608929296357432,0.431422524738059,0.348336032486698,0.358758969557426,0.721163378005455,0.140063167071837,0.371938397313067,0.091011049136733,0.710797823603814,0.339660950949509,0.59715532389146,0.225915904542799,0.681824041354264,0.381308900119826,0.206467922133692,0.271951053810128,0.856346726428664,0.737893101762566,0.116312640336049,0.721163378005455,0.0911161709273954,0.744570188567004,0.116312640336049,0.285079233998502,0.140790498859997,0.106748764985611,0.0891819086326418,0.710797823603814,0.0911161709273954,0.562994081730576,0.328615856459354,0.752343899877086,0.238711570970944,0.560480083458044,0.0911161709273954,0.283065288565862,0.615097261873936,0.562994081730576,0.401477651854894,0.471538160924715,0.0911161709273954,0.106748764985611,0.518080038339415,0.0891819086326418,0.560480083458044,0.389925773265316,0.339660950949509,0.398927859520237,0.398927859520237,0.436630556657721,0.752343899877086,0.585123710229512,0.203991448317316,0.562994081730576,0.671133143981284,0.263852305757576,0.1111436872653,0.0967563203455827,0.140063167071837,0.238711570970944,0.560505247424893,0.608200652914045,0.0911161709273954,0.750527095578253,0.156279425714264,0.721163378005455,0.271951053810128,0.225915904542799,0.140063167071837,0.585123710229512
"5","76",0.44554,69,0.0961636013165648,0.398441025209605,0.516429195268647,0.521195601978492,0.547073887141013,0.844547087343564,0.263783967516116,0.192582677540916,0.553325331477549,0.222451165320093,0.286774731157872,0.162173329505062,0.471082842184082,0.715451133465063,0.0924395308755116,0.402357384331656,0.106432242004879,0.0953283214787242,0.426735242688224,0.126850758572515,0.218185171724963,0.637536064370168,0.481029260209305,0.703618218329043,0.366957604986557,0.247423522369561,0.756927353462033,0.468485858846275,0.121545284095779,0.471082842184082,0.686052482374998,0.521195601978492,0.715451133465063,0.801549563207296,0.398441025209605,0.756927353462033,0.359136124301951,0.518821593678165,0.426735242688224,0.718876621710389,0.286774731157872,0.30000016705503,0.102203610717078,0.768767358973412,0.1640338015537,0.659098546797879,0.175354667286768,0.181431004267768,0.247423522369561,0.111277764302682,0.160386147718184,0.128659341736615,0.686052482374998,0.814439497116889,0.0953283214787242,0.232174515558207,0.148671638442455,0.10122247689553,0.718876621710389,0.231588239628511,0.369447135059713,0.30000016705503,0.318544749296864,0.873515750335835,0.473266460076651,0.200642589013924,0.359136124301951,0.471082842184082,0.128659341736615,0.40114053975025,0.102203610717078,0.39253967994362,0.192582677540916,0.130994263753192,0.703618218329043,0.200642589013924,0.130994263753192,0.10122247689553,0.111277764302682,0.579068967994398,0.553183081842937,0.128659341736615,0.247423522369561,0.553325331477549,0.0904852245282531,0.077093951740809,0.518821593678165,0.0846288315376947,0.128659341736615,0.148671638442455,0.678609248162373,0.129648884848007,0.468485858846275,0.0698709313274818,0.567662481266548,0.1640338015537,0.285838130642762,0.175354667286768,0.359136124301951,0.579068967994398
"6","95",1.2515,6618,0.232440703392563,0.535115161318092,0.404564095969796,0.567567931181985,0.426942412242402,0.248806082456913,0.521713896918352,0.232440703392563,0.650227308008489,0.0662674224510485,0.535115161318092,0.459850365148438,0.338985200478719,0.346480799667681,0.475769962678668,0.202065560159199,0.0659565155905305,0.219121678852915,0.51306480369806,0.294060173028296,0.219121678852915,0.51899906950821,0.694382754129122,0.18200235560213,0.176639053888804,0.157498623701033,0.567567931181985,0.113719722726993,0.480484079368384,0.270740481823877,0.289008393663423,0.176639053888804,0.187900999007661,0.229812622475777,0.455742003265135,0.121969134623896,0.628969484426108,0.0943114036540027,0.622464470872134,0.475769962678668,0.0945035145262717,0.479867465026648,0.121969134623896,0.0744108386854039,0.113719722726993,0.507155429385514,0.501099249372841,0.220792166288033,0.134343827548255,0.148693972039533,0.150710386623635,0.241318832372691,0.53830988055099,0.666739922516701,0.093588189431209,0.404564095969796,0.231985926591738,0.519701032786706,0.689996074166162,0.295324854390535,0.0659565155905305,0.51306480369806,0.0514761172082142,0.14068189392999,0.694382754129122,0.51899906950821,0.694382754129122,0.248806082456913,0.178843938339077,0.705347176998702,0.392357381658018,0.305846674958945,0.638761516361936,0.151721356157863,0.176639053888804,0.242722110322026,0.178843938339077,0.289008393663423,0.666739922516701,0.501099249372841,0.323365647515045,0.0854720385464596,0.219121678852915,0.666739922516701,0.0709242143604818,0.178843938339077,0.454370049962289,0.305846674958945,0.202065560159199,0.134343827548255,0.073300931812367,0.0709242143604818,0.694382754129122,0.148693972039533,0.426714919406338,0.134343827548255,0.189938704545606,0.501099249372841,0.392357381658018,0.189938704545606
"7","146",0.59297,245,0.110176237752085,0.168912268068587,0.164322593044624,0.0801967127246122,0.0856192991649722,0.156338540365604,0.117783024238882,0.0753053314553342,0.17600111675018,0.117783024238882,0.0937377677352765,0.0944567474386085,0.164537321768509,0.164537321768509,0.110176237752085,0.182524361124332,0.181400926333344,0.0929586153045771,0.137468156428475,0.165661843098964,0.124231817438755,0.134295331161449,0.0929586153045771,0.17600111675018,0.142309678655672,0.163106447558566,0.0937377677352765,0.117783024238882,0.125220652420025,0.138669424047635,0.0691856918854937,0.124231817438755,0.15132350515139,0.181636290830979,0.0697034983831125,0.124231817438755,0.0695510534254981,0.12526461433309,0.135251729762186,0.0704754961655661,0.10989284318793,0.132383256744435,0.137468156428475,0.125220652420025,0.0828335358164946,0.130135650112678,0.0886589431331239,0.0837788644059959,0.134295331161449,0.164322593044624,0.124231817438755,0.0804721980078516,0.148052315411331,0.116434516238058,0.116434516238058,0.0695510534254981,0.182524361124332,0.121296358191463,0.102755331579771,0.0929586153045771,0.0937377677352765,0.122029420522954,0.149266235786119,0.0704754961655661,0.160457411579801,0.110805823165063,0.12331078330558,0.149295150763663,0.152467185800642,0.0829331200101061,0.0947151765892849,0.0952133060613253,0.156338540365604,0.182745123162999,0.118162010284871,0.118162010284871,0.125314852405053,0.122029420522954,0.0829331200101061,0.0784245724764459,0.130839988364072,0.142309678655672,0.100731525070902,0.122029420522954,0.135251729762186,0.0801967127246122,0.130135650112678,0.117783024238882,0.15132350515139,0.176142202214899,0.168912268068587,0.120801002120005,0.116759107059187,0.0883235434116152,0.152209909373023,0.163106447558566,0.152467185800642,0.181636290830979,0.117229780611578,0.0929586153045771
"8","227",1.0401,140,0.386226396708408,0.126877024891837,0.0927944468988787,0.0674403474150894,0.172695723582586,0.412187065074374,0.396651609661011,0.25966531924861,0.16892296798892,0.166069140900462,0.161981587208494,0.25966531924861,0.0981219940455214,0.0676571913464882,0.134134361890693,0.0950643893001518,0.283551859533416,0.0674403474150894,0.269685042174969,0.109128578406028,0.397044431320659,0.0645875225406635,0.0695354073789281,0.0686802333946862,0.366180254346335,0.412187065074374,0.440834090515045,0.0676571913464882,0.104869102539972,0.166263647140709,0.0517727633101855,0.304222152443384,0.175249005713334,0.244562010116197,0.190177711585862,0.397044431320659,0.169750991864205,0.313657398016991,0.305933575058963,0.366180254346335,0.310303366222769,0.173723253747237,0.310303366222769,0.285746861468524,0.267364718152844,0.244562010116197,0.440834090515045,0.268818049388805,0.310251946812856,0.261235394134948,0.104869102539972,0.0950643893001518,0.314401250944471,0.238905338888287,0.360529441232858,0.238905338888287,0.305933575058963,0.360529441232858,0.504628768561589,0.285746861468524,0.366180254346335,0.16892296798892,0.0676571913464882,0.169750991864205,0.109128578406028,0.0981219940455214,0.210423148315546,0.301949599829685,0.197689440186202,0.349595993030334,0.261235394134948,0.310251946812856,0.066374724313026,0.134002018358458,0.130378789640784,0.0686802333946862,0.169750991864205,0.0695354073789281,0.304222152443384,0.0674403474150894,0.285746861468524,0.138910767498871,0.386226396708408,0.0911070530746257,0.0927944468988787,0.0578238736900133,0.173723253747237,0.249571296671485,0.0674403474150894,0.134134361890693,0.267364718152844,0.190177711585862,0.313657398016991,0.310075765280056,0.209564010071202,0.369629747530233,0.169750991864205,0.313657398016991,0.249571296671485,0.386226396708408
"10","320",2,2781,0.291976946865102,0.0766341966301627,0.0698516915516993,0.170329090481493,0.0933872015537806,0.0544981758809049,0.0929945552168981,0.149355092450715,0.149355092450715,0.121812469622051,0.177978611765038,0.125700101679749,0.151551938502589,0.164878324507386,0.11605055098477,0.184992169222032,0.153601431540505,0.144570659547755,0.151551938502589,0.0696805043370492,0.438638895526306,0.438638895526306,0.412445758032774,0.19395554549961,0.268328485570563,0.291976946865102,0.0900746970459259,0.0912841618458957,0.402281603666919,0.184992169222032,0.138675062351587,0.291976946865102,0.046252309746864,0.0830404793550729,0.0519237003238985,0.467710164294183,0.0603516324896018,0.0465959448511041,0.125318131399338,0.451338325344507,0.2174641361337,0.144570659547755,0.0830404793550729,0.242507690880902,0.0789271344764593,0.467710164294183,0.0558928415245201,0.0912841618458957,0.184992169222032,0.259646302395833,0.0394750815191957,0.184992169222032,0.291300450882364,0.177978611765038,0.438638895526306,0.0931557816562778,0.426450603665065,0.398073084487336,0.248023540699982,0.105847539336961,0.0775448926797047,0.268328485570563,0.274933401187298,0.2174641361337,0.415692616236042,0.18125546531281,0.481313111748505,0.415692616236042,0.16034503608927,0.0967336603485269,0.220492153554112,0.0395849812325358,0.326165205702002,0.170329090481493,0.326165205702002,0.281736811672244,0.347475911126603,0.121812469622051,0.136050477244259,0.362645689210497,0.139262834960424,0.2174641361337,0.0506205909558044,0.0766341966301627,0.439555128922171,0.188035569008875,0.343991135459438,0.136050477244259,0.241107806554534,0.281736811672244,0.21518921697438,0.461629738831039,0.402281603666919,0.111725565757544,0.214886324277799,0.0967094693546447,0.135054020059487,0.268328485570563,0.259646302395833,0.0696805043370492
"11","327",0.64256,1045,0.0286260240165471,0.0985276566558973,0.047947086050913,0.0293934675560626,0.0622721282963772,0.1089526948177,0.0346417126611676,0.0342031602783532,0.0459398327051424,0.0286260240165471,0.0360831917557047,0.0985276566558973,0.1089526948177,0.051843728356988,0.0743530056043069,0.0296174287238888,0.0402006906945377,0.116852450927233,0.0792995774741817,0.0892880095620109,0.0980804827691302,0.0346417126611676,0.0921415358848439,0.0926979436482801,0.107766554329376,0.152233012205606,0.0315399923216482,0.0367368788958941,0.036953216776,0.0442758603696141,0.0416442604973953,0.0459371675148939,0.0315348155873032,0.0550975567499993,0.0831242152011427,0.0742819155152153,0.0771222218806192,0.0502043346470781,0.0980804827691302,0.0957200147197981,0.0696961627651442,0.0466293737220017,0.064976982441522,0.0459653403902403,0.0346417126611676,0.0831242152011427,0.0918353508910549,0.0544747628754054,0.107766554329376,0.0286260240165471,0.0346417126611676,0.0909212979168155,0.0367368788958941,0.0650699467883439,0.0792995774741817,0.0311074583321613,0.0792995774741817,0.0855277520557022,0.0448165296231155,0.0315348155873032,0.0315399923216482,0.0343955026487463,0.0700157957563968,0.0375883706536509,0.0463633203260808,0.0819267926090935,0.116852450927233,0.0696961627651442,0.0550975567499993,0.0443034066532833,0.0980804827691302,0.0288934482131997,0.064976982441522,0.0700157957563968,0.0416442604973953,0.0570890846743353,0.0522781714632031,0.0495870756014283,0.0550975567499993,0.051843728356988,0.0819267926090935,0.0548925071439816,0.0293934675560626,0.0685507995957182,0.0398088263476396,0.0866676315414479,0.0935581514863846,0.0980804827691302,0.124941262281687,0.0402006906945377,0.0609897911185302,0.116852450927233,0.0398598078830991,0.0696961627651442,0.0463633203260808,0.0328097700256974,0.13664632853714,0.0292685742803676,0.0381301225828007,0.0857799083485042
