id,sname,year,catch
1,Ablennes hians,36,5000
1,Ablennes hians,41,8063
1,Ablennes hians,42,11276
1,Ablennes hians,43,16742
1,Ablennes hians,44,15597
1,Ablennes hians,45,10408
1,Ablennes hians,46,6019
1,Ablennes hians,47,3191
1,Ablennes hians,48,8439
1,Ablennes hians,49,1687
1,Ablennes hians,50,6465
1,Ablennes hians,51,1
1,Ablennes hians,52,6465
1,Ablennes hians,53,1
1,Ablennes hians,54,12790
1,Ablennes hians,55,14869
1,Ablennes hians,56,16589
1,Ablennes hians,57,7285
1,Ablennes hians,58,13256
1,Ablennes hians,59,5500
1,Ablennes hians,60,1687
1,Ablennes hians,61,8791
2,Acanthocybium solandri,1,10098
2,Acanthocybium solandri,2,10098
2,Acanthocybium solandri,3,12790
2,Acanthocybium solandri,4,10098
2,Acanthocybium solandri,5,10098
2,Acanthocybium solandri,6,10098
2,Acanthocybium solandri,7,10098
2,Acanthocybium solandri,8,10098
2,Acanthocybium solandri,9,10098
2,Acanthocybium solandri,10,10098
2,Acanthocybium solandri,11,10098
2,Acanthocybium solandri,12,10098
2,Acanthocybium solandri,13,10098
2,Acanthocybium solandri,14,10098
2,Acanthocybium solandri,15,10098
2,Acanthocybium solandri,16,10098
2,Acanthocybium solandri,17,10098
2,Acanthocybium solandri,18,10098
2,Acanthocybium solandri,19,10098
2,Acanthocybium solandri,20,10098
2,Acanthocybium solandri,21,10098
2,Acanthocybium solandri,22,12790
2,Acanthocybium solandri,23,10098
2,Acanthocybium solandri,24,14869
2,Acanthocybium solandri,25,10098
2,Acanthocybium solandri,26,10098
2,Acanthocybium solandri,27,10098
2,Acanthocybium solandri,28,10098
2,Acanthocybium solandri,29,10098
2,Acanthocybium solandri,30,10098
2,Acanthocybium solandri,31,12790
2,Acanthocybium solandri,32,12790
2,Acanthocybium solandri,33,14869
2,Acanthocybium solandri,34,16590
2,Acanthocybium solandri,35,19121
2,Acanthocybium solandri,36,14089
2,Acanthocybium solandri,37,609
2,Acanthocybium solandri,38,4547
2,Acanthocybium solandri,39,7210
2,Acanthocybium solandri,40,9245
2,Acanthocybium solandri,41,5768
2,Acanthocybium solandri,42,17628
2,Acanthocybium solandri,43,5500
2,Acanthocybium solandri,44,18659
2,Acanthocybium solandri,45,18769
2,Acanthocybium solandri,46,19976
2,Acanthocybium solandri,47,20283
2,Acanthocybium solandri,48,18889
2,Acanthocybium solandri,49,17957
2,Acanthocybium solandri,50,13499
2,Acanthocybium solandri,51,16152
2,Acanthocybium solandri,52,15150
2,Acanthocybium solandri,53,16555
2,Acanthocybium solandri,54,17152
2,Acanthocybium solandri,55,14345
2,Acanthocybium solandri,56,13020
2,Acanthocybium solandri,57,14384
2,Acanthocybium solandri,58,14635
2,Acanthocybium solandri,59,14790
2,Acanthocybium solandri,60,14177
2,Acanthocybium solandri,61,13195
3,Aristeus antennatus,5,6467
3,Aristeus antennatus,6,6467
3,Aristeus antennatus,7,3
3,Aristeus antennatus,8,12792
3,Aristeus antennatus,9,18031
3,Aristeus antennatus,10,18031
3,Aristeus antennatus,11,13896
3,Aristeus antennatus,12,19231
3,Aristeus antennatus,13,18031
3,Aristeus antennatus,14,14871
3,Aristeus antennatus,15,18031
3,Aristeus antennatus,16,19231
3,Aristeus antennatus,17,4
3,Aristeus antennatus,18,3823
3,Aristeus antennatus,19,4
3,Aristeus antennatus,20,4
3,Aristeus antennatus,21,20284
3,Aristeus antennatus,22,19231
3,Aristeus antennatus,23,18632
3,Aristeus antennatus,24,1393
3,Aristeus antennatus,25,6155
3,Aristeus antennatus,26,3167
3,Aristeus antennatus,27,1617
3,Aristeus antennatus,28,3002
3,Aristeus antennatus,29,3818
3,Aristeus antennatus,30,1745
3,Aristeus antennatus,31,3823
3,Aristeus antennatus,32,5269
3,Aristeus antennatus,33,6511
3,Aristeus antennatus,34,6570
3,Aristeus antennatus,35,6651
3,Aristeus antennatus,36,6733
3,Aristeus antennatus,37,11611
3,Aristeus antennatus,38,13023
3,Aristeus antennatus,39,20618
3,Aristeus antennatus,40,3992
3,Aristeus antennatus,41,3509
3,Aristeus antennatus,42,4629
3,Aristeus antennatus,43,5176
3,Aristeus antennatus,44,4244
3,Aristeus antennatus,45,4601
3,Aristeus antennatus,46,2751
3,Aristeus antennatus,47,3378
3,Aristeus antennatus,48,2930
3,Aristeus antennatus,49,4851
3,Aristeus antennatus,50,2742
3,Aristeus antennatus,51,6041
3,Aristeus antennatus,52,7324
3,Aristeus antennatus,53,6516
3,Aristeus antennatus,54,6743
3,Aristeus antennatus,55,8041
3,Aristeus antennatus,56,8116
3,Aristeus antennatus,57,8263
3,Aristeus antennatus,58,7329
3,Aristeus antennatus,59,8815
3,Aristeus antennatus,60,7930
3,Aristeus antennatus,61,6407
4,Pandalus jordani,48,18729
4,Pandalus jordani,49,6646
4,Pandalus jordani,50,10225
4,Pandalus jordani,51,5001
4,Pandalus jordani,52,1119
4,Pandalus jordani,53,12131
4,Pandalus jordani,54,13120
4,Pandalus jordani,55,8973
4,Pandalus jordani,56,5203
4,Pandalus jordani,57,9781
5,Pandalus kessleri,48,1951
5,Pandalus kessleri,49,15770
5,Pandalus kessleri,50,20973
5,Pandalus kessleri,51,18659
