,CommName,SpeciesCatName,SciName,CommGroup
399426,Little tunny(=Atl.black skipj),"Tunas, bonitos, billfishes",Euthynnus alletteratus,Major Tuna Species
399489,Atlantic bluefin tuna,"Tunas, bonitos, billfishes",Thunnus thynnus,Major Tuna Species
399804,Skipjack tuna,"Tunas, bonitos, billfishes",Katsuwonus pelamis,Major Tuna Species
400434,Yellowfin tuna,"Tunas, bonitos, billfishes",Thunnus albacares,Major Tuna Species
400497,Albacore,"Tunas, bonitos, billfishes",Thunnus alalunga,Major Tuna Species
400560,Bigeye tuna,"Tunas, bonitos, billfishes",Thunnus obesus,Major Tuna Species
400875,Southern bluefin tuna,"Tunas, bonitos, billfishes",Thunnus maccoyii,Major Tuna Species
399741,Frigate and bullet tunas,"Tunas, bonitos, billfishes","Auxis thazard, A. rochei",Minor Tuna Species
400056,Kawakawa,"Tunas, bonitos, billfishes",Euthynnus affinis,Minor Tuna Species
400119,Longtail tuna,"Tunas, bonitos, billfishes",Thunnus tonggol,Minor Tuna Species
403325,Blackfin tuna,"Tunas, bonitos, billfishes",Thunnus atlanticus,Minor Tuna Species
409208,Slender tuna,"Tunas, bonitos, billfishes",Allothunnus fallai,Minor Tuna Species
4885,Indo-Pacific swamp crab,"Crabs, sea-spiders",Scylla serrata,Portunidae
11974,Blue swimming crab,"Crabs, sea-spiders",Portunus pelagicus,Portunidae
29725,Portunus swimcrabs nei,"Crabs, sea-spiders",Portunus spp,Portunidae
35219,Velvet swimcrab,"Crabs, sea-spiders",Necora puber,Portunidae
40769,Dana swimcrab,"Crabs, sea-spiders",Callinectes danae,Portunidae
148370,Blue crab,"Crabs, sea-spiders",Callinectes sapidus,Portunidae
177672,Charybdis crabs nei,"Crabs, sea-spiders",Charybdis spp,Portunidae
178426,Gazami crab,"Crabs, sea-spiders",Portunus trituberculatus,Portunidae
16221,Atlantic salmon,"Salmons, trouts, smelts",Salmo salar,Salmon
43295,Chinook(=Spring=King) salmon,"Salmons, trouts, smelts",Oncorhynchus tshawytscha,Salmon
43421,Chum(=Keta=Dog) salmon,"Salmons, trouts, smelts",Oncorhynchus keta,Salmon
43610,Coho(=Silver) salmon,"Salmons, trouts, smelts",Oncorhynchus kisutch,Salmon
46164,Masu(=Cherry) salmon,"Salmons, trouts, smelts",Oncorhynchus masou,Salmon
47357,Pink(=Humpback) salmon,"Salmons, trouts, smelts",Oncorhynchus gorbuscha,Salmon
48652,Salmonoids nei,"Salmons, trouts, smelts",Salmonoidei,Salmon
49713,Sockeye(=Red) salmon,"Salmons, trouts, smelts",Oncorhynchus nerka,Salmon
