id,maxl,vbk,area,agem,temp,spcat
1,46,0.48,9108,1.5,7.7,35
2,46,0.48,9108,1.5,7.7,35
9,76,0.144666664,NaN,7,NaN,31
39,NaN,NaN,NaN,NaN,NaN,33
43,NaN,NaN,NaN,NaN,NaN,43
44,NaN,NaN,NaN,NaN,NaN,43
45,NaN,NaN,NaN,NaN,NaN,43
47,175,0.074500002,11880,14.70000029,NaN,34
49,NaN,NaN,NaN,NaN,NaN,45
52,NaN,NaN,NaN,NaN,NaN,45
56,75,0.0595,10164,27.5,6,34
64,112,0.232304349,5632,2.57249999,8.35,32
65,112,0.232304349,5632,2.57249999,8.35,32
67,200,0.12,7020,5,6.805,32
78,130,0.145181818,4884,3.449999988,NaN,32
80,45,0.358015872,7003,3.464705888,9.5,35
81,45,0.358015872,7003,3.464705888,9.5,35
83,45,0.358015872,7003,3.464705888,9.5,35
84,45,0.358015872,7003,3.464705888,9.5,35
85,45,0.358015872,7003,3.464705888,9.5,35
89,45,0.358015872,7003,3.464705888,9.5,35
103,70,0.109000001,9275,NaN,NaN,37
104,400,0.179666666,42120,14,16,38
111,90,0.18,4508,2,9.58,32
113,258,0.062599999,3069,13,NaN,31
116,NaN,NaN,NaN,NaN,NaN,43
117,NaN,NaN,NaN,NaN,NaN,43
118,NaN,NaN,NaN,NaN,NaN,43
119,NaN,NaN,NaN,NaN,NaN,43
120,NaN,NaN,NaN,NaN,NaN,43
125,NaN,NaN,NaN,NaN,NaN,52
129,82.59999847,0.119615385,4572,7.620909084,6.4,31
130,200,0.12,7020,5,6.805,32
133,NaN,NaN,NaN,NaN,NaN,33
134,NaN,NaN,NaN,NaN,NaN,33
135,64,0.335000008,NaN,4.058571398,NaN,31
141,30,0.800000012,NaN,0.899999976,NaN,37
147,NaN,NaN,NaN,NaN,NaN,57
151,130,0.145181818,4884,3.449999988,NaN,32
152,NaN,NaN,NaN,NaN,NaN,56
155,46,0.223333339,NaN,NaN,NaN,33
156,160,0.123999999,8643,8.820000076,11,38
158,76,0.421375003,1178,1.650000036,NaN,32
159,76,0.421375003,1178,1.650000036,NaN,32
160,200,0.1888,1350,NaN,16.5,25
161,NaN,NaN,NaN,NaN,NaN,56
165,45.70000076,0.257000007,NaN,NaN,NaN,31
166,45.70000076,0.257000007,NaN,NaN,NaN,31
168,64,0.38,960,1.8,8.955,31
177,39.5,0.445642857,35100,2.75,15,35
199,NaN,NaN,NaN,NaN,NaN,34
216,NaN,NaN,NaN,NaN,NaN,43
234,152,0.220000006,NaN,4,NaN,33
235,152,0.220000006,NaN,4,NaN,33
236,NaN,NaN,NaN,NaN,NaN,43
237,91,0.126,345,NaN,NaN,33
239,NaN,NaN,NaN,NaN,NaN,38
241,275,0.216249999,27971,7,NaN,38
242,275,0.216249999,27971,7,NaN,38
249,184,0.174000002,4224,NaN,NaN,36
250,184,0.174000002,4224,NaN,NaN,36
253,125,0.133466667,4030,4,NaN,33
258,250,0.062200001,27722,12.5,25,38
259,NaN,NaN,NaN,NaN,NaN,38
263,60,0.2,5175,3.3,25.4,33
266,91,0.262941176,3774,4.05,5.97,32
276,NaN,NaN,NaN,NaN,NaN,34
279,NaN,NaN,NaN,NaN,NaN,42
280,91,0.262941176,3774,4.05,5.97,32
293,140,0.166679246,4176,3.5,16.57,32
296,20,0.638842107,5940,1,19.73,35
298,NaN,NaN,NaN,NaN,NaN,35
309,112,0.232304349,5632,2.57249999,8.35,32
311,100,0.149058823,4876,2.536666652,8.5,31
312,100,0.149058823,4876,2.536666652,8.5,31
313,100,0.149058823,4876,2.536666652,8.5,31
316,70,0.27,2700,2.5,14.37,31
317,70,0.27,2700,2.5,14.37,31
319,112,0.232304349,5632,2.57249999,8.35,32
